epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.68160415,0.56000000,0.54500000,0.72666667,0.62285714,0.69993186,0.45000000,0.45901639,0.56000000,0.50450450
2,0.67772520,0.57000000,0.54708520,0.81333333,0.65415550,0.69106019,0.48000000,0.48529412,0.66000000,0.55932203
3,0.67038858,0.62000000,0.59090909,0.78000000,0.67241379,0.69538760,0.47000000,0.47457627,0.56000000,0.51376147
4,0.67201537,0.59333333,0.55982906,0.87333333,0.68229167,0.69795775,0.50000000,0.50000000,0.72000000,0.59016393
5,0.66539437,0.59000000,0.55744681,0.87333333,0.68051948,0.69555008,0.46000000,0.47142857,0.66000000,0.55000000
6,0.66634905,0.60333333,0.87804878,0.24000000,0.37696335,0.69799882,0.54000000,0.64285714,0.18000000,0.28125000
7,0.65486509,0.67666667,0.81176471,0.46000000,0.58723404,0.69970137,0.54000000,0.57692308,0.30000000,0.39473684
8,0.64831030,0.70666667,0.69620253,0.73333333,0.71428571,0.69448352,0.50000000,0.50000000,0.56000000,0.52830189
9,0.65170246,0.62000000,0.57692308,0.90000000,0.70312500,0.70306534,0.51000000,0.50704225,0.72000000,0.59504132
10,0.63633829,0.70666667,0.75833333,0.60666667,0.67407407,0.70230460,0.51000000,0.51219512,0.42000000,0.46153846
11,0.64655346,0.60000000,0.89473684,0.22666667,0.36170213,0.71280098,0.55000000,0.69230769,0.18000000,0.28571429
12,0.63040376,0.67666667,0.79775281,0.47333333,0.59414226,0.70060921,0.49000000,0.48275862,0.28000000,0.35443038
13,0.62459391,0.70333333,0.84269663,0.50000000,0.62761506,0.70365721,0.51000000,0.51612903,0.32000000,0.39506173
14,0.61784780,0.70666667,0.78703704,0.56666667,0.65891473,0.70657194,0.55000000,0.57142857,0.40000000,0.47058824
15,0.60913289,0.72000000,0.79464286,0.59333333,0.67938931,0.70599592,0.51000000,0.51351351,0.38000000,0.43678161
16,0.59976858,0.71666667,0.72727273,0.69333333,0.70989761,0.72030342,0.52000000,0.52000000,0.52000000,0.52000000
17,0.59004611,0.77000000,0.75155280,0.80666667,0.77813505,0.71417344,0.54000000,0.53703704,0.58000000,0.55769231
18,0.58691001,0.77333333,0.75625000,0.80666667,0.78064516,0.71292132,0.56000000,0.55769231,0.58000000,0.56862745
19,0.57668614,0.75666667,0.72000000,0.84000000,0.77538462,0.71909612,0.57000000,0.55932203,0.66000000,0.60550459
20,0.57873094,0.79666667,0.79865772,0.79333333,0.79598662,0.71356553,0.57000000,0.57446809,0.54000000,0.55670103
21,0.56959236,0.75000000,0.70718232,0.85333333,0.77341390,0.71818209,0.58000000,0.56666667,0.68000000,0.61818182
22,0.55836487,0.77000000,0.82400000,0.68666667,0.74909091,0.73623198,0.54000000,0.55000000,0.44000000,0.48888889
23,0.68115968,0.56666667,0.53623188,0.98666667,0.69483568,0.83716750,0.47000000,0.48387097,0.90000000,0.62937063
24,0.54234678,0.76000000,0.71195652,0.87333333,0.78443114,0.73228592,0.58000000,0.56666667,0.68000000,0.61818182
25,0.64577055,0.56666667,0.95454545,0.14000000,0.24418605,0.82911921,0.53000000,0.80000000,0.08000000,0.14545455
26,0.54726750,0.75000000,0.93103448,0.54000000,0.68354430,0.74942338,0.48000000,0.46153846,0.24000000,0.31578947
27,0.57544363,0.66000000,0.98000000,0.32666667,0.49000000,0.76594770,0.53000000,0.58823529,0.20000000,0.29850746
28,0.51969528,0.77666667,0.71282051,0.92666667,0.80579710,0.75551903,0.55000000,0.53846154,0.70000000,0.60869565
29,0.51007569,0.76000000,0.69500000,0.92666667,0.79428571,0.79814714,0.59000000,0.56923077,0.74000000,0.64347826
30,0.48002481,0.81333333,0.77976190,0.87333333,0.82389937,0.75423479,0.57000000,0.56140351,0.64000000,0.59813084
31,0.61071563,0.57666667,0.96000000,0.16000000,0.27428571,0.84903330,0.52000000,0.62500000,0.10000000,0.17241379
32,0.49876180,0.76000000,0.68571429,0.96000000,0.80000000,0.77549696,0.56000000,0.54545455,0.72000000,0.62068966
33,0.60707718,0.59000000,0.96551724,0.18666667,0.31284916,0.87993222,0.51000000,0.54545455,0.12000000,0.19672131
34,0.49413565,0.76333333,0.68544601,0.97333333,0.80440771,0.80827278,0.52000000,0.51428571,0.72000000,0.60000000
35,0.47969025,0.82333333,0.95327103,0.68000000,0.79377432,0.77459717,0.50000000,0.50000000,0.32000000,0.39024390
36,0.44017562,0.85666667,0.86896552,0.84000000,0.85423729,0.77070254,0.58000000,0.57692308,0.60000000,0.58823529
37,0.46607813,0.79333333,0.97826087,0.60000000,0.74380165,0.82475400,0.49000000,0.48000000,0.24000000,0.32000000
38,0.43505117,0.86333333,0.92913386,0.78666667,0.85198556,0.77151263,0.50000000,0.50000000,0.38000000,0.43181818
39,0.44074219,0.82333333,0.75392670,0.96000000,0.84457478,0.83635902,0.53000000,0.52238806,0.70000000,0.59829060
40,0.73020154,0.59666667,0.55350554,1.00000000,0.71258907,1.07770431,0.49000000,0.49450549,0.90000000,0.63829787
41,0.39294431,0.89666667,0.93430657,0.85333333,0.89198606,0.87109727,0.46000000,0.45000000,0.36000000,0.40000000
42,0.56507915,0.66333333,0.98039216,0.33333333,0.49751244,0.97998840,0.51000000,0.54545455,0.12000000,0.19672131
43,0.66646039,0.55666667,0.94736842,0.12000000,0.21301775,1.09620404,0.54000000,0.83333333,0.10000000,0.17857143
44,0.44843909,0.82333333,0.94495413,0.68666667,0.79536680,0.79014176,0.55000000,0.56756757,0.42000000,0.48275862
45,0.40320113,0.86666667,0.97413793,0.75333333,0.84962406,0.88060617,0.48000000,0.46666667,0.28000000,0.35000000
46,0.42106807,0.82000000,0.75000000,0.96000000,0.84210526,0.89462614,0.52000000,0.51470588,0.70000000,0.59322034
47,0.36444008,0.87666667,0.81920904,0.96666667,0.88685015,0.86982787,0.56000000,0.55000000,0.66000000,0.60000000
48,0.34549311,0.89666667,0.86503067,0.94000000,0.90095847,0.88020766,0.53000000,0.52727273,0.58000000,0.55238095
49,0.44109151,0.78000000,1.00000000,0.56000000,0.71794872,0.97157550,0.52000000,0.55555556,0.20000000,0.29411765
50,0.40133658,0.81333333,0.73267327,0.98666667,0.84090909,0.93013793,0.53000000,0.52112676,0.74000000,0.61157025
51,0.34009546,0.88333333,0.96747967,0.79333333,0.87179487,0.94927198,0.50000000,0.50000000,0.32000000,0.39024390
52,0.48243964,0.69666667,1.00000000,0.39333333,0.56459330,0.98348665,0.51000000,0.54545455,0.12000000,0.19672131
