epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.69366372,0.50666667,0.50335570,1.00000000,0.66964286,0.70715201,0.49000000,0.49484536,0.96000000,0.65306122
2,0.68451142,0.53000000,0.73684211,0.09333333,0.16568047,0.69975233,0.48000000,0.25000000,0.02000000,0.03703704
3,0.67869568,0.58666667,0.68571429,0.32000000,0.43636364,0.70135891,0.48000000,0.46428571,0.26000000,0.33333333
4,0.68007511,0.53000000,0.61538462,0.16000000,0.25396825,0.70332962,0.48000000,0.41666667,0.10000000,0.16129032
5,0.66842389,0.65000000,0.68000000,0.56666667,0.61818182,0.69663662,0.50000000,0.50000000,0.50000000,0.50000000
6,0.70001274,0.51000000,0.50505051,1.00000000,0.67114094,0.73493439,0.48000000,0.48979592,0.96000000,0.64864865
7,0.66153848,0.64000000,0.68750000,0.51333333,0.58778626,0.69750381,0.56000000,0.57894737,0.44000000,0.50000000
8,0.66003299,0.58666667,0.55200000,0.92000000,0.69000000,0.72450316,0.50000000,0.50000000,0.86000000,0.63235294
9,0.64741927,0.67333333,0.76000000,0.50666667,0.60800000,0.70430249,0.52000000,0.53333333,0.32000000,0.40000000
10,0.65774739,0.66666667,0.68382353,0.62000000,0.65034965,0.69646817,0.58000000,0.60000000,0.48000000,0.53333333
11,0.64666396,0.63000000,0.58823529,0.86666667,0.70080863,0.70748198,0.49000000,0.49315068,0.72000000,0.58536585
12,0.62176752,0.66333333,0.74747475,0.49333333,0.59437751,0.72644436,0.56000000,0.59375000,0.38000000,0.46341463
13,0.62237746,0.62666667,0.62500000,0.63333333,0.62913907,0.76559091,0.47000000,0.47272727,0.52000000,0.49523810
14,0.60614759,0.72333333,0.71337580,0.74666667,0.72964169,0.72013867,0.50000000,0.50000000,0.52000000,0.50980392
15,0.72237492,0.54000000,0.52112676,0.98666667,0.68202765,0.84264326,0.49000000,0.49484536,0.96000000,0.65306122
16,0.63429409,0.57000000,0.88888889,0.16000000,0.27118644,0.75625569,0.51000000,0.57142857,0.08000000,0.14035088
17,0.78286660,0.54000000,0.87500000,0.09333333,0.16867470,0.95768631,0.52000000,0.66666667,0.08000000,0.14285714
18,0.79380274,0.52666667,0.90000000,0.06000000,0.11250000,0.94168705,0.52000000,0.66666667,0.08000000,0.14285714
19,0.63329756,0.60333333,0.55893536,0.98000000,0.71186441,0.79589736,0.54000000,0.52222222,0.94000000,0.67142857
20,0.55063593,0.78000000,0.82812500,0.70666667,0.76258993,0.74671781,0.53000000,0.53658537,0.44000000,0.48351648
21,0.60805857,0.68333333,0.89855072,0.41333333,0.56621005,0.72775894,0.47000000,0.42857143,0.18000000,0.25352113
22,0.63732409,0.59666667,0.85365854,0.23333333,0.36649215,0.84453964,0.49000000,0.46666667,0.14000000,0.21538462
23,0.57165903,0.73666667,0.68393782,0.88000000,0.76967930,0.74705106,0.52000000,0.51428571,0.72000000,0.60000000
24,0.64884615,0.60666667,0.69512195,0.38000000,0.49137931,0.71383846,0.51000000,0.52631579,0.20000000,0.28985507
25,0.61052769,0.61333333,0.92500000,0.24666667,0.38947368,0.75262177,0.50000000,0.50000000,0.10000000,0.16666667
26,0.50358695,0.75333333,0.70879121,0.86000000,0.77710843,0.80344051,0.53000000,0.52459016,0.64000000,0.57657658
27,0.49932253,0.77666667,0.75151515,0.82666667,0.78730159,0.78209990,0.58000000,0.57692308,0.60000000,0.58823529
28,0.56966197,0.68666667,0.62173913,0.95333333,0.75263158,0.80845207,0.53000000,0.51807229,0.86000000,0.64661654
29,0.50276804,0.75666667,0.68780488,0.94000000,0.79436620,0.85271221,0.60000000,0.57142857,0.80000000,0.66666667
30,0.51029551,0.72666667,0.65178571,0.97333333,0.78074866,0.90526259,0.54000000,0.52702703,0.78000000,0.62903226
31,0.46083584,0.81333333,0.83571429,0.78000000,0.80689655,0.87031621,0.46000000,0.45454545,0.40000000,0.42553191
32,0.52657616,0.74000000,0.69565217,0.85333333,0.76646707,0.82736176,0.56000000,0.55000000,0.66000000,0.60000000
33,0.53168440,0.69333333,1.00000000,0.38666667,0.55769231,0.95955664,0.48000000,0.41666667,0.10000000,0.16129032
34,0.50201368,0.75666667,0.68780488,0.94000000,0.79436620,0.85894710,0.56000000,0.54285714,0.76000000,0.63333333
35,0.43375438,0.82000000,0.76666667,0.92000000,0.83636364,0.91629797,0.49000000,0.49180328,0.60000000,0.54054054
36,0.62714541,0.65666667,0.59591837,0.97333333,0.73924051,1.18096030,0.50000000,0.50000000,0.82000000,0.62121212
37,0.48884580,0.81666667,0.85185185,0.76666667,0.80701754,0.82256562,0.47000000,0.46341463,0.38000000,0.41758242
38,0.39347798,0.85666667,0.81286550,0.92666667,0.86604361,0.90021557,0.49000000,0.49180328,0.60000000,0.54054054
39,0.68272758,0.61666667,0.84313725,0.28666667,0.42786070,1.15114510,0.48000000,0.44444444,0.16000000,0.23529412
40,0.42410645,0.84000000,0.85915493,0.81333333,0.83561644,0.88040656,0.48000000,0.47727273,0.42000000,0.44680851
41,0.51756102,0.72000000,0.64347826,0.98666667,0.77894737,1.03675091,0.54000000,0.52500000,0.84000000,0.64615385
42,0.50407237,0.74000000,1.00000000,0.48000000,0.64864865,0.98152161,0.51000000,0.52631579,0.20000000,0.28985507
43,0.46612692,0.75666667,0.68421053,0.95333333,0.79665738,1.01658845,0.53000000,0.52054795,0.76000000,0.61788618
44,0.53682911,0.75000000,0.93103448,0.54000000,0.68354430,0.78238332,0.54000000,0.58333333,0.28000000,0.37837838
45,0.55591464,0.70000000,0.62711864,0.98666667,0.76683938,1.05742073,0.49000000,0.49411765,0.84000000,0.62222222
