epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.70954704,0.50000000,0.00000000,0.00000000,0.00000000,0.73781103,0.50000000,0.00000000,0.00000000,0.00000000
2,0.68518573,0.58666667,0.55118110,0.93333333,0.69306931,0.69676453,0.51000000,0.50561798,0.90000000,0.64748201
3,0.67795789,0.58333333,0.55230126,0.88000000,0.67866324,0.69694406,0.44000000,0.46250000,0.74000000,0.56923077
4,0.67716485,0.58333333,0.59124088,0.54000000,0.56445993,0.69180703,0.54000000,0.54000000,0.54000000,0.54000000
5,0.67460430,0.58666667,0.55555556,0.86666667,0.67708333,0.68850821,0.55000000,0.53086420,0.86000000,0.65648855
6,0.67546308,0.58000000,0.70689655,0.27333333,0.39423077,0.68955427,0.55000000,0.69230769,0.18000000,0.28571429
7,0.65526408,0.62000000,0.59473684,0.75333333,0.66470588,0.70249039,0.52000000,0.51515152,0.68000000,0.58620690
8,0.67154640,0.56000000,0.68000000,0.22666667,0.34000000,0.72854781,0.49000000,0.47368421,0.18000000,0.26086957
9,0.67435968,0.52000000,1.00000000,0.04000000,0.07692308,0.71487409,0.50000000,0.00000000,0.00000000,0.00000000
10,0.67451751,0.55000000,0.52669039,0.98666667,0.68677494,0.72365046,0.47000000,0.48421053,0.92000000,0.63448276
11,0.65958047,0.59666667,0.69333333,0.34666667,0.46222222,0.70832932,0.47000000,0.44827586,0.26000000,0.32911392
12,0.62708610,0.67333333,0.64772727,0.76000000,0.69938650,0.70899397,0.53000000,0.52631579,0.60000000,0.56074766
13,0.62550986,0.66333333,0.72072072,0.53333333,0.61302682,0.70762634,0.50000000,0.50000000,0.30000000,0.37500000
14,0.66343141,0.55666667,1.00000000,0.11333333,0.20359281,0.72187698,0.51000000,1.00000000,0.02000000,0.03921569
15,0.66931164,0.57333333,0.54044118,0.98000000,0.69668246,0.75002837,0.49000000,0.49473684,0.94000000,0.64827586
16,0.62227076,0.63666667,0.76623377,0.39333333,0.51982379,0.74619615,0.56000000,0.60000000,0.36000000,0.45000000
17,0.62722450,0.69000000,0.62127660,0.97333333,0.75844156,0.72050369,0.49000000,0.49367089,0.78000000,0.60465116
18,0.59133005,0.75333333,0.77941176,0.70666667,0.74125874,0.73124486,0.53000000,0.53488372,0.46000000,0.49462366
19,0.65314448,0.57333333,0.71153846,0.24666667,0.36633663,0.83168149,0.52000000,0.55555556,0.20000000,0.29411765
20,0.56189555,0.75000000,0.71428571,0.83333333,0.76923077,0.73674375,0.52000000,0.51724138,0.60000000,0.55555556
21,0.68901074,0.56666667,0.53597122,0.99333333,0.69626168,0.87908310,0.48000000,0.48936170,0.92000000,0.63888889
22,0.57628489,0.71333333,0.76666667,0.61333333,0.68148148,0.78510892,0.50000000,0.50000000,0.46000000,0.47916667
23,0.60298610,0.66333333,0.77528090,0.46000000,0.57740586,0.82688785,0.46000000,0.44736842,0.34000000,0.38636364
24,0.54723537,0.73666667,0.77099237,0.67333333,0.71886121,0.80479461,0.56000000,0.57500000,0.46000000,0.51111111
25,0.54803556,0.72333333,0.66502463,0.90000000,0.76487252,0.75517362,0.49000000,0.49230769,0.64000000,0.55652174
26,0.55212706,0.72000000,0.64347826,0.98666667,0.77894737,0.81439900,0.46000000,0.47368421,0.72000000,0.57142857
27,0.58166349,0.68666667,0.61965812,0.96666667,0.75520833,0.77065176,0.51000000,0.50602410,0.84000000,0.63157895
28,0.62787145,0.61666667,0.56704981,0.98666667,0.72019465,0.84839714,0.53000000,0.51648352,0.94000000,0.66666667
29,0.60712087,0.64333333,0.77922078,0.40000000,0.52863436,0.91891098,0.49000000,0.48275862,0.28000000,0.35443038
30,0.59606779,0.65000000,0.58893281,0.99333333,0.73945409,0.89796710,0.47000000,0.48351648,0.88000000,0.62411348
31,0.53435880,0.78333333,0.82442748,0.72000000,0.76868327,0.79367906,0.41000000,0.39534884,0.34000000,0.36559140
32,0.56039470,0.67000000,0.79310345,0.46000000,0.58227848,0.85301745,0.52000000,0.54166667,0.26000000,0.35135135
33,0.45342815,0.81000000,0.82068966,0.79333333,0.80677966,0.87278473,0.49000000,0.48936170,0.46000000,0.47422680
34,0.51306337,0.74000000,0.66216216,0.98000000,0.79032258,0.87182498,0.47000000,0.48051948,0.74000000,0.58267717
35,0.48176810,0.80333333,0.88888889,0.69333333,0.77902622,0.81845546,0.50000000,0.50000000,0.28000000,0.35897436
36,1.06388402,0.50666667,1.00000000,0.01333333,0.02631579,1.41561735,0.50000000,0.00000000,0.00000000,0.00000000
