epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.70129704,0.50666667,0.53333333,0.10666667,0.17777778,0.69189727,0.54000000,0.64285714,0.18000000,0.28125000
2,0.68245471,0.56333333,0.53941909,0.86666667,0.66496164,0.68443537,0.57000000,0.54216867,0.90000000,0.67669173
3,0.68454760,0.58666667,0.56132075,0.79333333,0.65745856,0.69806373,0.53000000,0.52054795,0.76000000,0.61788618
4,0.70285434,0.51000000,0.50505051,1.00000000,0.67114094,0.71798158,0.50000000,0.50000000,1.00000000,0.66666667
5,0.68609172,0.52333333,0.51211073,0.98666667,0.67425968,0.69488770,0.50000000,0.50000000,0.98000000,0.66216216
6,0.68446881,0.51666667,0.77777778,0.04666667,0.08805031,0.69541115,0.48000000,0.33333333,0.04000000,0.07142857
7,0.67237997,0.60000000,0.89473684,0.22666667,0.36170213,0.69350600,0.53000000,0.57894737,0.22000000,0.31884058
8,0.66303569,0.64666667,0.59734513,0.90000000,0.71808511,0.69154358,0.59000000,0.55696203,0.88000000,0.68217054
9,0.67238402,0.63000000,0.58515284,0.89333333,0.70712401,0.68745178,0.60000000,0.56410256,0.88000000,0.68750000
10,0.65386271,0.63666667,0.66666667,0.54666667,0.60073260,0.70381075,0.49000000,0.48837209,0.42000000,0.45161290
11,0.72203082,0.50666667,0.75000000,0.02000000,0.03896104,0.75256014,0.49000000,0.00000000,0.00000000,0.00000000
12,0.66491717,0.55000000,0.77777778,0.14000000,0.23728814,0.70952392,0.53000000,0.60000000,0.18000000,0.27692308
13,0.66768378,0.54666667,0.76923077,0.13333333,0.22727273,0.70818228,0.53000000,0.61538462,0.16000000,0.25396825
14,0.65129226,0.56666667,0.85714286,0.16000000,0.26966292,0.70448571,0.54000000,0.64285714,0.18000000,0.28125000
15,0.63807386,0.62333333,0.80327869,0.32666667,0.46445498,0.70845735,0.44000000,0.38461538,0.20000000,0.26315789
16,0.62582058,0.62333333,0.75342466,0.36666667,0.49327354,0.73976219,0.47000000,0.45454545,0.30000000,0.36144578
17,0.65399396,0.62000000,0.56976744,0.98000000,0.72058824,0.70939851,0.50000000,0.50000000,0.88000000,0.63768116
18,0.65042371,0.64666667,0.59909910,0.88666667,0.71505376,0.74238801,0.41000000,0.43835616,0.64000000,0.52032520
19,0.60783285,0.67333333,0.60833333,0.97333333,0.74871795,0.73471421,0.53000000,0.51807229,0.86000000,0.64661654
20,0.60380781,0.64666667,0.76190476,0.42666667,0.54700855,0.73101777,0.47000000,0.45454545,0.30000000,0.36144578
21,0.61406922,0.65000000,0.59259259,0.96000000,0.73282443,0.77359521,0.53000000,0.51764706,0.88000000,0.65185185
22,0.56038260,0.77000000,0.77181208,0.76666667,0.76923077,0.74485403,0.46000000,0.46551724,0.54000000,0.50000000
23,0.97713500,0.51333333,0.50675676,1.00000000,0.67264574,1.16808558,0.50000000,0.50000000,0.98000000,0.66216216
24,0.55033153,0.76333333,0.74842767,0.79333333,0.77022654,0.75664169,0.53000000,0.52631579,0.60000000,0.56074766
25,0.78086460,0.52000000,1.00000000,0.04000000,0.07692308,0.99289560,0.54000000,1.00000000,0.08000000,0.14814815
26,0.84425128,0.55000000,0.89473684,0.11333333,0.20118343,1.05650330,0.53000000,0.71428571,0.10000000,0.17543860
27,0.57208484,0.68333333,0.83950617,0.45333333,0.58874459,0.76813912,0.49000000,0.48571429,0.34000000,0.40000000
28,0.56324875,0.70666667,0.63478261,0.97333333,0.76842105,0.76501298,0.48000000,0.48809524,0.82000000,0.61194030
29,0.72542763,0.58333333,0.54578755,0.99333333,0.70449173,0.94550371,0.48000000,0.48913043,0.90000000,0.63380282
30,0.51550442,0.76000000,0.68932039,0.94666667,0.79775281,0.78425890,0.45000000,0.46835443,0.74000000,0.57364341
31,0.57029104,0.64666667,0.85483871,0.35333333,0.50000000,0.80151278,0.47000000,0.42105263,0.16000000,0.23188406
32,0.60158348,0.64333333,0.58498024,0.98666667,0.73449132,0.81757617,0.52000000,0.51136364,0.90000000,0.65217391
33,0.60589212,0.64333333,0.85245902,0.34666667,0.49289100,0.97627062,0.52000000,0.55000000,0.22000000,0.31428571
34,0.46419892,0.78666667,0.72164948,0.93333333,0.81395349,0.84583354,0.46000000,0.47222222,0.68000000,0.55737705
35,0.47240040,0.79666667,0.85039370,0.72000000,0.77978339,0.84770876,0.47000000,0.46666667,0.42000000,0.44210526
36,0.46696725,0.76666667,0.72222222,0.86666667,0.78787879,0.92817384,0.53000000,0.52542373,0.62000000,0.56880734
37,0.48880789,0.74333333,0.92941176,0.52666667,0.67234043,0.87961930,0.51000000,0.51724138,0.30000000,0.37974684
38,0.50018710,0.76666667,0.74390244,0.81333333,0.77707006,0.79099929,0.51000000,0.50877193,0.58000000,0.54205607
39,0.40110892,0.83000000,0.76190476,0.96000000,0.84955752,0.95273626,0.45000000,0.46478873,0.66000000,0.54545455
40,0.70160902,0.60666667,0.55970149,1.00000000,0.71770335,1.10291028,0.47000000,0.48387097,0.90000000,0.62937063
41,0.51083475,0.67666667,0.98181818,0.36000000,0.52682927,0.99213445,0.51000000,0.53333333,0.16000000,0.24615385
42,0.54000396,0.69000000,0.98305085,0.38666667,0.55502392,0.92434359,0.48000000,0.45454545,0.20000000,0.27777778
43,0.56576782,0.67333333,0.93333333,0.37333333,0.53333333,0.87193924,0.50000000,0.50000000,0.18000000,0.26470588
