epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.69229120,0.50333333,0.50427350,0.39333333,0.44194757,0.69071090,0.55000000,0.55813953,0.48000000,0.51612903
2,0.69602543,0.50333333,0.57142857,0.02666667,0.05095541,0.69188857,0.52000000,1.00000000,0.04000000,0.07692308
3,0.68534243,0.55333333,0.56779661,0.44666667,0.50000000,0.68805236,0.53000000,0.53846154,0.42000000,0.47191011
4,0.68192893,0.60000000,0.61194030,0.54666667,0.57746479,0.68887508,0.55000000,0.55813953,0.48000000,0.51612903
5,0.68120176,0.55333333,0.63333333,0.25333333,0.36190476,0.68812382,0.54000000,0.61111111,0.22000000,0.32352941
6,0.67763704,0.60000000,0.56465517,0.87333333,0.68586387,0.69144344,0.52000000,0.51219512,0.84000000,0.63636364
7,0.67407787,0.63666667,0.62424242,0.68666667,0.65396825,0.68784034,0.61000000,0.59322034,0.70000000,0.64220183
8,0.67349827,0.61666667,0.57709251,0.87333333,0.69496021,0.69283211,0.52000000,0.51250000,0.82000000,0.63076923
9,0.66940534,0.63333333,0.60416667,0.77333333,0.67836257,0.68957871,0.55000000,0.53623188,0.74000000,0.62184874
10,0.67455977,0.56666667,0.53759398,0.95333333,0.68750000,0.69995743,0.52000000,0.51086957,0.94000000,0.66197183
11,0.66520935,0.64000000,0.60000000,0.84000000,0.70000000,0.69333583,0.51000000,0.50666667,0.76000000,0.60800000
12,0.66286218,0.65333333,0.71698113,0.50666667,0.59375000,0.68797195,0.61000000,0.63414634,0.52000000,0.57142857
13,0.66317290,0.61000000,0.78947368,0.30000000,0.43478261,0.68972427,0.55000000,0.64705882,0.22000000,0.32835821
14,0.66504234,0.56333333,0.78787879,0.17333333,0.28415301,0.69331396,0.51000000,0.55555556,0.10000000,0.16949153
15,0.65369982,0.67666667,0.64171123,0.80000000,0.71216617,0.69311279,0.49000000,0.49295775,0.70000000,0.57851240
16,0.65178585,0.67333333,0.63402062,0.82000000,0.71511628,0.69583511,0.50000000,0.50000000,0.74000000,0.59677419
17,0.64957756,0.67000000,0.74757282,0.51333333,0.60869565,0.69341683,0.59000000,0.61538462,0.48000000,0.53932584
18,0.64830422,0.64666667,0.77500000,0.41333333,0.53913043,0.69394410,0.56000000,0.59375000,0.38000000,0.46341463
19,0.64259005,0.69666667,0.65284974,0.84000000,0.73469388,0.69607025,0.48000000,0.48571429,0.68000000,0.56666667
20,0.65168631,0.60000000,0.85714286,0.24000000,0.37500000,0.69868559,0.51000000,0.53846154,0.14000000,0.22222222
21,0.63545495,0.72333333,0.74100719,0.68666667,0.71280277,0.69376290,0.60000000,0.59615385,0.62000000,0.60784314
22,0.66423911,0.53333333,0.77777778,0.09333333,0.16666667,0.71015149,0.52000000,0.75000000,0.06000000,0.11111111
23,0.62985146,0.72333333,0.69142857,0.80666667,0.74461538,0.69496870,0.52000000,0.51562500,0.66000000,0.57894737
24,0.63028711,0.70000000,0.64705882,0.88000000,0.74576271,0.69716156,0.53000000,0.52054795,0.76000000,0.61788618
25,0.62555134,0.71000000,0.81188119,0.54666667,0.65338645,0.69483817,0.57000000,0.59459459,0.44000000,0.50574713
26,0.63013172,0.66333333,0.60425532,0.94666667,0.73766234,0.70204067,0.53000000,0.51898734,0.82000000,0.63565891
27,0.63717139,0.61000000,0.90243902,0.24666667,0.38743455,0.70103538,0.52000000,0.57142857,0.16000000,0.25000000
28,0.61439949,0.73000000,0.68449198,0.85333333,0.75964392,0.69282806,0.54000000,0.52941176,0.72000000,0.61016949
29,0.62197697,0.65000000,0.88135593,0.34666667,0.49760766,0.70273769,0.55000000,0.60000000,0.30000000,0.40000000
30,0.62161285,0.65666667,0.59670782,0.96666667,0.73791349,0.70846182,0.53000000,0.51851852,0.84000000,0.64122137
31,0.60648811,0.72333333,0.66834171,0.88666667,0.76217765,0.69687122,0.55000000,0.53623188,0.74000000,0.62184874
32,0.59748518,0.76333333,0.75816993,0.77333333,0.76567657,0.69564170,0.55000000,0.54385965,0.62000000,0.57943925
33,0.60867047,0.67000000,0.89230769,0.38666667,0.53953488,0.70470166,0.57000000,0.62962963,0.34000000,0.44155844
34,0.58918011,0.76333333,0.73372781,0.82666667,0.77742947,0.69819587,0.52000000,0.51724138,0.60000000,0.55555556
35,0.58911377,0.76666667,0.83898305,0.66000000,0.73880597,0.70317006,0.58000000,0.58695652,0.54000000,0.56250000
36,0.58568442,0.75000000,0.83783784,0.62000000,0.71264368,0.70463401,0.56000000,0.57500000,0.46000000,0.51111111
37,0.60848850,0.63666667,0.91836735,0.30000000,0.45226131,0.72000104,0.58000000,0.72222222,0.26000000,0.38235294
38,0.58007330,0.74666667,0.69072165,0.89333333,0.77906977,0.70366102,0.54000000,0.52857143,0.74000000,0.61666667
39,0.59513533,0.68333333,0.61506276,0.98000000,0.75578406,0.72498006,0.53000000,0.51851852,0.84000000,0.64122137
40,0.56404430,0.76000000,0.72413793,0.84000000,0.77777778,0.70886213,0.55000000,0.54098361,0.66000000,0.59459459
41,0.57216495,0.74666667,0.89361702,0.56000000,0.68852459,0.71635818,0.54000000,0.56250000,0.36000000,0.43902439
42,0.55589330,0.79333333,0.75581395,0.86666667,0.80745342,0.70836473,0.53000000,0.52542373,0.62000000,0.56880734
