epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.68900329,0.52000000,0.51785714,0.58000000,0.54716981,0.68759197,0.55000000,0.54545455,0.60000000,0.57142857
2,0.68517500,0.54333333,0.53475936,0.66666667,0.59347181,0.68656713,0.55000000,0.53846154,0.70000000,0.60869565
3,0.68575466,0.56000000,0.68000000,0.22666667,0.34000000,0.69123387,0.50000000,0.50000000,0.20000000,0.28571429
4,0.68095952,0.57666667,0.62637363,0.38000000,0.47302905,0.68786681,0.47000000,0.45714286,0.32000000,0.37647059
5,0.68421978,0.54000000,0.52173913,0.96000000,0.67605634,0.69174683,0.50000000,0.50000000,0.92000000,0.64788732
6,0.67581981,0.61333333,0.58252427,0.80000000,0.67415730,0.68670362,0.55000000,0.53623188,0.74000000,0.62184874
7,0.67412275,0.60666667,0.57142857,0.85333333,0.68449198,0.68684769,0.59000000,0.56000000,0.84000000,0.67200000
8,0.67593116,0.57333333,0.54166667,0.95333333,0.69082126,0.68969667,0.48000000,0.48863636,0.86000000,0.62318841
9,0.66834116,0.61333333,0.63709677,0.52666667,0.57664234,0.68768287,0.53000000,0.53488372,0.46000000,0.49462366
10,0.66545862,0.65333333,0.64024390,0.70000000,0.66878981,0.68760091,0.57000000,0.56363636,0.62000000,0.59047619
11,0.66621697,0.61666667,0.57446809,0.90000000,0.70129870,0.68871343,0.52000000,0.51250000,0.82000000,0.63076923
12,0.66968584,0.57666667,0.79487179,0.20666667,0.32804233,0.69496387,0.55000000,0.66666667,0.20000000,0.30769231
13,0.66181785,0.60000000,0.69230769,0.36000000,0.47368421,0.69125783,0.51000000,0.51612903,0.32000000,0.39506173
14,0.65816087,0.63333333,0.69230769,0.48000000,0.56692913,0.68954116,0.49000000,0.48571429,0.34000000,0.40000000
15,0.65409011,0.68000000,0.65000000,0.78000000,0.70909091,0.68796444,0.57000000,0.55932203,0.66000000,0.60550459
16,0.65245491,0.67000000,0.62561576,0.84666667,0.71954674,0.69066459,0.52000000,0.51470588,0.70000000,0.59322034
17,0.64848071,0.69666667,0.69281046,0.70666667,0.69966997,0.68994123,0.56000000,0.56000000,0.56000000,0.56000000
18,0.64699829,0.67666667,0.62679426,0.87333333,0.72980501,0.68986958,0.50000000,0.50000000,0.74000000,0.59677419
19,0.64252722,0.73000000,0.71698113,0.76000000,0.73786408,0.68910611,0.57000000,0.56603774,0.60000000,0.58252427
20,0.64057457,0.69333333,0.65425532,0.82000000,0.72781065,0.68989164,0.52000000,0.51470588,0.70000000,0.59322034
21,0.65221328,0.59666667,0.55555556,0.96666667,0.70559611,0.69994473,0.51000000,0.50549451,0.92000000,0.65248227
22,0.63668162,0.69666667,0.79797980,0.52666667,0.63453815,0.69167596,0.52000000,0.52777778,0.38000000,0.44186047
23,0.63583678,0.65666667,0.79012346,0.42666667,0.55411255,0.69412148,0.51000000,0.51515152,0.34000000,0.40963855
24,0.62861800,0.68666667,0.63725490,0.86666667,0.73446328,0.69208807,0.52000000,0.51351351,0.76000000,0.61290323
25,0.62287819,0.73333333,0.74647887,0.70666667,0.72602740,0.69258100,0.52000000,0.52380952,0.44000000,0.47826087
26,0.61989945,0.70333333,0.67039106,0.80000000,0.72948328,0.69540608,0.53000000,0.52307692,0.68000000,0.59130435
27,0.62262297,0.69000000,0.82758621,0.48000000,0.60759494,0.69994050,0.53000000,0.54838710,0.34000000,0.41975309
28,0.63209212,0.59666667,0.83720930,0.24000000,0.37305699,0.71121675,0.55000000,0.66666667,0.20000000,0.30769231
29,0.63117415,0.59333333,0.85000000,0.22666667,0.35789474,0.71799362,0.57000000,0.70588235,0.24000000,0.35820896
30,0.63751465,0.58000000,0.87500000,0.18666667,0.30769231,0.72124672,0.53000000,0.61538462,0.16000000,0.25396825
31,0.61154777,0.67333333,0.61504425,0.92666667,0.73936170,0.70160574,0.49000000,0.49367089,0.78000000,0.60465116
32,0.68262625,0.54666667,0.52464789,0.99333333,0.68663594,0.76096421,0.52000000,0.51063830,0.96000000,0.66666667
