epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.68814486,0.53000000,0.57142857,0.24000000,0.33802817,0.69894135,0.51000000,0.52380952,0.22000000,0.30985915
2,0.68103474,0.56000000,0.63636364,0.28000000,0.38888889,0.69869947,0.54000000,0.57692308,0.30000000,0.39473684
3,0.68245828,0.56000000,0.82142857,0.15333333,0.25842697,0.70854384,0.47000000,0.38461538,0.10000000,0.15873016
4,0.66789526,0.63666667,0.61081081,0.75333333,0.67462687,0.69561392,0.51000000,0.50819672,0.62000000,0.55855856
5,0.66297746,0.62333333,0.59685864,0.76000000,0.66862170,0.69885480,0.51000000,0.50819672,0.62000000,0.55855856
6,0.66003674,0.61000000,0.57466063,0.84666667,0.68463612,0.69514877,0.55000000,0.53424658,0.78000000,0.63414634
7,0.65893257,0.62000000,0.57894737,0.88000000,0.69841270,0.69770700,0.51000000,0.50632911,0.80000000,0.62015504
8,0.65132070,0.65333333,0.60747664,0.86666667,0.71428571,0.69674712,0.55000000,0.53424658,0.78000000,0.63414634
9,0.64537269,0.67333333,0.73214286,0.54666667,0.62595420,0.69934922,0.53000000,0.53658537,0.44000000,0.48351648
10,0.63552320,0.67000000,0.63636364,0.79333333,0.70623145,0.69984818,0.51000000,0.50793651,0.64000000,0.56637168
11,0.66496402,0.58333333,0.54612546,0.98666667,0.70308789,0.71886933,0.46000000,0.47826087,0.88000000,0.61971831
12,0.63250500,0.66333333,0.68702290,0.60000000,0.64056940,0.71518034,0.48000000,0.47916667,0.46000000,0.46938776
13,0.62460989,0.66666667,0.63020833,0.80666667,0.70760234,0.70926678,0.49000000,0.49253731,0.66000000,0.56410256
14,0.63407218,0.64000000,0.58677686,0.94666667,0.72448980,0.73600739,0.49000000,0.49367089,0.78000000,0.60465116
15,0.61052012,0.70333333,0.75206612,0.60666667,0.67158672,0.71791029,0.51000000,0.51063830,0.48000000,0.49484536
16,0.61199510,0.68000000,0.77551020,0.50666667,0.61290323,0.72675002,0.53000000,0.54285714,0.38000000,0.44705882
17,0.59378350,0.72000000,0.73239437,0.69333333,0.71232877,0.71969783,0.49000000,0.49090909,0.54000000,0.51428571
18,0.58498406,0.75000000,0.75510204,0.74000000,0.74747475,0.71574223,0.51000000,0.50909091,0.56000000,0.53333333
19,0.57797629,0.72666667,0.71518987,0.75333333,0.73376623,0.72633648,0.47000000,0.47368421,0.54000000,0.50467290
20,0.61229700,0.63666667,0.58367347,0.95333333,0.72405063,0.74965531,0.50000000,0.50000000,0.84000000,0.62686567
21,0.63277346,0.62333333,0.57676349,0.92666667,0.71099744,0.74248594,0.50000000,0.50000000,0.84000000,0.62686567
22,0.55731302,0.76333333,0.82113821,0.67333333,0.73992674,0.73559552,0.54000000,0.54545455,0.48000000,0.51063830
23,0.56381714,0.75333333,0.85849057,0.60666667,0.71093750,0.76032233,0.51000000,0.51351351,0.38000000,0.43678161
24,0.54158592,0.76666667,0.80303030,0.70666667,0.75177305,0.75786865,0.48000000,0.47916667,0.46000000,0.46938776
25,0.53045768,0.78333333,0.80575540,0.74666667,0.77508651,0.74806839,0.53000000,0.53191489,0.50000000,0.51546392
26,0.62046045,0.62333333,0.57198444,0.98000000,0.72235872,0.79949391,0.47000000,0.48314607,0.86000000,0.61870504
27,0.56184578,0.68000000,0.96551724,0.37333333,0.53846154,0.78128707,0.52000000,0.55000000,0.22000000,0.31428571
28,0.51069444,0.82666667,0.90163934,0.73333333,0.80882353,0.74341226,0.54000000,0.55000000,0.44000000,0.48888889
29,0.56164730,0.65333333,0.97916667,0.31333333,0.47474747,0.77946424,0.56000000,0.75000000,0.18000000,0.29032258
30,0.50157845,0.78333333,0.73480663,0.88666667,0.80362538,0.77734756,0.47000000,0.47761194,0.64000000,0.54700855
31,0.60675412,0.66333333,0.59919028,0.98666667,0.74559194,0.80981719,0.49000000,0.49425287,0.86000000,0.62773723
32,0.48668581,0.79333333,0.73913043,0.90666667,0.81437126,0.78728783,0.49000000,0.49253731,0.66000000,0.56410256
33,0.47328255,0.83333333,0.89062500,0.76000000,0.82014388,0.75459105,0.53000000,0.53846154,0.42000000,0.47191011
34,0.48267803,0.83000000,0.95412844,0.69333333,0.80308880,0.80225724,0.52000000,0.53125000,0.34000000,0.41463415
35,0.54390436,0.65000000,0.97872340,0.30666667,0.46700508,0.84843677,0.53000000,0.60000000,0.18000000,0.27692308
36,0.47882304,0.78666667,0.89090909,0.65333333,0.75384615,0.83986539,0.49000000,0.48648649,0.36000000,0.41379310
37,0.47204134,0.80000000,0.95000000,0.63333333,0.76000000,0.84366339,0.55000000,0.60000000,0.30000000,0.40000000
38,0.56817132,0.60666667,1.00000000,0.21333333,0.35164835,0.86727804,0.52000000,0.66666667,0.08000000,0.14285714
39,0.42575279,0.84666667,0.92622951,0.75333333,0.83088235,0.82653743,0.48000000,0.47368421,0.36000000,0.40909091
