epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.70424277,0.50000000,0.50000000,1.00000000,0.66666667,0.69672364,0.50000000,0.50000000,1.00000000,0.66666667
2,0.68558770,0.54333333,0.61403509,0.23333333,0.33816425,0.68781370,0.49000000,0.47058824,0.16000000,0.23880597
3,0.68122655,0.58333333,0.55020080,0.91333333,0.68671679,0.68726546,0.59000000,0.55555556,0.90000000,0.68702290
4,0.69244194,0.50666667,0.50335570,1.00000000,0.66964286,0.70002109,0.50000000,0.50000000,1.00000000,0.66666667
5,0.68308979,0.51666667,1.00000000,0.03333333,0.06451613,0.68816948,0.49000000,0.00000000,0.00000000,0.00000000
6,0.67842788,0.53333333,0.51724138,1.00000000,0.68181818,0.68856263,0.51000000,0.50515464,0.98000000,0.66666667
7,0.66960704,0.68666667,0.76923077,0.53333333,0.62992126,0.68380445,0.62000000,0.70000000,0.42000000,0.52500000
8,0.69959950,0.50666667,0.50335570,1.00000000,0.66964286,0.72067207,0.50000000,0.50000000,1.00000000,0.66666667
9,0.66948396,0.54666667,0.52447552,1.00000000,0.68807339,0.69236726,0.52000000,0.51041667,0.98000000,0.67123288
10,0.66552806,0.65333333,0.96000000,0.32000000,0.48000000,0.68720579,0.57000000,0.76923077,0.20000000,0.31746032
11,0.67682099,0.55666667,0.86956522,0.13333333,0.23121387,0.69539458,0.49000000,0.42857143,0.06000000,0.10526316
12,0.63996321,0.72666667,0.67525773,0.87333333,0.76162791,0.67878187,0.57000000,0.55072464,0.76000000,0.63865546
13,0.63968474,0.64666667,0.79729730,0.39333333,0.52678571,0.68483227,0.55000000,0.59259259,0.32000000,0.41558442
14,0.65145588,0.64666667,0.86666667,0.34666667,0.49523810,0.68594772,0.58000000,0.75000000,0.24000000,0.36363636
15,0.61996764,0.70333333,0.64055300,0.92666667,0.75749319,0.68215692,0.58000000,0.55263158,0.84000000,0.66666667
16,0.61250120,0.69333333,0.65104167,0.83333333,0.73099415,0.71264088,0.49000000,0.49230769,0.64000000,0.55652174
17,0.59586847,0.77333333,0.73563218,0.85333333,0.79012346,0.68863541,0.53000000,0.52542373,0.62000000,0.56880734
18,0.72035617,0.54333333,0.52280702,0.99333333,0.68505747,0.82278097,0.50000000,0.50000000,0.96000000,0.65753425
19,0.80355167,0.51333333,0.50675676,1.00000000,0.67264574,0.88994682,0.50000000,0.50000000,1.00000000,0.66666667
20,0.60805827,0.68000000,0.89705882,0.40666667,0.55963303,0.69876975,0.59000000,0.64516129,0.40000000,0.49382716
21,0.57012767,0.79666667,0.75428571,0.88000000,0.81230769,0.68977064,0.58000000,0.56451613,0.70000000,0.62500000
22,0.56716824,0.70333333,0.63926941,0.93333333,0.75880759,0.69254118,0.58000000,0.55555556,0.80000000,0.65573770
23,0.55760610,0.71000000,0.63755459,0.97333333,0.77044855,0.71996886,0.54000000,0.52439024,0.86000000,0.65151515
24,0.56671590,0.67666667,0.61181435,0.96666667,0.74935401,0.76222748,0.52000000,0.51190476,0.86000000,0.64179104
25,0.72996032,0.56666667,0.53571429,1.00000000,0.69767442,0.93835676,0.47000000,0.48453608,0.94000000,0.63945578
26,0.65452749,0.57666667,1.00000000,0.15333333,0.26589595,0.73872304,0.51000000,0.60000000,0.06000000,0.10909091
27,0.57105297,0.67000000,0.61038961,0.94000000,0.74015748,0.70968521,0.61000000,0.56962025,0.90000000,0.69767442
28,0.54301316,0.82666667,0.85507246,0.78666667,0.81944444,0.72897309,0.50000000,0.50000000,0.52000000,0.50980392
29,0.49854434,0.77000000,0.71657754,0.89333333,0.79525223,0.73101681,0.53000000,0.52238806,0.70000000,0.59829060
30,0.48416495,0.82333333,0.82550336,0.82000000,0.82274247,0.77943510,0.46000000,0.46428571,0.52000000,0.49056604
31,0.54622138,0.77666667,0.75776398,0.81333333,0.78456592,0.76171982,0.48000000,0.48214286,0.54000000,0.50943396
32,0.52434433,0.71666667,0.95774648,0.45333333,0.61538462,0.75527787,0.54000000,0.64285714,0.18000000,0.28125000
33,0.71021396,0.54666667,0.52500000,0.98000000,0.68372093,0.93411189,0.51000000,0.50537634,0.94000000,0.65734266
34,0.57915181,0.66000000,0.91379310,0.35333333,0.50961538,0.78204542,0.48000000,0.43750000,0.14000000,0.21212121
35,0.43845755,0.86333333,0.83030303,0.91333333,0.86984127,0.80529815,0.53000000,0.52380952,0.66000000,0.58407080
36,0.68433350,0.56333333,0.53380783,1.00000000,0.69605568,1.03613722,0.47000000,0.48453608,0.94000000,0.63945578
