epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.68929404,0.54000000,0.52158273,0.96666667,0.67757009,0.69666445,0.49000000,0.49484536,0.96000000,0.65306122
2,0.68928224,0.53333333,0.52100840,0.82666667,0.63917526,0.69966173,0.47000000,0.48275862,0.84000000,0.61313869
3,0.68403983,0.55666667,0.55089820,0.61333333,0.58044164,0.69063067,0.55000000,0.53968254,0.68000000,0.60176991
4,0.68411928,0.56333333,0.54589372,0.75333333,0.63305322,0.69578546,0.50000000,0.50000000,0.74000000,0.59677419
5,0.68619031,0.59000000,0.56852792,0.74666667,0.64553314,0.69059718,0.51000000,0.50666667,0.76000000,0.60800000
6,0.68281668,0.59333333,0.55426357,0.95333333,0.70098039,0.69799787,0.46000000,0.47872340,0.90000000,0.62500000
7,0.67403930,0.59666667,0.68831169,0.35333333,0.46696035,0.69828552,0.51000000,0.52000000,0.26000000,0.34666667
8,0.67566460,0.57000000,0.58823529,0.46666667,0.52044610,0.68894440,0.54000000,0.55000000,0.44000000,0.48888889
9,0.67027611,0.61333333,0.56640625,0.96666667,0.71428571,0.69557327,0.50000000,0.50000000,0.92000000,0.64788732
10,0.67612255,0.54333333,0.70967742,0.14666667,0.24309392,0.69993317,0.53000000,0.61538462,0.16000000,0.25396825
11,0.66561598,0.63333333,0.58547009,0.91333333,0.71354167,0.69672304,0.47000000,0.48101266,0.76000000,0.58914729
12,0.65938741,0.59333333,0.75000000,0.28000000,0.40776699,0.70704758,0.54000000,0.58333333,0.28000000,0.37837838
13,0.64667755,0.66000000,0.63483146,0.75333333,0.68902439,0.69535947,0.53000000,0.52380952,0.66000000,0.58407080
14,0.66630524,0.62333333,0.57254902,0.97333333,0.72098765,0.69531894,0.51000000,0.50561798,0.90000000,0.64748201
15,0.63197088,0.66666667,0.65243902,0.71333333,0.68152866,0.70315570,0.50000000,0.50000000,0.62000000,0.55357143
16,0.71065563,0.54666667,0.85000000,0.11333333,0.20000000,0.79175836,0.49000000,0.42857143,0.06000000,0.10526316
17,0.63419646,0.63000000,0.77464789,0.36666667,0.49773756,0.72480029,0.51000000,0.52000000,0.26000000,0.34666667
18,0.66604167,0.55000000,0.65957447,0.20666667,0.31472081,0.74878901,0.54000000,0.61111111,0.22000000,0.32352941
19,0.60809952,0.70000000,0.68292683,0.74666667,0.71337580,0.70476037,0.50000000,0.50000000,0.62000000,0.55357143
20,0.62047732,0.68000000,0.71428571,0.60000000,0.65217391,0.72267288,0.51000000,0.50980392,0.52000000,0.51485149
21,0.60580325,0.68666667,0.81818182,0.48000000,0.60504202,0.73659790,0.57000000,0.60000000,0.42000000,0.49411765
22,0.63089490,0.62666667,0.57421875,0.98000000,0.72413793,0.71033478,0.49000000,0.49438202,0.88000000,0.63309353
23,0.62285453,0.62333333,0.57142857,0.98666667,0.72371638,0.75589979,0.49000000,0.49438202,0.88000000,0.63309353
24,0.57501304,0.77333333,0.75308642,0.81333333,0.78205128,0.71058822,0.57000000,0.56140351,0.64000000,0.59813084
25,0.60758346,0.67333333,0.60833333,0.97333333,0.74871795,0.70709306,0.54000000,0.52272727,0.92000000,0.66666667
26,0.63392562,0.68666667,0.78000000,0.52000000,0.62400000,0.70448959,0.52000000,0.53333333,0.32000000,0.40000000
27,0.61932296,0.76666667,0.72727273,0.85333333,0.78527607,0.71175694,0.48000000,0.48333333,0.58000000,0.52727273
28,0.57744628,0.76000000,0.69500000,0.92666667,0.79428571,0.71072358,0.55000000,0.53623188,0.74000000,0.62184874
29,0.60537618,0.68666667,0.62173913,0.95333333,0.75263158,0.73813111,0.56000000,0.53750000,0.86000000,0.66153846
30,0.57845533,0.69000000,0.62127660,0.97333333,0.75844156,0.74186724,0.50000000,0.50000000,0.82000000,0.62121212
31,0.56610543,0.72000000,0.65137615,0.94666667,0.77173913,0.73307347,0.53000000,0.51948052,0.80000000,0.62992126
32,0.50027192,0.78000000,0.80434783,0.74000000,0.77083333,0.77105194,0.51000000,0.50980392,0.52000000,0.51485149
33,0.53866768,0.74000000,0.82142857,0.61333333,0.70229008,0.82843858,0.52000000,0.52631579,0.40000000,0.45454545
34,0.60612720,0.60333333,0.96969697,0.21333333,0.34972678,0.86308473,0.55000000,0.85714286,0.12000000,0.21052632
35,0.51230073,0.78333333,0.72251309,0.92000000,0.80938416,0.74158537,0.50000000,0.50000000,0.66000000,0.56896552
36,0.54031420,0.70333333,0.76991150,0.58000000,0.66159696,0.94356096,0.45000000,0.43589744,0.34000000,0.38202247
37,1.03461587,0.54333333,0.52264808,1.00000000,0.68649886,1.23976099,0.49000000,0.49494949,0.98000000,0.65771812
38,0.49448395,0.81666667,0.77777778,0.88666667,0.82866044,0.78077787,0.52000000,0.51724138,0.60000000,0.55555556
39,0.56332552,0.65666667,0.77011494,0.44666667,0.56540084,0.84454936,0.50000000,0.50000000,0.26000000,0.34210526
40,0.55185527,0.73333333,0.66509434,0.94000000,0.77900552,0.75765836,0.57000000,0.54666667,0.82000000,0.65600000
41,0.55734038,0.73333333,0.66203704,0.95333333,0.78142077,0.77790087,0.47000000,0.47945205,0.70000000,0.56910569
42,0.68073672,0.65000000,0.59183673,0.96666667,0.73417722,0.99354905,0.52000000,0.51190476,0.86000000,0.64179104
