epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.70590878,0.50000000,0.50000000,1.00000000,0.66666667,0.70404834,0.50000000,0.50000000,1.00000000,0.66666667
2,0.69770736,0.50000000,0.50000000,1.00000000,0.66666667,0.69890898,0.50000000,0.50000000,1.00000000,0.66666667
3,0.68997520,0.52000000,0.51034483,0.98666667,0.67272727,0.69124466,0.53000000,0.51546392,1.00000000,0.68027211
4,0.68448943,0.52666667,0.51388889,0.98666667,0.67579909,0.69210738,0.54000000,0.52083333,1.00000000,0.68493151
5,0.68554384,0.52666667,0.51408451,0.97333333,0.67281106,0.70258975,0.50000000,0.50000000,0.98000000,0.66216216
6,0.67666155,0.59666667,0.57073171,0.78000000,0.65915493,0.69687760,0.49000000,0.49315068,0.72000000,0.58536585
7,0.67995614,0.59000000,0.55510204,0.90666667,0.68860759,0.69863534,0.50000000,0.50000000,0.84000000,0.62686567
8,0.66694534,0.59666667,0.61068702,0.53333333,0.56939502,0.70569962,0.46000000,0.45454545,0.40000000,0.42553191
9,0.67591166,0.56000000,0.53284672,0.97333333,0.68867925,0.71097493,0.51000000,0.50526316,0.96000000,0.66206897
10,0.68229187,0.52333333,0.66666667,0.09333333,0.16374269,0.72856641,0.48000000,0.33333333,0.04000000,0.07142857
11,0.64806491,0.60666667,0.61267606,0.58000000,0.59589041,0.71825027,0.52000000,0.51923077,0.54000000,0.52941176
12,0.65526652,0.64333333,0.61621622,0.76000000,0.68059701,0.70640969,0.50000000,0.50000000,0.66000000,0.56896552
13,0.64542085,0.65333333,0.65131579,0.66000000,0.65562914,0.71159554,0.48000000,0.48076923,0.50000000,0.49019608
14,0.62626791,0.69666667,0.71532847,0.65333333,0.68292683,0.73543364,0.50000000,0.50000000,0.52000000,0.50980392
15,0.63215303,0.63333333,0.70408163,0.46000000,0.55645161,0.73950994,0.51000000,0.51428571,0.36000000,0.42352941
16,0.66110522,0.55333333,0.86363636,0.12666667,0.22093023,0.74416316,0.50000000,0.50000000,0.14000000,0.21875000
17,0.60087484,0.69000000,0.68627451,0.70000000,0.69306931,0.75905919,0.58000000,0.58000000,0.58000000,0.58000000
18,0.71427357,0.54666667,0.52500000,0.98000000,0.68372093,0.82019609,0.48000000,0.48958333,0.94000000,0.64383562
19,0.60726178,0.66000000,0.66216216,0.65333333,0.65771812,0.76005292,0.44000000,0.44444444,0.48000000,0.46153846
