epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.68635517,0.58000000,0.58000000,0.58000000,0.58000000,0.69827819,0.49000000,0.49090909,0.54000000,0.51428571
2,0.69220227,0.50666667,0.50335570,1.00000000,0.66964286,0.71232438,0.49000000,0.49494949,0.98000000,0.65771812
3,0.68889326,0.60333333,0.63963964,0.47333333,0.54406130,0.69358557,0.53000000,0.54545455,0.36000000,0.43373494
4,0.68828267,0.52333333,0.51476793,0.81333333,0.63049096,0.68939513,0.51000000,0.50684932,0.74000000,0.60162602
5,0.68707985,0.52000000,0.51229508,0.83333333,0.63451777,0.69152260,0.51000000,0.50649351,0.78000000,0.61417323
6,0.68674654,0.53666667,0.52014652,0.94666667,0.67139480,0.69648260,0.55000000,0.52747253,0.96000000,0.68085106
7,0.68469381,0.56000000,0.53571429,0.90000000,0.67164179,0.69068420,0.48000000,0.48837209,0.84000000,0.61764706
8,0.68072969,0.60666667,0.63333333,0.50666667,0.56296296,0.69291687,0.53000000,0.53488372,0.46000000,0.49462366
9,0.70035684,0.51666667,0.50847458,1.00000000,0.67415730,0.71200949,0.48000000,0.48958333,0.94000000,0.64383562
10,0.67987353,0.56000000,0.53409091,0.94000000,0.68115942,0.69485551,0.49000000,0.49438202,0.88000000,0.63309353
11,0.68979633,0.51333333,1.00000000,0.02666667,0.05194805,0.71917152,0.50000000,0.50000000,0.02000000,0.03846154
12,0.66729718,0.64000000,0.79166667,0.38000000,0.51351351,0.70314115,0.49000000,0.47619048,0.20000000,0.28169014
13,0.67882109,0.51333333,0.53225806,0.22000000,0.31132075,0.71742111,0.48000000,0.46153846,0.24000000,0.31578947
14,0.66653442,0.58333333,0.55707763,0.81333333,0.66124661,0.69046456,0.54000000,0.52500000,0.84000000,0.64615385
15,0.69017804,0.53000000,0.71428571,0.10000000,0.17543860,0.74865997,0.53000000,0.80000000,0.08000000,0.14545455
16,0.64032865,0.64666667,0.68032787,0.55333333,0.61029412,0.71040314,0.45000000,0.43589744,0.34000000,0.38202247
17,0.65174598,0.65333333,0.78048780,0.42666667,0.55172414,0.70576203,0.48000000,0.45454545,0.20000000,0.27777778
18,0.65335011,0.58666667,0.54744526,1.00000000,0.70754717,0.71869379,0.47000000,0.48351648,0.88000000,0.62411348
19,0.62437671,0.62333333,0.65546218,0.52000000,0.57992565,0.73387438,0.48000000,0.47619048,0.40000000,0.43478261
20,0.63558543,0.67333333,0.64942529,0.75333333,0.69753086,0.69672590,0.55000000,0.54098361,0.66000000,0.59459459
21,0.60621411,0.67000000,0.63076923,0.82000000,0.71304348,0.73988509,0.53000000,0.52173913,0.72000000,0.60504202
22,0.62005532,0.64000000,0.93750000,0.30000000,0.45454545,0.72772217,0.52000000,0.57142857,0.16000000,0.25000000
23,0.60983908,0.68000000,0.65340909,0.76666667,0.70552147,0.72688556,0.47000000,0.47540984,0.58000000,0.52252252
24,0.59458470,0.67333333,0.61304348,0.94000000,0.74210526,0.72965014,0.47000000,0.48000000,0.72000000,0.57600000
25,0.56848210,0.72666667,0.80909091,0.59333333,0.68461538,0.78080988,0.47000000,0.45945946,0.34000000,0.39080460
26,0.61210632,0.61333333,0.85416667,0.27333333,0.41414141,0.77910155,0.47000000,0.40000000,0.12000000,0.18461538
27,0.75003314,0.59333333,0.55147059,1.00000000,0.71090047,0.94873840,0.47000000,0.48351648,0.88000000,0.62411348
28,0.72318041,0.54666667,0.52447552,1.00000000,0.68807339,0.83958316,0.47000000,0.48421053,0.92000000,0.63448276
29,0.56348866,0.72333333,0.66028708,0.92000000,0.76880223,0.77849841,0.49000000,0.49275362,0.68000000,0.57142857
30,0.72383034,0.56666667,0.53571429,1.00000000,0.69767442,0.91115725,0.46000000,0.47872340,0.90000000,0.62500000
