epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.69038528,0.51333333,0.51136364,0.60000000,0.55214724,0.69835436,0.53000000,0.52727273,0.58000000,0.55238095
2,0.72727495,0.51333333,0.50684932,0.98666667,0.66968326,0.74539655,0.50000000,0.50000000,0.98000000,0.66216216
3,0.67864919,0.54333333,0.52765957,0.82666667,0.64415584,0.70659745,0.45000000,0.46753247,0.72000000,0.56692913
4,0.68094277,0.56000000,0.53333333,0.96000000,0.68571429,0.71656018,0.49000000,0.49450549,0.90000000,0.63829787
5,0.66397321,0.58333333,0.61467890,0.44666667,0.51737452,0.70640641,0.46000000,0.44117647,0.30000000,0.35714286
6,0.65999305,0.59000000,0.56398104,0.79333333,0.65927978,0.70117128,0.47000000,0.47692308,0.62000000,0.53913043
7,0.68806893,0.55333333,0.52877698,0.98000000,0.68691589,0.73705977,0.52000000,0.51086957,0.94000000,0.66197183
8,0.67068267,0.56666667,0.53703704,0.96666667,0.69047619,0.71727616,0.49000000,0.49450549,0.90000000,0.63829787
9,0.67018861,0.56000000,0.53214286,0.99333333,0.69302326,0.72637963,0.50000000,0.50000000,0.92000000,0.64788732
10,0.64985150,0.60333333,0.75409836,0.30666667,0.43601896,0.71275592,0.54000000,0.61111111,0.22000000,0.32352941
11,0.63563269,0.70333333,0.69426752,0.72666667,0.71009772,0.69565344,0.53000000,0.52941176,0.54000000,0.53465347
12,0.63053775,0.64666667,0.66176471,0.60000000,0.62937063,0.70356339,0.52000000,0.52083333,0.50000000,0.51020408
13,0.64215922,0.61000000,0.80000000,0.29333333,0.42926829,0.72071075,0.52000000,0.55555556,0.20000000,0.29411765
14,0.64415359,0.61666667,0.57028112,0.94666667,0.71177945,0.73617727,0.50000000,0.50000000,0.84000000,0.62686567
15,0.65008318,0.59000000,0.86486486,0.21333333,0.34224599,0.74440950,0.56000000,0.71428571,0.20000000,0.31250000
16,0.60865813,0.72333333,0.77235772,0.63333333,0.69597070,0.70722425,0.49000000,0.48837209,0.42000000,0.45161290
17,0.60361189,0.75333333,0.71348315,0.84666667,0.77439024,0.70729017,0.47000000,0.47540984,0.58000000,0.52252252
18,0.61508262,0.63666667,0.85964912,0.32666667,0.47342995,0.72870880,0.55000000,0.63157895,0.24000000,0.34782609
19,0.59295064,0.72666667,0.66831683,0.90000000,0.76704545,0.71901321,0.47000000,0.47945205,0.70000000,0.56910569
20,0.58806092,0.73000000,0.82857143,0.58000000,0.68235294,0.71643567,0.48000000,0.46875000,0.30000000,0.36585366
21,0.63224673,0.59000000,0.90909091,0.20000000,0.32786885,0.74407315,0.55000000,0.72727273,0.16000000,0.26229508
22,0.58633119,0.71333333,0.64285714,0.96000000,0.77005348,0.72391289,0.46000000,0.47500000,0.76000000,0.58461538
23,0.64500833,0.58000000,0.54347826,1.00000000,0.70422535,0.76941240,0.49000000,0.49450549,0.90000000,0.63829787
24,0.57147241,0.75333333,0.68627451,0.93333333,0.79096045,0.72013277,0.49000000,0.49275362,0.68000000,0.57142857
25,0.56497091,0.75000000,0.67605634,0.96000000,0.79338843,0.72633100,0.49000000,0.49295775,0.70000000,0.57851240
26,0.64253294,0.58000000,1.00000000,0.16000000,0.27586207,0.78585976,0.55000000,0.72727273,0.16000000,0.26229508
27,0.56771976,0.70666667,0.91891892,0.45333333,0.60714286,0.73141783,0.55000000,0.60869565,0.28000000,0.38356164
28,0.61493331,0.61333333,0.56390977,1.00000000,0.72115385,0.78745973,0.52000000,0.51136364,0.90000000,0.65217391
29,0.56828463,0.71333333,0.63913043,0.98000000,0.77368421,0.75204819,0.48000000,0.48750000,0.78000000,0.60000000
30,0.55582744,0.78666667,0.75595238,0.84666667,0.79874214,0.70851791,0.55000000,0.54385965,0.62000000,0.57943925
31,0.53231347,0.79666667,0.83458647,0.74000000,0.78445230,0.73273391,0.49000000,0.48888889,0.44000000,0.46315789
32,0.52736574,0.77666667,0.70443350,0.95333333,0.81019830,0.73445570,0.50000000,0.50000000,0.70000000,0.58333333
33,0.63053477,0.58000000,1.00000000,0.16000000,0.27586207,0.81314951,0.54000000,0.70000000,0.14000000,0.23333333
