epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.68735456,0.55000000,0.57425743,0.38666667,0.46215139,0.70303053,0.47000000,0.46153846,0.36000000,0.40449438
2,0.68234491,0.58666667,0.60833333,0.48666667,0.54074074,0.70399046,0.46000000,0.45454545,0.40000000,0.42553191
3,0.69153649,0.51333333,0.50719424,0.94000000,0.65887850,0.71048546,0.50000000,0.50000000,0.98000000,0.66216216
4,0.67525584,0.60000000,0.60869565,0.56000000,0.58333333,0.70213056,0.50000000,0.50000000,0.62000000,0.55357143
5,0.67538434,0.59000000,0.71428571,0.30000000,0.42253521,0.70503050,0.51000000,0.52000000,0.26000000,0.34666667
6,0.67534417,0.57000000,0.54183267,0.90666667,0.67830424,0.70534557,0.48000000,0.48809524,0.82000000,0.61194030
7,0.66808754,0.62666667,0.65322581,0.54000000,0.59124088,0.70089352,0.46000000,0.46428571,0.52000000,0.49056604
8,0.66519785,0.63333333,0.68518519,0.49333333,0.57364341,0.70182449,0.46000000,0.45652174,0.42000000,0.43750000
9,0.67459667,0.57333333,0.89285714,0.16666667,0.28089888,0.71214128,0.53000000,0.71428571,0.10000000,0.17543860
10,0.66064757,0.61666667,0.58706468,0.78666667,0.67236467,0.70304489,0.48000000,0.48648649,0.72000000,0.58064516
11,0.66459119,0.60000000,0.56048387,0.92666667,0.69849246,0.70768082,0.48000000,0.48809524,0.82000000,0.61194030
12,0.65559590,0.65333333,0.71296296,0.51333333,0.59689922,0.70066512,0.48000000,0.47727273,0.42000000,0.44680851
13,0.65590930,0.63000000,0.58297872,0.91333333,0.71168831,0.70548737,0.50000000,0.50000000,0.82000000,0.62121212
14,0.64984447,0.67000000,0.64406780,0.76000000,0.69724771,0.70176297,0.47000000,0.47761194,0.64000000,0.54700855
15,0.65375954,0.62333333,0.57939914,0.90000000,0.70496084,0.70995879,0.48000000,0.48809524,0.82000000,0.61194030
16,0.66606188,0.56666667,0.53676471,0.97333333,0.69194313,0.72142398,0.48000000,0.48888889,0.88000000,0.62857143
17,0.64321935,0.67333333,0.64285714,0.78000000,0.70481928,0.70488739,0.47000000,0.47826087,0.66000000,0.55462185
18,0.63984811,0.67000000,0.74285714,0.52000000,0.61176471,0.70500523,0.49000000,0.48780488,0.40000000,0.43956044
19,0.64490670,0.64666667,0.59401709,0.92666667,0.72395833,0.71356201,0.48000000,0.48809524,0.82000000,0.61194030
20,0.64734948,0.62333333,0.93023256,0.26666667,0.41450777,0.71347225,0.54000000,0.64285714,0.18000000,0.28125000
21,0.64436984,0.63000000,0.57894737,0.95333333,0.72040302,0.71745527,0.48000000,0.48809524,0.82000000,0.61194030
22,0.62528414,0.70000000,0.72388060,0.64666667,0.68309859,0.70783925,0.49000000,0.49056604,0.52000000,0.50485437
23,0.63660032,0.63666667,0.58506224,0.94000000,0.72122762,0.72231162,0.47000000,0.48235294,0.82000000,0.60740741
24,0.61944747,0.70666667,0.71830986,0.68000000,0.69863014,0.70912582,0.50000000,0.50000000,0.54000000,0.51923077
25,0.66297984,0.56000000,0.53237410,0.98666667,0.69158879,0.75015682,0.49000000,0.49473684,0.94000000,0.64827586
26,0.63541770,0.62333333,0.89361702,0.28000000,0.42639594,0.71902925,0.52000000,0.57142857,0.16000000,0.25000000
27,0.60905081,0.74333333,0.69729730,0.86000000,0.77014925,0.71127051,0.50000000,0.50000000,0.66000000,0.56896552
28,0.62558532,0.64333333,0.58847737,0.95333333,0.72773537,0.73045975,0.48000000,0.48837209,0.84000000,0.61764706
29,0.61215097,0.68000000,0.84615385,0.44000000,0.57894737,0.71711242,0.48000000,0.46666667,0.28000000,0.35000000
30,0.60460317,0.71666667,0.64976959,0.94000000,0.76839237,0.71520829,0.53000000,0.52000000,0.78000000,0.62400000
31,0.59716088,0.72666667,0.66346154,0.92000000,0.77094972,0.71544236,0.56000000,0.54166667,0.78000000,0.63934426
32,0.71708101,0.51666667,1.00000000,0.03333333,0.06451613,0.81547982,0.49000000,0.00000000,0.00000000,0.00000000
