epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.69051391,0.50666667,0.53125000,0.11333333,0.18681319,0.69580615,0.49000000,0.46153846,0.12000000,0.19047619
2,0.68794703,0.53666667,0.52879581,0.67333333,0.59237537,0.69563478,0.52000000,0.51515152,0.68000000,0.58620690
3,0.68764335,0.55333333,0.57692308,0.40000000,0.47244094,0.69234121,0.52000000,0.52380952,0.44000000,0.47826087
4,0.68521678,0.53333333,0.51798561,0.96000000,0.67289720,0.70369703,0.49000000,0.49462366,0.92000000,0.64335664
5,0.71051288,0.50000000,0.00000000,0.00000000,0.00000000,0.72777265,0.50000000,0.00000000,0.00000000,0.00000000
6,0.68780327,0.52666667,0.70000000,0.09333333,0.16470588,0.70488095,0.49000000,0.33333333,0.02000000,0.03773585
7,0.67273062,0.58333333,0.90322581,0.18666667,0.30939227,0.69326204,0.54000000,0.70000000,0.14000000,0.23333333
8,0.67663616,0.58000000,0.63636364,0.37333333,0.47058824,0.69049227,0.54000000,0.57142857,0.32000000,0.41025641
9,0.67700183,0.52000000,1.00000000,0.04000000,0.07692308,0.70080018,0.50000000,0.00000000,0.00000000,0.00000000
10,0.68136787,0.51000000,0.71428571,0.03333333,0.06369427,0.70268583,0.48000000,0.00000000,0.00000000,0.00000000
11,0.66358501,0.62333333,0.69892473,0.43333333,0.53497942,0.69540918,0.55000000,0.58620690,0.34000000,0.43037975
12,0.66449893,0.65333333,0.60747664,0.86666667,0.71428571,0.69401914,0.55000000,0.53968254,0.68000000,0.60176991
13,0.64029467,0.66666667,0.63297872,0.79333333,0.70414201,0.71112651,0.50000000,0.50000000,0.62000000,0.55357143
14,0.67600340,0.52666667,0.58333333,0.18666667,0.28282828,0.72614360,0.54000000,0.64285714,0.18000000,0.28125000
15,0.67480481,0.56666667,0.53649635,0.98000000,0.69339623,0.69739503,0.49000000,0.49462366,0.92000000,0.64335664
16,0.65453351,0.65000000,0.71428571,0.50000000,0.58823529,0.69405305,0.61000000,0.66666667,0.44000000,0.53012048
17,0.65094197,0.59333333,0.80434783,0.24666667,0.37755102,0.72909766,0.53000000,0.57894737,0.22000000,0.31884058
18,0.64427882,0.63333333,0.57874016,0.98000000,0.72772277,0.72459912,0.49000000,0.49397590,0.82000000,0.61654135
19,0.70071214,0.53666667,1.00000000,0.07333333,0.13664596,0.81321943,0.53000000,0.80000000,0.08000000,0.14545455
20,0.59204710,0.70666667,0.64090909,0.94000000,0.76216216,0.74107832,0.50000000,0.50000000,0.70000000,0.58333333
21,0.64155465,0.58333333,0.74509804,0.25333333,0.37810945,0.71574354,0.58000000,0.72222222,0.26000000,0.38235294
22,0.60901207,0.72333333,0.66502463,0.90000000,0.76487252,0.71016783,0.51000000,0.50704225,0.72000000,0.59504132
23,0.61392432,0.64666667,0.71153846,0.49333333,0.58267717,0.73046756,0.51000000,0.51282051,0.40000000,0.44943820
24,0.61367697,0.65000000,0.59259259,0.96000000,0.73282443,0.72106689,0.54000000,0.52500000,0.84000000,0.64615385
25,0.98739654,0.51666667,0.50847458,1.00000000,0.67415730,1.12915754,0.49000000,0.49494949,0.98000000,0.65771812
26,0.58299136,0.68666667,0.65909091,0.77333333,0.71165644,0.73271471,0.51000000,0.50877193,0.58000000,0.54205607
27,0.54978371,0.73333333,0.70833333,0.79333333,0.74842767,0.73878217,0.50000000,0.50000000,0.56000000,0.52830189
28,0.62190890,0.70000000,0.66129032,0.82000000,0.73214286,0.72347760,0.53000000,0.52830189,0.56000000,0.54368932
29,0.55951381,0.71666667,0.64192140,0.98000000,0.77572559,0.75490600,0.50000000,0.50000000,0.80000000,0.61538462
30,0.52637267,0.76000000,0.78676471,0.71333333,0.74825175,0.79322481,0.48000000,0.47727273,0.42000000,0.44680851
31,0.51428783,0.76333333,0.76158940,0.76666667,0.76411960,0.82593596,0.50000000,0.50000000,0.54000000,0.51923077
32,0.55754942,0.72666667,0.70987654,0.76666667,0.73717949,0.74843478,0.51000000,0.51020408,0.50000000,0.50505051
33,0.57551694,0.67666667,0.60816327,0.99333333,0.75443038,0.78917396,0.50000000,0.50000000,0.84000000,0.62686567
34,0.50557083,0.76333333,0.89108911,0.60000000,0.71713147,0.84722161,0.56000000,0.58333333,0.42000000,0.48837209
35,0.56006342,0.67333333,0.88235294,0.40000000,0.55045872,0.82520562,0.52000000,0.54166667,0.26000000,0.35135135
36,0.59781921,0.63666667,0.93617021,0.29333333,0.44670051,0.86455035,0.55000000,0.64705882,0.22000000,0.32835821
37,0.52761787,0.73666667,0.66985646,0.93333333,0.77994429,0.78896159,0.54000000,0.52631579,0.80000000,0.63492063
38,0.70147717,0.64333333,0.58634538,0.97333333,0.73182957,1.10161555,0.49000000,0.49411765,0.84000000,0.62222222
