epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.68301463,0.59333333,0.57070707,0.75333333,0.64942529,0.69920617,0.53000000,0.52173913,0.72000000,0.60504202
2,0.69017959,0.49333333,0.25000000,0.00666667,0.01298701,0.70990050,0.49000000,0.00000000,0.00000000,0.00000000
3,0.67574966,0.55333333,0.57692308,0.40000000,0.47244094,0.69912398,0.46000000,0.45238095,0.38000000,0.41304348
4,0.67363888,0.54000000,0.73076923,0.12666667,0.21590909,0.70543754,0.47000000,0.36363636,0.08000000,0.13114754
5,0.67082369,0.60000000,0.55952381,0.94000000,0.70149254,0.70080626,0.51000000,0.50602410,0.84000000,0.63157895
6,0.66287029,0.64333333,0.59071730,0.93333333,0.72351421,0.70291579,0.52000000,0.51282051,0.80000000,0.62500000
7,0.65431863,0.67666667,0.66878981,0.70000000,0.68403909,0.69958603,0.48000000,0.48000000,0.48000000,0.48000000
8,0.65859145,0.58666667,0.79545455,0.23333333,0.36082474,0.71168697,0.47000000,0.42105263,0.16000000,0.23188406
9,0.65549403,0.55333333,0.75000000,0.16000000,0.26373626,0.71388978,0.51000000,0.53846154,0.14000000,0.22222222
10,0.64170623,0.66666667,0.77173913,0.47333333,0.58677686,0.70521826,0.53000000,0.54285714,0.38000000,0.44705882
11,0.63910216,0.68000000,0.78125000,0.50000000,0.60975610,0.70325553,0.51000000,0.51612903,0.32000000,0.39506173
12,0.62872618,0.72000000,0.70625000,0.75333333,0.72903226,0.70234340,0.53000000,0.52830189,0.56000000,0.54368932
13,0.62187636,0.71666667,0.67195767,0.84666667,0.74926254,0.70604283,0.51000000,0.50819672,0.62000000,0.55855856
14,0.61667603,0.71666667,0.70967742,0.73333333,0.72131148,0.70840025,0.50000000,0.50000000,0.50000000,0.50000000
15,0.62614214,0.61000000,0.81132075,0.28666667,0.42364532,0.72027940,0.53000000,0.58823529,0.20000000,0.29850746
16,0.68400979,0.53000000,0.90909091,0.06666667,0.12422360,0.78673184,0.50000000,0.50000000,0.04000000,0.07407407
17,0.61475688,0.65333333,0.81944444,0.39333333,0.53153153,0.72809720,0.55000000,0.61904762,0.26000000,0.36619718
18,0.60048056,0.70666667,0.64220183,0.93333333,0.76086957,0.72865582,0.53000000,0.52054795,0.76000000,0.61788618
19,0.64815074,0.55666667,0.90476190,0.12666667,0.22222222,0.77608544,0.51000000,0.57142857,0.08000000,0.14035088
20,0.58149356,0.75000000,0.70718232,0.85333333,0.77341390,0.71693426,0.52000000,0.51666667,0.62000000,0.56363636
21,0.59357965,0.70000000,0.62931034,0.97333333,0.76439791,0.74497116,0.53000000,0.51948052,0.80000000,0.62992126
22,0.57084572,0.77333333,0.75308642,0.81333333,0.78205128,0.72439528,0.55000000,0.54545455,0.60000000,0.57142857
23,0.58846897,0.69000000,0.62337662,0.96000000,0.75590551,0.75376248,0.53000000,0.51898734,0.82000000,0.63565891
24,0.55635029,0.75333333,0.69587629,0.90000000,0.78488372,0.72972488,0.51000000,0.50769231,0.66000000,0.57391304
25,0.55873924,0.77000000,0.87850467,0.62666667,0.73151751,0.73812419,0.51000000,0.51351351,0.38000000,0.43678161
26,0.56336236,0.72333333,0.93506494,0.48000000,0.63436123,0.76209646,0.50000000,0.50000000,0.20000000,0.28571429
27,0.54125506,0.74000000,0.66981132,0.94666667,0.78453039,0.76053816,0.52000000,0.51351351,0.76000000,0.61290323
28,0.52461314,0.78000000,0.73595506,0.87333333,0.79878049,0.74077839,0.54000000,0.53571429,0.60000000,0.56603774
29,0.54100585,0.75000000,0.92134831,0.54666667,0.68619247,0.77367002,0.51000000,0.52173913,0.24000000,0.32876712
30,0.51491719,0.80333333,0.88888889,0.69333333,0.77902622,0.76099432,0.49000000,0.48648649,0.36000000,0.41379310
31,0.50515956,0.83000000,0.80368098,0.87333333,0.83706070,0.74247402,0.57000000,0.56363636,0.62000000,0.59047619
32,0.52080941,0.75333333,0.68269231,0.94666667,0.79329609,0.76590699,0.57000000,0.55223881,0.74000000,0.63247863
33,0.58018565,0.60666667,1.00000000,0.21333333,0.35164835,0.81511551,0.54000000,0.75000000,0.12000000,0.20689655
34,0.50273138,0.77666667,0.93684211,0.59333333,0.72653061,0.79277402,0.51000000,0.51851852,0.28000000,0.36363636
35,0.47110698,0.80666667,0.75555556,0.90666667,0.82424242,0.76242185,0.55000000,0.54545455,0.60000000,0.57142857
36,0.74664885,0.55000000,0.52631579,1.00000000,0.68965517,0.95159078,0.49000000,0.49450549,0.90000000,0.63829787
37,0.70408380,0.56666667,0.53571429,1.00000000,0.69767442,0.92379487,0.48000000,0.48913043,0.90000000,0.63380282
38,0.46498767,0.83666667,0.96330275,0.70000000,0.81081081,0.79666644,0.46000000,0.43750000,0.28000000,0.34146341
39,0.43969741,0.83333333,0.80120482,0.88666667,0.84177215,0.77622890,0.54000000,0.53571429,0.60000000,0.56603774
40,0.43599123,0.82666667,0.78160920,0.90666667,0.83950617,0.79178917,0.56000000,0.55357143,0.62000000,0.58490566
41,0.59993166,0.66333333,0.59760956,1.00000000,0.74812968,0.88797194,0.54000000,0.52325581,0.90000000,0.66176471
42,0.46807435,0.77333333,0.69339623,0.98000000,0.81215470,0.82345337,0.57000000,0.54794521,0.80000000,0.65040650
43,0.59110117,0.66333333,0.59760956,1.00000000,0.74812968,0.90129942,0.51000000,0.50574713,0.88000000,0.64233577
44,0.43228027,0.83333333,0.76041667,0.97333333,0.85380117,0.81062806,0.57000000,0.55737705,0.68000000,0.61261261
45,0.59084451,0.58666667,1.00000000,0.17333333,0.29545455,0.92932057,0.55000000,0.85714286,0.12000000,0.21052632
46,0.44196779,0.87333333,0.92424242,0.81333333,0.86524823,0.78032666,0.50000000,0.50000000,0.42000000,0.45652174
47,0.66291422,0.61333333,0.56390977,1.00000000,0.72115385,0.98642027,0.48000000,0.48888889,0.88000000,0.62857143
