epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.68900162,0.55000000,0.52988048,0.88666667,0.66334165,0.69222337,0.49000000,0.49411765,0.84000000,0.62222222
2,0.67982703,0.60000000,0.60135135,0.59333333,0.59731544,0.69103885,0.51000000,0.50793651,0.64000000,0.56637168
3,0.67348695,0.59666667,0.60431655,0.56000000,0.58131488,0.69068110,0.50000000,0.50000000,0.62000000,0.55357143
4,0.66983837,0.61666667,0.60479042,0.67333333,0.63722397,0.69145185,0.47000000,0.47945205,0.70000000,0.56910569
5,0.66767013,0.60000000,0.56355932,0.88666667,0.68911917,0.69371599,0.52000000,0.51136364,0.90000000,0.65217391
6,0.67323315,0.54666667,0.52482270,0.98666667,0.68518519,0.70325494,0.51000000,0.50526316,0.96000000,0.66206897
7,0.65897638,0.66000000,0.62903226,0.78000000,0.69642857,0.69616067,0.50000000,0.50000000,0.82000000,0.62121212
8,0.65458792,0.66666667,0.66025641,0.68666667,0.67320261,0.69675016,0.45000000,0.46478873,0.66000000,0.54545455
9,0.66265827,0.55000000,0.80000000,0.13333333,0.22857143,0.70751059,0.51000000,0.53333333,0.16000000,0.24615385
10,0.66614896,0.54000000,0.83333333,0.10000000,0.17857143,0.71112299,0.50000000,0.50000000,0.10000000,0.16666667
11,0.65469062,0.57666667,0.84848485,0.18666667,0.30601093,0.70413238,0.48000000,0.42857143,0.12000000,0.18750000
12,0.67047012,0.53666667,0.51916376,0.99333333,0.68192220,0.71809232,0.52000000,0.51041667,0.98000000,0.67123288
13,0.63944715,0.70333333,0.65482234,0.86000000,0.74351585,0.70175463,0.52000000,0.51219512,0.84000000,0.63636364
14,0.63411134,0.72333333,0.68926554,0.81333333,0.74617737,0.70137960,0.49000000,0.49333333,0.74000000,0.59200000
15,0.65696472,0.54666667,0.85000000,0.11333333,0.20000000,0.71904784,0.47000000,0.33333333,0.06000000,0.10169492
16,0.65366721,0.57333333,0.54014599,0.98666667,0.69811321,0.72105360,0.53000000,0.51612903,0.96000000,0.67132867
17,0.62404329,0.72000000,0.80000000,0.58666667,0.67692308,0.70617950,0.39000000,0.37209302,0.32000000,0.34408602
18,0.63226229,0.63666667,0.93617021,0.29333333,0.44670051,0.71347910,0.50000000,0.50000000,0.20000000,0.28571429
19,0.61618835,0.74333333,0.79200000,0.66000000,0.72000000,0.70866442,0.44000000,0.44000000,0.44000000,0.44000000
20,0.61672741,0.70666667,0.88750000,0.47333333,0.61739130,0.71351647,0.42000000,0.37500000,0.24000000,0.29268293
21,0.60635215,0.75000000,0.70053476,0.87333333,0.77744807,0.71084428,0.49000000,0.49350649,0.76000000,0.59842520
22,0.60352844,0.75333333,0.68627451,0.93333333,0.79096045,0.71183884,0.52000000,0.51190476,0.86000000,0.64179104
23,0.61273938,0.65333333,0.89655172,0.34666667,0.50000000,0.72753197,0.50000000,0.50000000,0.22000000,0.30555556
24,0.58954203,0.77666667,0.77852349,0.77333333,0.77591973,0.71838379,0.48000000,0.48387097,0.60000000,0.53571429
25,0.60084271,0.68666667,0.90000000,0.42000000,0.57272727,0.72669786,0.47000000,0.44444444,0.24000000,0.31168831
26,0.61817551,0.62333333,0.57198444,0.98000000,0.72235872,0.74802136,0.55000000,0.52747253,0.96000000,0.68085106
27,0.68372881,0.53666667,0.51903114,1.00000000,0.68337130,0.79566473,0.51000000,0.50515464,0.98000000,0.66666667
28,0.56845707,0.77666667,0.79020979,0.75333333,0.77133106,0.72158694,0.47000000,0.47169811,0.50000000,0.48543689
29,0.56577271,0.75333333,0.69587629,0.90000000,0.78488372,0.72404742,0.52000000,0.51351351,0.76000000,0.61290323
30,0.55573320,0.80333333,0.77575758,0.85333333,0.81269841,0.71785164,0.49000000,0.49230769,0.64000000,0.55652174
31,0.54744309,0.79666667,0.79084967,0.80666667,0.79867987,0.72794372,0.48000000,0.48275862,0.56000000,0.51851852
32,0.62607336,0.58666667,1.00000000,0.17333333,0.29545455,0.77927804,0.51000000,0.55555556,0.10000000,0.16949153
33,0.56587088,0.70333333,0.63436123,0.96000000,0.76392573,0.74977446,0.55000000,0.52941176,0.90000000,0.66666667
34,0.53667700,0.78666667,0.71938776,0.94000000,0.81502890,0.73419845,0.48000000,0.48684211,0.74000000,0.58730159
35,0.52290231,0.81333333,0.76704545,0.90000000,0.82822086,0.74159139,0.46000000,0.47142857,0.66000000,0.55000000
36,0.66599947,0.56333333,0.53380783,1.00000000,0.69605568,0.86056376,0.53000000,0.51612903,0.96000000,0.67132867
37,0.55622792,0.69000000,0.62025316,0.98000000,0.75968992,0.76821083,0.55000000,0.52873563,0.92000000,0.67153285
38,0.51422101,0.78000000,0.70588235,0.96000000,0.81355932,0.75934964,0.51000000,0.50617284,0.82000000,0.62595420
39,0.51514727,0.75000000,0.94117647,0.53333333,0.68085106,0.75636178,0.46000000,0.43333333,0.26000000,0.32500000
40,0.49665660,0.79666667,0.92380952,0.64666667,0.76078431,0.76467431,0.45000000,0.41935484,0.26000000,0.32098765
41,0.59429491,0.61666667,1.00000000,0.23333333,0.37837838,0.82463098,0.53000000,0.60000000,0.18000000,0.27692308
42,0.56324291,0.65333333,1.00000000,0.30666667,0.46938776,0.81477714,0.49000000,0.47619048,0.20000000,0.28169014
43,0.57531857,0.63000000,1.00000000,0.26000000,0.41269841,0.81089568,0.52000000,0.60000000,0.12000000,0.20000000
