epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.68977469,0.50333333,0.50602410,0.28000000,0.36051502,0.71814257,0.49000000,0.48000000,0.24000000,0.32000000
2,0.68509847,0.53000000,0.57894737,0.22000000,0.31884058,0.71376300,0.47000000,0.42105263,0.16000000,0.23188406
3,0.67729586,0.54666667,0.56481481,0.40666667,0.47286822,0.71037340,0.47000000,0.45714286,0.32000000,0.37647059
4,0.69509530,0.52333333,0.81818182,0.06000000,0.11180124,0.73076355,0.48000000,0.00000000,0.00000000,0.00000000
5,0.67022133,0.62000000,0.58910891,0.79333333,0.67613636,0.71095467,0.43000000,0.44444444,0.56000000,0.49557522
6,0.66628045,0.61000000,0.65420561,0.46666667,0.54474708,0.71428561,0.47000000,0.45714286,0.32000000,0.37647059
7,0.66174185,0.61666667,0.62068966,0.60000000,0.61016949,0.70943224,0.48000000,0.47916667,0.46000000,0.46938776
8,0.65736860,0.65333333,0.62921348,0.74666667,0.68292683,0.71445966,0.45000000,0.45762712,0.54000000,0.49541284
9,0.65284675,0.64333333,0.66165414,0.58666667,0.62190813,0.71283740,0.45000000,0.44444444,0.40000000,0.42105263
10,0.65027010,0.63333333,0.59708738,0.82000000,0.69101124,0.71356988,0.47000000,0.47761194,0.64000000,0.54700855
11,0.66223353,0.56333333,0.82758621,0.16000000,0.26815642,0.72720009,0.47000000,0.36363636,0.08000000,0.13114754
12,0.64242387,0.68666667,0.64736842,0.82000000,0.72352941,0.71746153,0.45000000,0.45901639,0.56000000,0.50450450
13,0.66487843,0.57000000,0.53874539,0.97333333,0.69358670,0.73765165,0.50000000,0.50000000,0.90000000,0.64285714
14,0.65067911,0.61666667,0.92682927,0.25333333,0.39790576,0.72661924,0.51000000,0.53333333,0.16000000,0.24615385
15,0.70972425,0.50333333,0.66666667,0.01333333,0.02614379,0.77220321,0.50000000,0.00000000,0.00000000,0.00000000
16,0.62983775,0.70333333,0.75630252,0.60000000,0.66914498,0.71868533,0.46000000,0.45454545,0.40000000,0.42553191
17,0.62156481,0.72000000,0.72000000,0.72000000,0.72000000,0.72101402,0.43000000,0.43859649,0.50000000,0.46728972
18,0.64070487,0.59333333,0.83333333,0.23333333,0.36458333,0.74096262,0.47000000,0.40000000,0.12000000,0.18461538
19,0.62325859,0.67000000,0.60759494,0.96000000,0.74418605,0.73690796,0.47000000,0.47945205,0.70000000,0.56910569
20,0.62717164,0.61000000,0.85106383,0.26666667,0.40609137,0.73653013,0.46000000,0.40000000,0.16000000,0.22857143
21,0.60423571,0.73666667,0.83809524,0.58666667,0.69019608,0.73134482,0.45000000,0.44186047,0.38000000,0.40860215
22,0.61825472,0.65333333,0.59504132,0.96000000,0.73469388,0.75336152,0.45000000,0.46575342,0.68000000,0.55284553
23,0.60387766,0.69333333,0.81521739,0.50000000,0.61983471,0.74448311,0.45000000,0.41935484,0.26000000,0.32098765
24,0.59526020,0.70333333,0.63926941,0.93333333,0.75880759,0.74193174,0.47000000,0.47826087,0.66000000,0.55462185
25,0.58390063,0.74000000,0.79032258,0.65333333,0.71532847,0.74419510,0.42000000,0.41304348,0.38000000,0.39583333
26,0.58217859,0.74333333,0.84112150,0.60000000,0.70038911,0.74548125,0.42000000,0.39473684,0.30000000,0.34090909
27,0.59604108,0.66666667,0.93103448,0.36000000,0.51923077,0.74976587,0.49000000,0.47619048,0.20000000,0.28169014
28,0.59380627,0.66333333,0.60251046,0.96000000,0.74035990,0.76330978,0.49000000,0.49350649,0.76000000,0.59842520
29,0.56771201,0.77000000,0.70769231,0.92000000,0.80000000,0.74246591,0.47000000,0.47619048,0.60000000,0.53097345
30,0.55686796,0.77333333,0.72043011,0.89333333,0.79761905,0.74535674,0.48000000,0.48333333,0.58000000,0.52727273
31,0.55025321,0.80666667,0.80666667,0.80666667,0.80666667,0.73719269,0.47000000,0.46938776,0.46000000,0.46464646
32,0.54690826,0.78333333,0.84000000,0.70000000,0.76363636,0.75094515,0.45000000,0.43902439,0.36000000,0.39560440
33,0.66852933,0.55666667,0.53024911,0.99333333,0.69141531,0.84627962,0.48000000,0.48936170,0.92000000,0.63888889
