epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.68961489,0.54000000,0.52727273,0.77333333,0.62702703,0.69585878,0.50000000,0.50000000,0.80000000,0.61538462
2,0.68347114,0.55000000,0.55813953,0.48000000,0.51612903,0.69502783,0.57000000,0.57777778,0.52000000,0.54736842
3,0.67934477,0.57333333,0.55612245,0.72666667,0.63005780,0.70054197,0.53000000,0.52173913,0.72000000,0.60504202
4,0.67463022,0.59000000,0.60150376,0.53333333,0.56537102,0.69803029,0.50000000,0.50000000,0.42000000,0.45652174
5,0.66941077,0.62000000,0.60112360,0.71333333,0.65243902,0.70188260,0.56000000,0.54838710,0.68000000,0.60714286
6,0.66418517,0.59333333,0.56194690,0.84666667,0.67553191,0.70370102,0.55000000,0.53246753,0.82000000,0.64566929
7,0.65594810,0.66333333,0.62962963,0.79333333,0.70206490,0.70236349,0.53000000,0.52459016,0.64000000,0.57657658
8,0.65204924,0.69333333,0.67058824,0.76000000,0.71250000,0.70399308,0.51000000,0.50877193,0.58000000,0.54205607
9,0.66092730,0.56333333,0.70212766,0.22000000,0.33502538,0.70864564,0.45000000,0.35294118,0.12000000,0.17910448
10,0.66563326,0.55666667,0.77419355,0.16000000,0.26519337,0.71509200,0.44000000,0.25000000,0.06000000,0.09677419
11,0.66123360,0.56333333,0.75675676,0.18666667,0.29946524,0.71228909,0.45000000,0.30769231,0.08000000,0.12698413
12,0.66332048,0.56666667,0.53597122,0.99333333,0.69626168,0.73565429,0.52000000,0.51041667,0.98000000,0.67123288
13,0.63374615,0.66000000,0.60810811,0.90000000,0.72580645,0.70803851,0.54000000,0.52631579,0.80000000,0.63492063
14,0.62478447,0.67333333,0.61818182,0.90666667,0.73513514,0.72560662,0.53000000,0.52054795,0.76000000,0.61788618
15,0.67386699,0.56000000,1.00000000,0.12000000,0.21428571,0.74865252,0.46000000,0.25000000,0.04000000,0.06896552
16,0.63990939,0.59666667,0.55430712,0.98666667,0.70983213,0.75118041,0.47000000,0.48314607,0.86000000,0.61870504
17,0.60188830,0.69000000,0.77669903,0.53333333,0.63241107,0.72938621,0.47000000,0.45714286,0.32000000,0.37647059
18,0.64824522,0.58333333,0.93103448,0.18000000,0.30167598,0.75950563,0.46000000,0.30000000,0.06000000,0.10000000
19,0.59361124,0.69666667,0.72868217,0.62666667,0.67383513,0.74838519,0.43000000,0.41463415,0.34000000,0.37362637
20,0.61031443,0.63333333,0.91666667,0.29333333,0.44444444,0.74384844,0.47000000,0.42105263,0.16000000,0.23188406
21,0.56824362,0.76333333,0.73372781,0.82666667,0.77742947,0.73731697,0.51000000,0.50877193,0.58000000,0.54205607
22,0.56542116,0.74666667,0.69473684,0.88000000,0.77647059,0.73569459,0.48000000,0.48387097,0.60000000,0.53571429
23,0.58366877,0.70333333,0.96923077,0.42000000,0.58604651,0.75644803,0.49000000,0.47826087,0.22000000,0.30136986
24,0.53840971,0.82666667,0.86029412,0.78000000,0.81818182,0.75516009,0.45000000,0.44444444,0.40000000,0.42105263
25,0.55026680,0.75000000,0.88659794,0.57333333,0.69635628,0.74901474,0.50000000,0.50000000,0.30000000,0.37500000
26,0.61568969,0.61333333,0.56488550,0.98666667,0.71844660,0.84019685,0.48000000,0.48913043,0.90000000,0.63380282
27,0.56886446,0.67333333,0.60743802,0.98000000,0.75000000,0.83425158,0.49000000,0.49397590,0.82000000,0.61654135
28,0.51234329,0.79333333,0.72916667,0.93333333,0.81871345,0.77590621,0.50000000,0.50000000,0.72000000,0.59016393
29,0.50401545,0.81000000,0.76878613,0.88666667,0.82352941,0.76048177,0.46000000,0.46551724,0.54000000,0.50000000
30,0.48266190,0.82000000,0.78235294,0.88666667,0.83125000,0.80343157,0.50000000,0.50000000,0.62000000,0.55357143
31,0.48336720,0.87000000,0.89361702,0.84000000,0.86597938,0.76180679,0.49000000,0.48888889,0.44000000,0.46315789
32,0.58642250,0.62666667,1.00000000,0.25333333,0.40425532,0.83676451,0.49000000,0.46153846,0.12000000,0.19047619
33,0.50492066,0.80333333,0.72864322,0.96666667,0.83094556,0.77774978,0.47000000,0.47887324,0.68000000,0.56198347
34,0.45844054,0.82666667,0.92982456,0.70666667,0.80303030,0.80993563,0.50000000,0.50000000,0.34000000,0.40476190
35,0.48112768,0.82000000,0.75263158,0.95333333,0.84117647,0.77710080,0.51000000,0.50724638,0.70000000,0.58823529
36,0.54256386,0.67666667,0.60816327,0.99333333,0.75443038,0.90656614,0.53000000,0.51685393,0.92000000,0.66187050
37,0.54964632,0.65000000,0.58893281,0.99333333,0.73945409,0.91675234,0.53000000,0.51685393,0.92000000,0.66187050
