epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.68566000,0.56333333,0.63380282,0.30000000,0.40723982,0.69142091,0.48000000,0.44444444,0.16000000,0.23529412
2,0.68125218,0.60666667,0.63559322,0.50000000,0.55970149,0.69009233,0.46000000,0.43333333,0.26000000,0.32500000
3,0.67852706,0.61333333,0.62878788,0.55333333,0.58865248,0.68976223,0.53000000,0.55172414,0.32000000,0.40506329
4,0.67684430,0.57333333,0.71153846,0.24666667,0.36633663,0.69214231,0.47000000,0.38461538,0.10000000,0.15873016
5,0.67322254,0.63666667,0.62576687,0.68000000,0.65175719,0.68910980,0.58000000,0.58695652,0.54000000,0.56250000
6,0.67056793,0.61666667,0.70114943,0.40666667,0.51476793,0.68866163,0.50000000,0.50000000,0.24000000,0.32432432
7,0.66592371,0.64000000,0.63461538,0.66000000,0.64705882,0.69144654,0.49000000,0.48780488,0.40000000,0.43956044
8,0.66419560,0.65000000,0.66423358,0.60666667,0.63414634,0.69457000,0.49000000,0.48571429,0.34000000,0.40000000
9,0.65997934,0.66666667,0.65625000,0.70000000,0.67741935,0.68869007,0.53000000,0.53658537,0.44000000,0.48351648
10,0.65361768,0.65333333,0.71698113,0.50666667,0.59375000,0.69215226,0.55000000,0.59259259,0.32000000,0.41558442
11,0.66108942,0.59666667,0.55555556,0.96666667,0.70559611,0.69986397,0.54000000,0.52380952,0.88000000,0.65671642
12,0.65250814,0.65666667,0.61928934,0.81333333,0.70317003,0.68911725,0.60000000,0.59615385,0.62000000,0.60784314
13,0.64132285,0.64000000,0.73863636,0.43333333,0.54621849,0.70084041,0.52000000,0.54545455,0.24000000,0.33333333
14,0.63595748,0.68333333,0.74774775,0.55333333,0.63601533,0.69833678,0.57000000,0.60000000,0.42000000,0.49411765
15,0.62833488,0.66000000,0.71052632,0.54000000,0.61363636,0.70429212,0.58000000,0.62500000,0.40000000,0.48780488
16,0.64546388,0.60000000,0.87500000,0.23333333,0.36842105,0.72576904,0.50000000,0.50000000,0.12000000,0.19354839
17,0.61706245,0.71666667,0.74074074,0.66666667,0.70175439,0.70586348,0.58000000,0.60526316,0.46000000,0.52272727
18,0.62139887,0.70333333,0.64055300,0.92666667,0.75749319,0.70530272,0.58000000,0.56451613,0.70000000,0.62500000
19,0.66590631,0.56333333,0.95238095,0.13333333,0.23391813,0.76322693,0.48000000,0.25000000,0.02000000,0.03703704
20,0.60191327,0.77000000,0.71204188,0.90666667,0.79765396,0.71012467,0.56000000,0.55555556,0.60000000,0.57692308
21,0.59748971,0.74333333,0.67632850,0.93333333,0.78431373,0.71272361,0.58000000,0.56666667,0.68000000,0.61818182
22,0.60178894,0.72666667,0.66037736,0.93333333,0.77348066,0.70857960,0.57000000,0.55737705,0.68000000,0.61261261
23,0.58345264,0.77000000,0.71891892,0.88666667,0.79402985,0.71670681,0.55000000,0.54385965,0.62000000,0.57943925
24,0.57920992,0.75333333,0.78358209,0.70000000,0.73943662,0.71695095,0.57000000,0.58974359,0.46000000,0.51685393
25,0.56928957,0.75000000,0.84403670,0.61333333,0.71042471,0.72607601,0.57000000,0.60000000,0.42000000,0.49411765
