epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.68643659,0.51000000,0.56521739,0.08666667,0.15028902,0.70439762,0.52000000,0.58333333,0.14000000,0.22580645
2,0.67526472,0.60000000,0.63157895,0.48000000,0.54545455,0.70656914,0.49000000,0.48936170,0.46000000,0.47422680
3,0.66697937,0.62000000,0.68367347,0.44666667,0.54032258,0.69874245,0.52000000,0.52500000,0.42000000,0.46666667
4,0.65990728,0.66666667,0.67857143,0.63333333,0.65517241,0.70436954,0.45000000,0.45454545,0.50000000,0.47619048
5,0.66319162,0.59666667,0.55471698,0.98000000,0.70843373,0.71191120,0.50000000,0.50000000,0.92000000,0.64788732
6,0.71117222,0.51666667,0.72727273,0.05333333,0.09937888,0.74823678,0.50000000,0.50000000,0.06000000,0.10714286
7,0.65289927,0.62666667,0.57307692,0.99333333,0.72682927,0.70872116,0.49000000,0.49438202,0.88000000,0.63309353
8,0.64076960,0.67666667,0.61276596,0.96000000,0.74805195,0.70390302,0.55000000,0.53086420,0.86000000,0.65648855
9,0.62744933,0.70000000,0.69230769,0.72000000,0.70588235,0.70587385,0.54000000,0.53703704,0.58000000,0.55769231
10,0.69999230,0.51333333,1.00000000,0.02666667,0.05194805,0.78131849,0.50000000,0.50000000,0.02000000,0.03846154
11,0.64748365,0.60666667,0.55970149,1.00000000,0.71770335,0.73706633,0.48000000,0.48936170,0.92000000,0.63888889
12,0.73544306,0.53000000,0.51546392,1.00000000,0.68027211,0.79988158,0.49000000,0.49484536,0.96000000,0.65306122
13,0.61284584,0.62000000,0.81034483,0.31333333,0.45192308,0.76832318,0.50000000,0.50000000,0.28000000,0.35897436
14,0.65604395,0.59333333,0.55223881,0.98666667,0.70813397,0.77528560,0.46000000,0.47826087,0.88000000,0.61971831
15,0.57289153,0.73000000,0.76335878,0.66666667,0.71174377,0.77117997,0.48000000,0.48333333,0.58000000,0.52727273
16,0.57651675,0.72333333,0.66666667,0.89333333,0.76353276,0.72195417,0.55000000,0.53424658,0.78000000,0.63414634
17,0.63997400,0.61000000,0.56226415,0.99333333,0.71807229,0.75457311,0.51000000,0.50549451,0.92000000,0.65248227
18,0.62466401,0.64000000,0.58750000,0.94000000,0.72307692,0.71166128,0.54000000,0.52380952,0.88000000,0.65671642
19,0.54867554,0.70333333,0.63555556,0.95333333,0.76266667,0.77083349,0.53000000,0.51851852,0.84000000,0.64122137
20,0.53115904,0.74666667,0.66972477,0.97333333,0.79347826,0.80505139,0.53000000,0.51898734,0.82000000,0.63565891
21,0.53036368,0.72000000,0.64601770,0.97333333,0.77659574,0.79421484,0.51000000,0.50617284,0.82000000,0.62595420
22,0.53197432,0.71000000,0.63519313,0.98666667,0.77284595,0.80335373,0.53000000,0.51851852,0.84000000,0.64122137
23,0.53504866,0.70333333,0.76991150,0.58000000,0.66159696,0.92811728,0.49000000,0.48936170,0.46000000,0.47422680
24,0.91864038,0.51666667,1.00000000,0.03333333,0.06451613,1.20232844,0.51000000,1.00000000,0.02000000,0.03921569
25,0.46412018,0.79666667,0.77300613,0.84000000,0.80511182,0.88735801,0.43000000,0.44615385,0.58000000,0.50434783
26,0.64242262,0.59333333,1.00000000,0.18666667,0.31460674,0.94834626,0.50000000,0.50000000,0.08000000,0.13793103
27,0.45323274,0.79000000,0.71428571,0.96666667,0.82152975,0.85599774,0.52000000,0.51315789,0.78000000,0.61904762
28,0.46286765,0.85333333,0.86805556,0.83333333,0.85034014,0.84037077,0.48000000,0.48148148,0.52000000,0.50000000
29,0.41588992,0.86666667,0.85714286,0.88000000,0.86842105,0.84284908,0.57000000,0.57142857,0.56000000,0.56565657
30,0.49043596,0.72666667,0.64782609,0.99333333,0.78421053,0.94227141,0.52000000,0.51250000,0.82000000,0.63076923
31,0.43186331,0.82000000,0.74489796,0.97333333,0.84393064,0.87525421,0.56000000,0.54411765,0.74000000,0.62711864
32,0.52824259,0.72666667,0.64782609,0.99333333,0.78421053,0.89382917,0.50000000,0.50000000,0.86000000,0.63235294
33,0.42027268,0.86666667,0.88732394,0.84000000,0.86301370,0.88428015,0.51000000,0.50980392,0.52000000,0.51485149
34,0.50247937,0.74000000,0.90000000,0.54000000,0.67500000,0.90824986,0.52000000,0.53846154,0.28000000,0.36842105
35,0.47022384,0.78333333,0.84000000,0.70000000,0.76363636,0.98214215,0.48000000,0.47619048,0.40000000,0.43478261
36,0.48001155,0.77000000,0.69565217,0.96000000,0.80672269,0.94089097,0.54000000,0.52857143,0.74000000,0.61666667
37,0.78806216,0.53666667,0.86666667,0.08666667,0.15757576,1.12846780,0.54000000,1.00000000,0.08000000,0.14814815
38,0.69239807,0.64666667,0.58661417,0.99333333,0.73762376,1.19663167,0.48000000,0.48913043,0.90000000,0.63380282
39,0.59348845,0.66333333,0.83561644,0.40666667,0.54708520,1.04662287,0.56000000,0.63636364,0.28000000,0.38888889
40,0.42194954,0.81666667,0.86821705,0.74666667,0.80286738,0.89020699,0.52000000,0.52380952,0.44000000,0.47826087
41,0.42951453,0.79333333,0.71359223,0.98000000,0.82584270,0.89276189,0.53000000,0.51948052,0.80000000,0.62992126
42,0.50797129,0.75333333,0.67272727,0.98666667,0.80000000,1.16147244,0.53000000,0.51851852,0.84000000,0.64122137
43,0.38301438,0.83666667,0.77005348,0.96000000,0.85459941,1.08096039,0.51000000,0.50684932,0.74000000,0.60162602
44,0.32062855,0.91333333,0.96268657,0.86000000,0.90845070,0.93597418,0.52000000,0.52000000,0.52000000,0.52000000
45,0.90414065,0.57333333,0.54074074,0.97333333,0.69523810,1.16292846,0.56000000,0.53409091,0.94000000,0.68115942
