epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.68161297,0.57666667,0.59663866,0.47333333,0.52788104,0.70634490,0.47000000,0.46808511,0.44000000,0.45360825
2,0.67237133,0.65333333,0.67424242,0.59333333,0.63120567,0.70546693,0.49000000,0.49056604,0.52000000,0.50485437
3,0.66938078,0.65333333,0.70175439,0.53333333,0.60606061,0.70430976,0.47000000,0.46511628,0.40000000,0.43010753
4,0.66647077,0.57333333,0.68333333,0.27333333,0.39047619,0.70278352,0.46000000,0.41666667,0.20000000,0.27027027
5,0.66240174,0.64666667,0.71568627,0.48666667,0.57936508,0.70591277,0.44000000,0.42857143,0.36000000,0.39130435
6,0.65985954,0.63000000,0.58744395,0.87333333,0.70241287,0.70677584,0.49000000,0.49397590,0.82000000,0.61654135
7,0.65441185,0.62333333,0.73417722,0.38666667,0.50655022,0.69990522,0.48000000,0.46666667,0.28000000,0.35000000
8,0.64741343,0.68333333,0.63546798,0.86000000,0.73087819,0.70145518,0.52000000,0.51282051,0.80000000,0.62500000
9,0.64066690,0.69333333,0.70138889,0.67333333,0.68707483,0.69901347,0.49000000,0.49090909,0.54000000,0.51428571
10,0.63597524,0.71000000,0.74045802,0.64666667,0.69039146,0.70018750,0.46000000,0.46153846,0.48000000,0.47058824
11,0.63332570,0.70666667,0.64761905,0.90666667,0.75555556,0.70508420,0.50000000,0.50000000,0.74000000,0.59677419
12,0.62466216,0.71333333,0.71621622,0.70666667,0.71140940,0.69523329,0.55000000,0.54545455,0.60000000,0.57142857
13,0.65520513,0.55333333,0.86363636,0.12666667,0.22093023,0.72158408,0.49000000,0.42857143,0.06000000,0.10526316
14,0.62949598,0.63666667,0.84745763,0.33333333,0.47846890,0.70803499,0.52000000,0.54166667,0.26000000,0.35135135
15,0.60770988,0.71000000,0.80000000,0.56000000,0.65882353,0.70801008,0.57000000,0.57777778,0.52000000,0.54736842
16,0.60025209,0.74000000,0.82142857,0.61333333,0.70229008,0.71058702,0.49000000,0.48936170,0.46000000,0.47422680
17,0.63419145,0.61000000,0.56273764,0.98666667,0.71670702,0.72717971,0.51000000,0.50574713,0.88000000,0.64233577
18,0.58874106,0.75000000,0.69633508,0.88666667,0.78005865,0.71416926,0.50000000,0.50000000,0.70000000,0.58333333
19,0.57139230,0.77000000,0.77551020,0.76000000,0.76767677,0.71319628,0.54000000,0.53846154,0.56000000,0.54901961
