epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.68811733,0.55333333,0.57017544,0.43333333,0.49242424,0.70507091,0.48000000,0.47619048,0.40000000,0.43478261
2,0.68862718,0.52666667,0.51550388,0.88666667,0.65196078,0.70791382,0.48000000,0.48809524,0.82000000,0.61194030
3,0.67759228,0.59333333,0.57142857,0.74666667,0.64739884,0.70447129,0.48000000,0.48387097,0.60000000,0.53571429
4,0.67524868,0.59000000,0.56459330,0.78666667,0.65738162,0.70504624,0.48000000,0.48529412,0.66000000,0.55932203
5,0.66887391,0.61666667,0.62589928,0.58000000,0.60207612,0.70367461,0.49000000,0.48888889,0.44000000,0.46315789
6,0.66383910,0.67000000,0.66887417,0.67333333,0.67109635,0.70093834,0.48000000,0.47826087,0.44000000,0.45833333
7,0.66661215,0.60333333,0.56595745,0.88666667,0.69090909,0.70514095,0.50000000,0.50000000,0.76000000,0.60317460
8,0.65894163,0.62666667,0.58333333,0.88666667,0.70370370,0.70243198,0.51000000,0.50684932,0.74000000,0.60162602
9,0.65448213,0.61666667,0.57575758,0.88666667,0.69816273,0.70205694,0.52000000,0.51388889,0.74000000,0.60655738
10,0.64689940,0.68000000,0.66265060,0.73333333,0.69620253,0.70028853,0.48000000,0.48000000,0.48000000,0.48000000
11,0.64043695,0.67666667,0.64640884,0.78000000,0.70694864,0.69717133,0.53000000,0.52727273,0.58000000,0.55238095
12,0.63607192,0.71000000,0.71140940,0.70666667,0.70903010,0.69875640,0.49000000,0.48888889,0.44000000,0.46315789
13,0.65060520,0.59333333,0.86842105,0.22000000,0.35106383,0.70373929,0.52000000,0.58333333,0.14000000,0.22580645
14,0.63695228,0.65000000,0.59414226,0.94666667,0.73007712,0.71200758,0.53000000,0.51851852,0.84000000,0.64122137
15,0.62930602,0.67000000,0.86956522,0.40000000,0.54794521,0.69984531,0.54000000,0.61111111,0.22000000,0.32352941
16,0.62345034,0.71333333,0.65686275,0.89333333,0.75706215,0.70629317,0.55000000,0.53846154,0.70000000,0.60869565
17,0.61219919,0.75333333,0.70430108,0.87333333,0.77976190,0.70291561,0.56000000,0.55555556,0.60000000,0.57692308
18,0.60448778,0.77000000,0.78723404,0.74000000,0.76288660,0.69947928,0.53000000,0.54285714,0.38000000,0.44705882
19,0.60271651,0.71666667,0.65700483,0.90666667,0.76190476,0.71037930,0.57000000,0.55223881,0.74000000,0.63247863
20,0.59884757,0.74000000,0.87500000,0.56000000,0.68292683,0.70729887,0.55000000,0.60869565,0.28000000,0.38356164
21,0.61336452,0.63666667,0.95555556,0.28666667,0.44102564,0.72365683,0.54000000,0.62500000,0.20000000,0.30303030
22,0.58716065,0.71000000,0.64651163,0.92666667,0.76164384,0.71823752,0.59000000,0.56521739,0.78000000,0.65546218
23,0.59333187,0.67000000,0.60759494,0.96000000,0.74418605,0.72876495,0.55000000,0.53164557,0.84000000,0.65116279
24,0.56484747,0.83333333,0.81250000,0.86666667,0.83870968,0.70642269,0.54000000,0.54347826,0.50000000,0.52083333
25,0.56643605,0.71000000,0.64383562,0.94000000,0.76422764,0.72620451,0.60000000,0.56944444,0.82000000,0.67213115
26,0.57875437,0.65333333,0.96000000,0.32000000,0.48000000,0.74672920,0.54000000,0.62500000,0.20000000,0.30303030
27,0.54033381,0.83000000,0.80745342,0.86666667,0.83601286,0.71477461,0.53000000,0.53658537,0.44000000,0.48351648
28,0.53521466,0.84666667,0.85135135,0.84000000,0.84563758,0.72678524,0.49000000,0.48717949,0.38000000,0.42696629
29,0.55472416,0.69000000,0.62231760,0.96666667,0.75718016,0.76238930,0.53000000,0.51851852,0.84000000,0.64122137
30,0.52850890,0.80333333,0.76300578,0.88000000,0.81733746,0.72038949,0.56000000,0.55357143,0.62000000,0.58490566
31,0.50907230,0.84666667,0.83766234,0.86000000,0.84868421,0.74155915,0.50000000,0.50000000,0.46000000,0.47916667
32,0.52457964,0.74666667,0.66972477,0.97333333,0.79347826,0.75352937,0.59000000,0.56000000,0.84000000,0.67200000
33,0.50339812,0.83000000,0.93805310,0.70666667,0.80608365,0.76996368,0.51000000,0.51851852,0.28000000,0.36363636
34,0.50257468,0.76333333,0.68720379,0.96666667,0.80332410,0.75801885,0.58000000,0.55882353,0.76000000,0.64406780
35,0.56002432,0.68333333,0.61506276,0.98000000,0.75578406,0.81431586,0.52000000,0.51190476,0.86000000,0.64179104
36,0.48583600,0.81333333,0.96078431,0.65333333,0.77777778,0.78613591,0.50000000,0.50000000,0.28000000,0.35897436
37,0.53182518,0.70333333,0.94202899,0.43333333,0.59360731,0.81609380,0.56000000,0.63636364,0.28000000,0.38888889
38,0.48458293,0.77666667,0.95604396,0.58000000,0.72199170,0.81465101,0.53000000,0.56521739,0.26000000,0.35616438
39,0.43610626,0.89333333,0.90410959,0.88000000,0.89189189,0.78614086,0.52000000,0.52173913,0.48000000,0.50000000
40,0.49337301,0.73666667,0.65919283,0.98000000,0.78820375,0.81253576,0.56000000,0.53947368,0.82000000,0.65079365
41,0.61225104,0.63333333,0.57812500,0.98666667,0.72906404,0.93928045,0.49000000,0.49438202,0.88000000,0.63309353
