epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.67598534,0.55666667,0.61643836,0.30000000,0.40358744,0.69892484,0.52000000,0.55555556,0.20000000,0.29411765
2,0.66304243,0.61666667,0.58706468,0.78666667,0.67236467,0.69631308,0.47000000,0.47761194,0.64000000,0.54700855
3,0.65916502,0.63000000,0.58515284,0.89333333,0.70712401,0.69671798,0.48000000,0.48717949,0.76000000,0.59375000
4,0.64758110,0.64666667,0.61827957,0.76666667,0.68452381,0.69149673,0.52000000,0.51562500,0.66000000,0.57894737
5,0.66354698,0.58333333,0.54681648,0.97333333,0.70023981,0.71653688,0.49000000,0.49462366,0.92000000,0.64335664
6,0.63472444,0.68333333,0.72000000,0.60000000,0.65454545,0.69870949,0.55000000,0.55319149,0.52000000,0.53608247
7,0.62945849,0.68000000,0.65168539,0.77333333,0.70731707,0.70149404,0.53000000,0.52380952,0.66000000,0.58407080
8,0.61882311,0.72333333,0.69822485,0.78666667,0.73981191,0.70154184,0.51000000,0.50877193,0.58000000,0.54205607
9,0.61380196,0.73000000,0.71428571,0.76666667,0.73954984,0.70449388,0.51000000,0.50877193,0.58000000,0.54205607
10,0.60329044,0.72666667,0.72368421,0.73333333,0.72847682,0.71246254,0.49000000,0.49056604,0.52000000,0.50485437
11,0.59843493,0.71333333,0.67204301,0.83333333,0.74404762,0.71965182,0.51000000,0.50819672,0.62000000,0.55855856
12,0.71291584,0.52666667,1.00000000,0.05333333,0.10126582,0.85503680,0.50000000,0.50000000,0.02000000,0.03846154
13,0.63299966,0.58333333,1.00000000,0.16666667,0.28571429,0.76287097,0.53000000,0.63636364,0.14000000,0.22950820
14,0.58892322,0.70666667,0.64622642,0.91333333,0.75690608,0.72457528,0.47000000,0.47761194,0.64000000,0.54700855
15,0.57268173,0.77000000,0.75471698,0.80000000,0.77669903,0.71123838,0.52000000,0.52000000,0.52000000,0.52000000
16,0.59537107,0.69000000,0.62666667,0.94000000,0.75200000,0.72531456,0.50000000,0.50000000,0.72000000,0.59016393
17,0.55368137,0.77000000,0.75155280,0.80666667,0.77813505,0.73159683,0.52000000,0.51851852,0.56000000,0.53846154
18,0.56068367,0.72666667,0.65596330,0.95333333,0.77717391,0.76126051,0.53000000,0.52054795,0.76000000,0.61788618
19,0.53577965,0.79333333,0.76506024,0.84666667,0.80379747,0.77128357,0.50000000,0.50000000,0.56000000,0.52830189
20,0.53625107,0.75000000,0.90322581,0.56000000,0.69135802,0.76857984,0.55000000,0.58620690,0.34000000,0.43037975
21,0.54909670,0.71333333,0.64285714,0.96000000,0.77005348,0.78373444,0.50000000,0.50000000,0.74000000,0.59677419
22,0.62205821,0.57666667,1.00000000,0.15333333,0.26589595,0.87421471,0.49000000,0.33333333,0.02000000,0.03773585
23,0.50731367,0.78000000,0.92000000,0.61333333,0.73600000,0.78962004,0.56000000,0.59375000,0.38000000,0.46341463
24,0.50501508,0.77000000,0.70558376,0.92666667,0.80115274,0.81493652,0.53000000,0.52238806,0.70000000,0.59829060
25,0.56743103,0.65000000,0.94117647,0.32000000,0.47761194,0.88497192,0.52000000,0.57142857,0.16000000,0.25000000
26,0.53642577,0.73333333,0.91666667,0.51333333,0.65811966,0.77594918,0.57000000,0.62962963,0.34000000,0.44155844
27,0.57794535,0.66666667,0.60080645,0.99333333,0.74874372,0.85824782,0.49000000,0.49425287,0.86000000,0.62773723
28,0.45680124,0.83000000,0.79289941,0.89333333,0.84012539,0.80249542,0.52000000,0.51851852,0.56000000,0.53846154
29,0.50355649,0.78666667,0.75000000,0.86000000,0.80124224,0.76779521,0.56000000,0.55172414,0.64000000,0.59259259
30,0.43064752,0.88000000,0.95238095,0.80000000,0.86956522,0.79291093,0.56000000,0.57142857,0.48000000,0.52173913
31,0.52241081,0.72333333,0.64757709,0.98000000,0.77984085,0.78060740,0.57000000,0.54794521,0.80000000,0.65040650
32,0.42765036,0.86666667,0.91044776,0.81333333,0.85915493,0.81089383,0.54000000,0.54761905,0.46000000,0.50000000
33,0.41252813,0.85000000,0.79005525,0.95333333,0.86404834,0.82931781,0.54000000,0.53333333,0.64000000,0.58181818
34,0.40010899,0.89000000,0.87741935,0.90666667,0.89180328,0.80517274,0.55000000,0.55555556,0.50000000,0.52631579
35,0.42672217,0.82666667,0.76063830,0.95333333,0.84615385,0.86189133,0.54000000,0.53225806,0.66000000,0.58928571
36,0.67964584,0.59666667,0.55390335,0.99333333,0.71121718,0.97017729,0.49000000,0.49450549,0.90000000,0.63829787
37,0.49701315,0.75666667,0.68421053,0.95333333,0.79665738,0.84315002,0.56000000,0.54545455,0.72000000,0.62068966
38,0.41805628,0.82333333,0.98989899,0.65333333,0.78714859,0.93399459,0.54000000,0.57692308,0.30000000,0.39473684
39,0.35912195,0.87666667,0.81920904,0.96666667,0.88685015,0.88070482,0.52000000,0.51785714,0.58000000,0.54716981
40,0.45445466,0.76666667,0.68348624,0.99333333,0.80978261,0.89755356,0.52000000,0.51282051,0.80000000,0.62500000
41,0.34426883,0.91666667,0.94326241,0.88666667,0.91408935,0.82361114,0.56000000,0.57142857,0.48000000,0.52173913
42,0.64759845,0.63333333,0.57692308,1.00000000,0.73170732,1.00745630,0.47000000,0.48275862,0.84000000,0.61313869
