epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.68855369,0.53666667,0.53416149,0.57333333,0.55305466,0.69697309,0.55000000,0.55102041,0.54000000,0.54545455
2,0.68317509,0.55666667,0.55414013,0.58000000,0.56677524,0.70178884,0.50000000,0.50000000,0.40000000,0.44444444
3,0.68522918,0.51000000,0.50549451,0.92000000,0.65248227,0.70597988,0.44000000,0.46666667,0.84000000,0.60000000
4,0.67403793,0.61666667,0.60115607,0.69333333,0.64396285,0.69981527,0.48000000,0.47727273,0.42000000,0.44680851
5,0.67156523,0.62333333,0.63503650,0.58000000,0.60627178,0.69591528,0.55000000,0.58064516,0.36000000,0.44444444
6,0.66938621,0.65000000,0.60869565,0.84000000,0.70588235,0.69791859,0.55000000,0.53731343,0.72000000,0.61538462
7,0.66241485,0.66000000,0.66438356,0.64666667,0.65540541,0.69902694,0.52000000,0.52500000,0.42000000,0.46666667
8,0.65767956,0.69000000,0.66101695,0.78000000,0.71559633,0.70297664,0.55000000,0.54716981,0.58000000,0.56310680
9,0.67404652,0.55666667,0.86956522,0.13333333,0.23121387,0.71196210,0.53000000,0.71428571,0.10000000,0.17543860
10,0.64937681,0.69000000,0.63768116,0.88000000,0.73949580,0.70379728,0.53000000,0.52459016,0.64000000,0.57657658
11,0.64884144,0.64000000,0.59051724,0.91333333,0.71727749,0.70802009,0.53000000,0.52000000,0.78000000,0.62400000
12,0.63921833,0.67666667,0.77319588,0.50000000,0.60728745,0.70426232,0.54000000,0.55882353,0.38000000,0.45238095
13,0.64318573,0.63333333,0.58264463,0.94000000,0.71938776,0.71294606,0.50000000,0.50000000,0.80000000,0.61538462
14,0.62845248,0.74000000,0.70224719,0.83333333,0.76219512,0.70516896,0.55000000,0.54385965,0.62000000,0.57943925
15,0.62325513,0.70000000,0.64563107,0.88666667,0.74719101,0.70939147,0.55000000,0.53846154,0.70000000,0.60869565
16,0.63904899,0.62333333,0.57254902,0.97333333,0.72098765,0.71249783,0.53000000,0.51807229,0.86000000,0.64661654
17,0.61588871,0.72333333,0.74814815,0.67333333,0.70877193,0.71350557,0.51000000,0.51162791,0.44000000,0.47311828
18,0.61424154,0.68666667,0.81818182,0.48000000,0.60504202,0.71778983,0.52000000,0.54545455,0.24000000,0.33333333
19,0.60079134,0.72000000,0.66176471,0.90000000,0.76271186,0.72103280,0.56000000,0.54545455,0.72000000,0.62068966
20,0.66167545,0.57000000,0.95652174,0.14666667,0.25433526,0.76162416,0.54000000,0.75000000,0.12000000,0.20689655
21,0.62076199,0.63333333,0.57936508,0.97333333,0.72636816,0.73900497,0.52000000,0.51219512,0.84000000,0.63636364
22,0.58119988,0.77000000,0.74545455,0.82000000,0.78095238,0.71929061,0.53000000,0.52830189,0.56000000,0.54368932
23,0.58575112,0.71000000,0.64383562,0.94000000,0.76422764,0.72803092,0.55000000,0.53333333,0.80000000,0.64000000
24,0.56857294,0.72333333,0.71337580,0.74666667,0.72964169,0.73363250,0.54000000,0.54000000,0.54000000,0.54000000
25,0.60993636,0.63333333,0.57936508,0.97333333,0.72636816,0.77252424,0.53000000,0.51807229,0.86000000,0.64661654
26,0.56360596,0.75000000,0.85714286,0.60000000,0.70588235,0.74404448,0.53000000,0.55555556,0.30000000,0.38961039
27,0.54803789,0.74000000,0.69565217,0.85333333,0.76646707,0.73413509,0.56000000,0.54838710,0.68000000,0.60714286
28,0.55847752,0.70333333,0.63555556,0.95333333,0.76266667,0.76943266,0.51000000,0.50666667,0.76000000,0.60800000
29,0.55210590,0.72666667,0.86956522,0.53333333,0.66115702,0.76481897,0.55000000,0.59259259,0.32000000,0.41558442
30,0.52676171,0.77333333,0.72527473,0.88000000,0.79518072,0.75484794,0.51000000,0.50793651,0.64000000,0.56637168
31,0.51663578,0.83000000,0.79640719,0.88666667,0.83911672,0.73548633,0.55000000,0.54901961,0.56000000,0.55445545
32,0.69883895,0.53666667,1.00000000,0.07333333,0.13664596,0.89903730,0.53000000,1.00000000,0.06000000,0.11320755
33,0.51198602,0.77333333,0.85344828,0.66000000,0.74436090,0.77635723,0.48000000,0.47222222,0.34000000,0.39534884
34,0.51276600,0.76666667,0.92553191,0.58000000,0.71311475,0.79139054,0.55000000,0.59259259,0.32000000,0.41558442
35,0.48278821,0.85333333,0.83974359,0.87333333,0.85620915,0.75344628,0.55000000,0.55102041,0.54000000,0.54545455
36,0.48327845,0.80666667,0.74468085,0.93333333,0.82840237,0.77190781,0.54000000,0.53030303,0.70000000,0.60344828
37,0.51151842,0.73333333,0.65909091,0.96666667,0.78378378,0.80420971,0.53000000,0.51948052,0.80000000,0.62992126
38,0.46904308,0.79666667,0.72820513,0.94666667,0.82318841,0.76308668,0.56000000,0.54687500,0.70000000,0.61403509
39,0.58851665,0.65666667,0.59437751,0.98666667,0.74185464,0.86098522,0.53000000,0.51807229,0.86000000,0.64661654
