epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.68842894,0.54333333,0.52719665,0.84000000,0.64781491,0.69160199,0.55000000,0.53424658,0.78000000,0.63414634
2,0.74111760,0.50333333,0.50167224,1.00000000,0.66815145,0.76009810,0.51000000,0.50505051,1.00000000,0.67114094
3,0.68692118,0.53666667,0.51943463,0.98000000,0.67898383,0.68954080,0.52000000,0.51063830,0.96000000,0.66666667
4,0.68632019,0.53333333,0.51798561,0.96000000,0.67289720,0.69333816,0.52000000,0.51020408,1.00000000,0.67567568
5,0.67611319,0.63666667,0.60000000,0.82000000,0.69295775,0.68376982,0.59000000,0.56338028,0.80000000,0.66115702
6,0.66763669,0.61666667,0.57383966,0.90666667,0.70284238,0.69223768,0.56000000,0.53571429,0.90000000,0.67164179
7,0.70834750,0.50666667,0.50335570,1.00000000,0.66964286,0.74346000,0.50000000,0.50000000,1.00000000,0.66666667
8,0.66501760,0.59333333,0.63461538,0.44000000,0.51968504,0.69710588,0.46000000,0.45000000,0.36000000,0.40000000
9,0.66166425,0.60333333,0.56326531,0.92000000,0.69873418,0.69727629,0.50000000,0.50000000,0.86000000,0.63235294
10,0.64680254,0.62333333,0.63309353,0.58666667,0.60899654,0.67820036,0.62000000,0.62000000,0.62000000,0.62000000
11,0.63400388,0.66000000,0.65384615,0.68000000,0.66666667,0.68924218,0.54000000,0.53571429,0.60000000,0.56603774
12,0.63318646,0.61666667,0.69662921,0.41333333,0.51882845,0.68521708,0.57000000,0.60000000,0.42000000,0.49411765
13,0.67813993,0.53666667,0.72000000,0.12000000,0.20571429,0.72888052,0.55000000,0.72727273,0.16000000,0.26229508
14,0.69324964,0.51000000,0.50505051,1.00000000,0.67114094,0.75594521,0.49000000,0.49484536,0.96000000,0.65306122
15,0.66035074,0.59666667,0.89189189,0.22000000,0.35294118,0.69490576,0.53000000,0.63636364,0.14000000,0.22950820
16,0.63554138,0.68333333,0.76190476,0.53333333,0.62745098,0.68438035,0.59000000,0.62162162,0.46000000,0.52873563
17,0.61380547,0.71333333,0.66666667,0.85333333,0.74853801,0.68398559,0.60000000,0.58064516,0.72000000,0.64285714
18,0.60409266,0.66666667,0.78409091,0.46000000,0.57983193,0.69806832,0.60000000,0.65625000,0.42000000,0.51219512
19,0.64053231,0.61333333,0.56854839,0.94000000,0.70854271,0.70524353,0.53000000,0.51764706,0.88000000,0.65185185
20,0.59498161,0.67000000,0.88059701,0.39333333,0.54377880,0.70426732,0.55000000,0.60869565,0.28000000,0.38356164
21,0.62029773,0.66666667,0.84722222,0.40666667,0.54954955,0.73944283,0.58000000,0.68181818,0.30000000,0.41666667
22,0.64687955,0.61000000,0.56734694,0.92666667,0.70379747,0.81407768,0.49000000,0.49411765,0.84000000,0.62222222
23,0.68757784,0.58000000,0.54411765,0.98666667,0.70142180,0.78363746,0.53000000,0.51648352,0.94000000,0.66666667
24,0.56301320,0.75333333,0.70652174,0.86666667,0.77844311,0.70385581,0.57000000,0.55737705,0.68000000,0.61261261
25,0.54653066,0.69666667,0.65775401,0.82000000,0.72997033,0.74971229,0.51000000,0.50746269,0.68000000,0.58119658
26,0.60979950,0.61666667,0.97297297,0.24000000,0.38502674,0.77705169,0.53000000,0.80000000,0.08000000,0.14545455
27,0.56119484,0.69333333,0.77884615,0.54000000,0.63779528,0.73561597,0.55000000,0.57142857,0.40000000,0.47058824
28,0.52115846,0.76333333,0.76510067,0.76000000,0.76254181,0.72903389,0.56000000,0.56521739,0.52000000,0.54166667
29,0.58709830,0.65333333,0.59274194,0.98000000,0.73869347,0.80575418,0.54000000,0.52380952,0.88000000,0.65671642
30,0.57227540,0.68666667,0.61764706,0.98000000,0.75773196,0.71780473,0.55000000,0.52941176,0.90000000,0.66666667
31,0.50819993,0.81333333,0.75268817,0.93333333,0.83333333,0.73745775,0.50000000,0.50000000,0.68000000,0.57627119
32,0.53852159,0.71666667,0.64192140,0.98000000,0.77572559,0.79026967,0.53000000,0.51898734,0.82000000,0.63565891
33,0.51508135,0.70333333,0.91780822,0.44666667,0.60089686,0.77152008,0.60000000,0.81250000,0.26000000,0.39393939
34,0.53479153,0.70000000,0.62711864,0.98666667,0.76683938,0.77792364,0.50000000,0.50000000,0.84000000,0.62686567
35,0.57416463,0.65666667,0.59362550,0.99333333,0.74314214,0.80434221,0.48000000,0.48809524,0.82000000,0.61194030
36,0.46193787,0.81000000,0.88429752,0.71333333,0.78966790,0.74111474,0.56000000,0.57142857,0.48000000,0.52173913
37,0.52091146,0.67000000,0.98113208,0.34666667,0.51231527,0.79203451,0.53000000,0.63636364,0.14000000,0.22950820
38,0.43648142,0.79333333,0.93137255,0.63333333,0.75396825,0.80730700,0.53000000,0.54838710,0.34000000,0.41975309
39,0.45012033,0.83000000,0.78285714,0.91333333,0.84307692,0.84910172,0.54000000,0.53571429,0.60000000,0.56603774
40,0.84193522,0.61666667,0.56603774,1.00000000,0.72289157,1.22878909,0.55000000,0.52873563,0.92000000,0.67153285
