epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.68403399,0.55666667,0.56028369,0.52666667,0.54295533,0.69766325,0.47000000,0.46938776,0.46000000,0.46464646
2,0.67589414,0.58666667,0.62264151,0.44000000,0.51562500,0.69594312,0.50000000,0.50000000,0.36000000,0.41860465
3,0.66825014,0.62333333,0.69072165,0.44666667,0.54251012,0.70067734,0.46000000,0.43750000,0.28000000,0.34146341
4,0.68013883,0.52333333,0.73333333,0.07333333,0.13333333,0.70764536,0.48000000,0.33333333,0.04000000,0.07142857
5,0.65463787,0.66000000,0.65000000,0.69333333,0.67096774,0.69972879,0.52000000,0.52000000,0.52000000,0.52000000
6,0.65133464,0.71000000,0.74045802,0.64666667,0.69039146,0.70163828,0.51000000,0.51162791,0.44000000,0.47311828
7,0.64137518,0.68000000,0.71774194,0.59333333,0.64963504,0.70201826,0.53000000,0.53658537,0.44000000,0.48351648
8,0.63545829,0.70333333,0.71034483,0.68666667,0.69830508,0.70433545,0.55000000,0.54901961,0.56000000,0.55445545
9,0.62827134,0.70000000,0.65789474,0.83333333,0.73529412,0.71132165,0.51000000,0.50746269,0.68000000,0.58119658
10,0.62671226,0.67000000,0.65454545,0.72000000,0.68571429,0.71015990,0.52000000,0.51562500,0.66000000,0.57894737
11,0.64596331,0.60000000,0.78846154,0.27333333,0.40594059,0.73123771,0.53000000,0.60000000,0.18000000,0.27692308
12,0.61263353,0.70333333,0.67039106,0.80000000,0.72948328,0.71607316,0.52000000,0.51612903,0.64000000,0.57142857
13,0.62387443,0.65000000,0.59036145,0.98000000,0.73684211,0.71744049,0.52000000,0.51162791,0.88000000,0.64705882
14,0.61736608,0.63000000,0.83050847,0.32666667,0.46889952,0.71118975,0.56000000,0.63636364,0.28000000,0.38888889
15,0.66031301,0.52000000,0.75000000,0.06000000,0.11111111,0.75144899,0.51000000,0.60000000,0.06000000,0.10909091
16,0.58940834,0.74333333,0.78294574,0.67333333,0.72401434,0.72151154,0.53000000,0.53333333,0.48000000,0.50526316
17,0.57481158,0.78333333,0.72727273,0.90666667,0.80712166,0.71149713,0.55000000,0.54237288,0.64000000,0.58715596
18,0.57022411,0.75000000,0.83783784,0.62000000,0.71264368,0.71951491,0.58000000,0.60000000,0.48000000,0.53333333
19,0.55654705,0.80000000,0.75568182,0.88666667,0.81595092,0.71676612,0.55000000,0.54237288,0.64000000,0.58715596
20,0.55519104,0.79000000,0.82706767,0.73333333,0.77738516,0.71884108,0.54000000,0.54166667,0.52000000,0.53061224
21,0.54982877,0.78666667,0.86440678,0.68000000,0.76119403,0.71473360,0.54000000,0.54761905,0.46000000,0.50000000
22,0.54661602,0.74666667,0.69680851,0.87333333,0.77514793,0.75101423,0.52000000,0.51562500,0.66000000,0.57894737
23,0.52847409,0.81000000,0.85496183,0.74666667,0.79715302,0.74491441,0.54000000,0.54347826,0.50000000,0.52083333
24,0.54163116,0.81000000,0.74866310,0.93333333,0.83086053,0.71704108,0.54000000,0.53225806,0.66000000,0.58928571
25,0.53753477,0.77333333,0.82539683,0.69333333,0.75362319,0.74881244,0.54000000,0.54347826,0.50000000,0.52083333
26,0.49690658,0.85000000,0.84313725,0.86000000,0.85148515,0.74835104,0.55000000,0.54545455,0.60000000,0.57142857
27,0.50627625,0.77333333,0.88679245,0.62666667,0.73437500,0.75121087,0.55000000,0.56410256,0.44000000,0.49438202
28,0.56382072,0.69666667,0.62447257,0.98666667,0.76485788,0.75800204,0.55000000,0.53086420,0.86000000,0.65648855
29,0.47526479,0.83333333,0.79411765,0.90000000,0.84375000,0.74889708,0.57000000,0.55737705,0.68000000,0.61261261
30,0.51696295,0.74333333,0.66367713,0.98666667,0.79356568,0.79645079,0.51000000,0.50649351,0.78000000,0.61417323
31,0.45874533,0.88000000,0.85625000,0.91333333,0.88387097,0.73552018,0.56000000,0.55769231,0.58000000,0.56862745
32,0.47659293,0.81000000,0.87200000,0.72666667,0.79272727,0.74808210,0.55000000,0.56756757,0.42000000,0.48275862
33,0.57361662,0.66333333,0.59839357,0.99333333,0.74686717,0.83610749,0.54000000,0.52325581,0.90000000,0.66176471
