epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.70257801,0.51333333,0.66666667,0.05333333,0.09876543,0.72795129,0.48000000,0.33333333,0.04000000,0.07142857
2,0.68200076,0.58000000,0.66216216,0.32666667,0.43750000,0.70781678,0.41000000,0.37142857,0.26000000,0.30588235
3,0.67949992,0.53000000,0.51557093,0.99333333,0.67881549,0.71112335,0.48000000,0.48936170,0.92000000,0.63888889
4,0.66267681,0.61666667,0.77777778,0.32666667,0.46009390,0.71675265,0.46000000,0.43333333,0.26000000,0.32500000
5,0.65668267,0.60333333,0.56126482,0.94666667,0.70471464,0.71797282,0.45000000,0.47058824,0.80000000,0.59259259
6,0.65729582,0.59000000,0.81395349,0.23333333,0.36269430,0.72052383,0.51000000,0.52173913,0.24000000,0.32876712
7,0.64482999,0.62333333,0.57429719,0.95333333,0.71679198,0.72421974,0.44000000,0.46428571,0.78000000,0.58208955
8,0.64841974,0.61000000,0.81132075,0.28666667,0.42364532,0.72921020,0.47000000,0.43478261,0.20000000,0.27397260
9,0.62954038,0.66333333,0.61187215,0.89333333,0.72628726,0.73187685,0.43000000,0.45454545,0.70000000,0.55118110
10,0.62395829,0.68000000,0.85526316,0.43333333,0.57522124,0.72880435,0.47000000,0.44827586,0.26000000,0.32911392
11,0.62685889,0.64333333,0.58995816,0.94000000,0.72493573,0.74252641,0.45000000,0.47058824,0.80000000,0.59259259
12,0.61441928,0.66333333,0.60515021,0.94000000,0.73629243,0.74605513,0.42000000,0.45121951,0.74000000,0.56060606
13,0.59526622,0.73666667,0.72903226,0.75333333,0.74098361,0.73548830,0.49000000,0.49152542,0.58000000,0.53211009
14,0.59080291,0.74333333,0.79674797,0.65333333,0.71794872,0.74483275,0.46000000,0.45833333,0.44000000,0.44897959
15,0.58262849,0.73333333,0.68041237,0.88000000,0.76744186,0.73749465,0.45000000,0.46575342,0.68000000,0.55284553
16,0.65449774,0.55666667,0.53024911,0.99333333,0.69141531,0.79853088,0.47000000,0.48421053,0.92000000,0.63448276
17,0.60828012,0.63666667,0.58232932,0.96666667,0.72681704,0.78914446,0.50000000,0.50000000,0.90000000,0.64285714
18,0.55146617,0.76666667,0.72988506,0.84666667,0.78395062,0.75044906,0.47000000,0.47692308,0.62000000,0.53913043
19,0.55153012,0.82000000,0.88095238,0.74000000,0.80434783,0.74490267,0.54000000,0.54000000,0.54000000,0.54000000
20,0.54075032,0.78000000,0.72826087,0.89333333,0.80239521,0.75145060,0.48000000,0.48571429,0.68000000,0.56666667
21,0.53384978,0.78000000,0.73076923,0.88666667,0.80120482,0.77305603,0.44000000,0.45588235,0.62000000,0.52542373
22,0.51861107,0.77000000,0.70558376,0.92666667,0.80115274,0.77762574,0.45000000,0.46575342,0.68000000,0.55284553
23,0.52066320,0.80333333,0.89565217,0.68666667,0.77735849,0.80235970,0.49000000,0.48780488,0.40000000,0.43956044
24,0.52903533,0.72333333,0.64888889,0.97333333,0.77866667,0.81904083,0.44000000,0.46341463,0.76000000,0.57575758
25,0.53698021,0.70000000,0.62711864,0.98666667,0.76683938,0.83564639,0.45000000,0.46913580,0.76000000,0.58015267
26,0.60685784,0.57000000,1.00000000,0.14000000,0.24561404,0.88394475,0.51000000,0.55555556,0.10000000,0.16949153
27,0.48692358,0.83333333,0.75510204,0.98666667,0.85549133,0.78525347,0.49000000,0.49275362,0.68000000,0.57142857
28,0.47689342,0.82333333,0.94495413,0.68666667,0.79536680,0.80783689,0.50000000,0.50000000,0.36000000,0.41860465
29,0.46688274,0.84666667,0.97272727,0.71333333,0.82307692,0.82585663,0.52000000,0.52777778,0.38000000,0.44186047
30,0.44269368,0.87666667,0.88435374,0.86666667,0.87542088,0.82077909,0.51000000,0.51020408,0.50000000,0.50505051
31,0.45317087,0.82333333,0.98019802,0.66000000,0.78884462,0.84190458,0.50000000,0.50000000,0.26000000,0.34210526
32,0.45359558,0.82666667,0.99000000,0.66000000,0.79200000,0.82310659,0.52000000,0.53571429,0.30000000,0.38461538
33,0.41767976,0.89666667,0.91034483,0.88000000,0.89491525,0.82854581,0.52000000,0.52173913,0.48000000,0.50000000
34,0.38591099,0.89666667,0.90476190,0.88666667,0.89562290,0.82956147,0.49000000,0.49090909,0.54000000,0.51428571
35,0.40593138,0.89333333,0.96825397,0.81333333,0.88405797,0.85553652,0.48000000,0.47222222,0.34000000,0.39534884
36,0.40231675,0.89666667,0.93430657,0.85333333,0.89198606,0.81255937,0.49000000,0.49019608,0.50000000,0.49504950
37,0.38893563,0.89000000,0.96062992,0.81333333,0.88086643,0.88003838,0.49000000,0.48648649,0.36000000,0.41379310
38,0.40830848,0.89000000,0.96800000,0.80666667,0.88000000,0.82795763,0.51000000,0.51351351,0.38000000,0.43678161
39,0.69831556,0.55000000,1.00000000,0.10000000,0.18181818,1.16756845,0.50000000,0.50000000,0.02000000,0.03846154
