epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.67874962,0.63000000,0.61016949,0.72000000,0.66055046,0.70280093,0.44000000,0.44827586,0.52000000,0.48148148
2,0.67687052,0.54333333,0.52346570,0.96666667,0.67915691,0.70923197,0.47000000,0.48421053,0.92000000,0.63448276
3,0.66371745,0.63666667,0.61325967,0.74000000,0.67069486,0.70375395,0.42000000,0.42857143,0.48000000,0.45283019
4,0.65734220,0.69000000,0.74358974,0.58000000,0.65168539,0.69971925,0.49000000,0.48648649,0.36000000,0.41379310
5,0.65087718,0.65666667,0.61463415,0.84000000,0.70985915,0.69938850,0.43000000,0.45070423,0.64000000,0.52892562
6,0.65002215,0.61333333,0.57083333,0.91333333,0.70256410,0.71801841,0.40000000,0.43902439,0.72000000,0.54545455
7,0.64201272,0.63000000,0.58227848,0.92000000,0.71317829,0.71894151,0.41000000,0.44578313,0.74000000,0.55639098
8,0.63399369,0.72000000,0.76190476,0.64000000,0.69565217,0.70995492,0.48000000,0.47727273,0.42000000,0.44680851
9,0.65702331,0.58000000,0.54411765,0.98666667,0.70142180,0.74384475,0.45000000,0.47191011,0.84000000,0.60431655
10,0.63355482,0.62333333,0.57613169,0.93333333,0.71246819,0.72367400,0.42000000,0.45238095,0.76000000,0.56716418
11,0.64627481,0.55333333,1.00000000,0.10666667,0.19277108,0.73274893,0.54000000,1.00000000,0.08000000,0.14814815
12,0.60458380,0.75000000,0.90322581,0.56000000,0.69135802,0.71711558,0.50000000,0.50000000,0.34000000,0.40476190
13,0.58909839,0.77000000,0.76129032,0.78666667,0.77377049,0.72506714,0.47000000,0.47272727,0.52000000,0.49523810
14,0.58387357,0.70666667,0.65656566,0.86666667,0.74712644,0.73213607,0.48000000,0.48611111,0.70000000,0.57377049
15,0.63014990,0.59666667,0.96774194,0.20000000,0.33149171,0.76110548,0.55000000,0.77777778,0.14000000,0.23728814
16,0.56099945,0.78000000,0.77272727,0.79333333,0.78289474,0.72685051,0.49000000,0.49152542,0.58000000,0.53211009
17,0.56811279,0.79000000,0.93069307,0.62666667,0.74900398,0.72006387,0.53000000,0.54838710,0.34000000,0.41975309
18,0.65843159,0.58000000,0.54411765,0.98666667,0.70142180,0.83631152,0.47000000,0.48314607,0.86000000,0.61870504
19,0.54111928,0.85000000,0.88888889,0.80000000,0.84210526,0.73460144,0.50000000,0.50000000,0.46000000,0.47916667
20,0.60990763,0.61333333,0.56538462,0.98000000,0.71707317,0.79832381,0.46000000,0.47674419,0.82000000,0.60294118
21,0.54750264,0.71333333,0.64814815,0.93333333,0.76502732,0.79295957,0.48000000,0.48648649,0.72000000,0.58064516
22,0.54659963,0.72666667,0.95945946,0.47333333,0.63392857,0.79166055,0.54000000,0.58333333,0.28000000,0.37837838
23,0.55078381,0.72000000,0.97142857,0.45333333,0.61818182,0.80233020,0.54000000,0.60000000,0.24000000,0.34285714
24,0.51291239,0.86666667,0.92307692,0.80000000,0.85714286,0.74329448,0.49000000,0.48837209,0.42000000,0.45161290
25,0.49831155,0.83000000,0.95412844,0.69333333,0.80308880,0.77944583,0.50000000,0.50000000,0.34000000,0.40476190
26,0.54865032,0.68666667,0.96666667,0.38666667,0.55238095,0.83619094,0.56000000,0.68750000,0.22000000,0.33333333
27,0.64601994,0.59333333,0.55263158,0.98000000,0.70673077,0.94154274,0.51000000,0.50561798,0.90000000,0.64748201
28,0.61426759,0.63000000,0.57587549,0.98666667,0.72727273,0.88786978,0.49000000,0.49411765,0.84000000,0.62222222
29,0.45373595,0.83333333,0.78735632,0.91333333,0.84567901,0.79104394,0.51000000,0.50819672,0.62000000,0.55855856
30,0.63679618,0.61666667,0.56603774,1.00000000,0.72289157,0.94134939,0.48000000,0.48888889,0.88000000,0.62857143
31,0.45524308,0.82000000,0.75806452,0.94000000,0.83928571,0.81367266,0.52000000,0.51515152,0.68000000,0.58620690
32,0.56189972,0.66000000,0.59756098,0.98000000,0.74242424,0.92381424,0.49000000,0.49411765,0.84000000,0.62222222
33,0.42192695,0.84666667,0.79545455,0.93333333,0.85889571,0.83368009,0.51000000,0.50819672,0.62000000,0.55855856
34,0.50018698,0.69666667,0.96825397,0.40666667,0.57276995,0.86215407,0.52000000,0.55555556,0.20000000,0.29411765
35,0.72601575,0.57000000,0.53763441,1.00000000,0.69930070,1.06469083,0.49000000,0.49462366,0.92000000,0.64335664
36,0.45476446,0.78000000,0.70792079,0.95333333,0.81250000,0.83402616,0.51000000,0.50684932,0.74000000,0.60162602
37,0.40960175,0.85333333,0.80113636,0.94000000,0.86503067,0.85665548,0.52000000,0.51612903,0.64000000,0.57142857
38,0.38751298,0.89000000,0.87741935,0.90666667,0.89180328,0.81576318,0.54000000,0.54166667,0.52000000,0.53061224
39,0.40819255,0.83000000,0.99009901,0.66666667,0.79681275,0.91094863,0.48000000,0.45833333,0.22000000,0.29729730
40,0.42364615,0.87000000,0.82080925,0.94666667,0.87925697,0.79456055,0.51000000,0.50769231,0.66000000,0.57391304
41,0.36592615,0.88000000,0.83928571,0.94000000,0.88679245,0.85090399,0.51000000,0.50819672,0.62000000,0.55855856
42,0.95465606,0.53000000,0.51546392,1.00000000,0.68027211,1.26995802,0.51000000,0.50526316,0.96000000,0.66206897
