epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.69307220,0.51666667,0.52525253,0.34666667,0.41767068,0.69818830,0.51000000,0.51515152,0.34000000,0.40963855
2,0.68917555,0.55666667,0.61333333,0.30666667,0.40888889,0.69664842,0.50000000,0.50000000,0.26000000,0.34210526
3,0.68656141,0.52666667,0.51562500,0.88000000,0.65024631,0.69850326,0.46000000,0.47674419,0.82000000,0.60294118
4,0.68171859,0.56000000,0.68000000,0.22666667,0.34000000,0.69697440,0.52000000,0.56250000,0.18000000,0.27272727
5,0.67503685,0.57333333,0.54621849,0.86666667,0.67010309,0.69678175,0.47000000,0.48148148,0.78000000,0.59541985
6,0.67444569,0.59333333,0.74137931,0.28666667,0.41346154,0.69853252,0.53000000,0.57894737,0.22000000,0.31884058
7,0.66884738,0.58666667,0.55462185,0.88000000,0.68041237,0.69878906,0.50000000,0.50000000,0.80000000,0.61538462
8,0.66512442,0.63000000,0.74074074,0.40000000,0.51948052,0.69750547,0.55000000,0.59259259,0.32000000,0.41558442
9,0.65941590,0.64333333,0.62146893,0.73333333,0.67278287,0.69942784,0.50000000,0.50000000,0.62000000,0.55357143
10,0.65456289,0.67666667,0.69924812,0.62000000,0.65724382,0.69770873,0.49000000,0.48979592,0.48000000,0.48484848
11,0.65587455,0.61333333,0.57456140,0.87333333,0.69312169,0.70230401,0.48000000,0.48684211,0.74000000,0.58730159
12,0.65540099,0.61333333,0.56910569,0.93333333,0.70707071,0.70718253,0.48000000,0.48837209,0.84000000,0.61764706
13,0.64413708,0.68666667,0.66666667,0.74666667,0.70440252,0.69735551,0.49000000,0.49152542,0.58000000,0.53211009
14,0.64086145,0.70333333,0.70198675,0.70666667,0.70431894,0.69622612,0.48000000,0.48076923,0.50000000,0.49019608
15,0.63840240,0.71666667,0.69461078,0.77333333,0.73186120,0.69560087,0.47000000,0.47457627,0.56000000,0.51376147
16,0.64431441,0.62000000,0.57200000,0.95333333,0.71500000,0.70764142,0.49000000,0.49438202,0.88000000,0.63309353
17,0.64267945,0.63000000,0.57894737,0.95333333,0.72040302,0.70860869,0.49000000,0.49425287,0.86000000,0.62773723
18,0.62868357,0.73000000,0.75555556,0.68000000,0.71578947,0.69610626,0.52000000,0.52083333,0.50000000,0.51020408
19,0.62428403,0.72333333,0.68306011,0.83333333,0.75075075,0.69755596,0.50000000,0.50000000,0.62000000,0.55357143
20,0.61975533,0.73666667,0.73202614,0.74666667,0.73927393,0.69403684,0.50000000,0.50000000,0.52000000,0.50980392
21,0.61668783,0.75333333,0.75333333,0.75333333,0.75333333,0.69488370,0.49000000,0.49019608,0.50000000,0.49504950
22,0.61108482,0.73666667,0.69832402,0.83333333,0.75987842,0.69753933,0.49000000,0.49180328,0.60000000,0.54054054
23,0.62107313,0.69000000,0.89041096,0.43333333,0.58295964,0.70282197,0.57000000,0.65217391,0.30000000,0.41095890
24,0.61581463,0.68666667,0.62500000,0.93333333,0.74866310,0.70996237,0.51000000,0.50632911,0.80000000,0.62015504
25,0.63899326,0.58000000,0.54444444,0.98000000,0.70000000,0.73068035,0.52000000,0.51111111,0.92000000,0.65714286
26,0.65950978,0.55666667,1.00000000,0.11333333,0.20359281,0.73092359,0.52000000,0.62500000,0.10000000,0.17241379
27,0.60438347,0.69000000,0.62666667,0.94000000,0.75200000,0.71043068,0.51000000,0.50617284,0.82000000,0.62595420
28,0.59084380,0.78000000,0.74418605,0.85333333,0.79503106,0.69674587,0.49000000,0.49090909,0.54000000,0.51428571
29,0.58752608,0.78000000,0.78378378,0.77333333,0.77852349,0.69656384,0.50000000,0.50000000,0.44000000,0.46808511
30,0.57789856,0.78333333,0.75147929,0.84666667,0.79623824,0.69701844,0.53000000,0.52542373,0.62000000,0.56880734
31,0.59014642,0.72666667,0.91463415,0.50000000,0.64655172,0.70431095,0.56000000,0.65000000,0.26000000,0.37142857
32,0.57579798,0.79666667,0.90825688,0.66000000,0.76447876,0.69775480,0.54000000,0.56250000,0.36000000,0.43902439
33,0.57327718,0.74333333,0.67804878,0.92666667,0.78309859,0.70835495,0.53000000,0.52054795,0.76000000,0.61788618
34,0.58072960,0.70333333,0.63318777,0.96666667,0.76517150,0.71746260,0.53000000,0.51898734,0.82000000,0.63565891
35,0.56400990,0.77000000,0.90909091,0.60000000,0.72289157,0.70514977,0.55000000,0.59259259,0.32000000,0.41558442
36,0.55048281,0.82333333,0.81290323,0.84000000,0.82622951,0.69840848,0.52000000,0.51923077,0.54000000,0.52941176
37,0.59829217,0.65333333,0.96000000,0.32000000,0.48000000,0.72651076,0.53000000,0.60000000,0.18000000,0.27692308
38,0.53652865,0.84000000,0.84931507,0.82666667,0.83783784,0.70105201,0.53000000,0.53333333,0.48000000,0.50526316
39,0.74086100,0.51000000,1.00000000,0.02000000,0.03921569,0.83363098,0.50000000,0.00000000,0.00000000,0.00000000
