epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.70806658,0.49666667,0.00000000,0.00000000,0.00000000,0.73133105,0.50000000,0.00000000,0.00000000,0.00000000
2,0.67642820,0.57333333,0.58593750,0.50000000,0.53956835,0.70098078,0.47000000,0.46153846,0.36000000,0.40449438
3,0.69554126,0.52666667,0.51408451,0.97333333,0.67281106,0.72427070,0.47000000,0.48453608,0.94000000,0.63945578
4,0.66671836,0.58333333,0.65822785,0.34666667,0.45414847,0.70886350,0.52000000,0.55000000,0.22000000,0.31428571
5,0.67517251,0.57666667,0.54275093,0.97333333,0.69689737,0.72181326,0.49000000,0.49473684,0.94000000,0.64827586
6,0.65439385,0.66000000,0.64457831,0.71333333,0.67721519,0.70927489,0.48000000,0.48333333,0.58000000,0.52727273
7,0.65152270,0.59666667,0.68354430,0.36000000,0.47161572,0.71548492,0.52000000,0.54545455,0.24000000,0.33333333
8,0.65606928,0.61333333,0.56800000,0.94666667,0.71000000,0.72809792,0.48000000,0.48809524,0.82000000,0.61194030
9,0.63801402,0.65333333,0.78048780,0.42666667,0.55172414,0.72342497,0.52000000,0.53333333,0.32000000,0.40000000
10,0.68845063,0.56000000,0.53191489,1.00000000,0.69444444,0.75884020,0.48000000,0.48958333,0.94000000,0.64383562
11,0.67215294,0.54000000,0.75000000,0.12000000,0.20689655,0.76416278,0.50000000,0.50000000,0.10000000,0.16666667
12,0.64355582,0.58333333,0.87878788,0.19333333,0.31693989,0.74644285,0.55000000,0.77777778,0.14000000,0.23728814
13,0.60915923,0.69333333,0.65104167,0.83333333,0.73099415,0.72892708,0.54000000,0.52941176,0.72000000,0.61016949
14,0.62910962,0.57333333,0.84375000,0.18000000,0.29670330,0.74240923,0.52000000,0.57142857,0.16000000,0.25000000
15,0.60952324,0.69000000,0.62555066,0.94666667,0.75331565,0.72477984,0.54000000,0.52631579,0.80000000,0.63492063
16,0.58805811,0.73000000,0.76335878,0.66666667,0.71174377,0.72311783,0.54000000,0.54347826,0.50000000,0.52083333
17,0.57213104,0.76000000,0.75000000,0.78000000,0.76470588,0.73278463,0.51000000,0.50980392,0.52000000,0.51485149
18,0.60345018,0.64333333,0.86440678,0.34000000,0.48803828,0.77566576,0.53000000,0.56521739,0.26000000,0.35616438
19,0.58949512,0.65333333,0.89655172,0.34666667,0.50000000,0.77513123,0.53000000,0.57142857,0.24000000,0.33802817
20,0.61841005,0.66333333,0.60000000,0.98000000,0.74430380,0.79198885,0.51000000,0.50602410,0.84000000,0.63157895
21,0.54303801,0.78666667,0.86440678,0.68000000,0.76119403,0.74504972,0.52000000,0.52272727,0.46000000,0.48936170
22,0.53444910,0.77333333,0.70707071,0.93333333,0.80459770,0.75003111,0.53000000,0.52307692,0.68000000,0.59130435
23,0.51818818,0.78666667,0.74712644,0.86666667,0.80246914,0.74155861,0.52000000,0.51666667,0.62000000,0.56363636
24,0.51474154,0.81000000,0.86614173,0.73333333,0.79422383,0.74882680,0.56000000,0.56521739,0.52000000,0.54166667
25,0.52354205,0.78333333,0.74011299,0.87333333,0.80122324,0.74634713,0.54000000,0.53225806,0.66000000,0.58928571
26,0.56094342,0.71000000,0.63404255,0.99333333,0.77402597,0.80333829,0.52000000,0.51282051,0.80000000,0.62500000
27,0.49432871,0.81666667,0.75675676,0.93333333,0.83582090,0.75459212,0.54000000,0.53225806,0.66000000,0.58928571
28,0.57217348,0.62333333,1.00000000,0.24666667,0.39572193,0.87292886,0.52000000,0.60000000,0.12000000,0.20000000
29,0.53210497,0.71000000,0.95652174,0.44000000,0.60273973,0.84175980,0.55000000,0.60869565,0.28000000,0.38356164
30,0.49599153,0.76333333,0.68372093,0.98000000,0.80547945,0.79240435,0.53000000,0.52054795,0.76000000,0.61788618
31,0.48356614,0.77666667,0.72192513,0.90000000,0.80118694,0.81203890,0.46000000,0.46875000,0.60000000,0.52631579
32,0.68777436,0.61666667,0.56653992,0.99333333,0.72154964,0.89677203,0.52000000,0.51111111,0.92000000,0.65714286
33,0.45665771,0.77000000,0.96551724,0.56000000,0.70886076,0.84918046,0.51000000,0.51515152,0.34000000,0.40963855
34,0.49859750,0.75666667,0.67420814,0.99333333,0.80323450,0.81445539,0.55000000,0.53424658,0.78000000,0.63414634
35,0.41567659,0.86000000,0.80337079,0.95333333,0.87195122,0.80644387,0.54000000,0.53333333,0.64000000,0.58181818
36,0.40762329,0.86333333,0.86577181,0.86000000,0.86287625,0.83738101,0.50000000,0.50000000,0.50000000,0.50000000
37,0.38594720,0.85666667,0.81286550,0.92666667,0.86604361,0.88411629,0.52000000,0.51666667,0.62000000,0.56363636
38,0.43283254,0.80333333,0.72636816,0.97333333,0.83190883,0.85987425,0.50000000,0.50000000,0.66000000,0.56896552
39,0.51865083,0.75000000,0.66968326,0.98666667,0.79784367,0.88748467,0.57000000,0.54666667,0.82000000,0.65600000
40,0.43424708,0.81000000,0.73604061,0.96666667,0.83573487,0.84070307,0.54000000,0.52941176,0.72000000,0.61016949
41,0.35697404,0.90333333,0.91724138,0.88666667,0.90169492,0.84548384,0.51000000,0.50943396,0.54000000,0.52427184
42,0.70419151,0.63333333,0.57692308,1.00000000,0.73170732,1.10065508,0.50000000,0.50000000,0.94000000,0.65277778
43,0.35718802,0.86666667,0.80555556,0.96666667,0.87878788,0.86817545,0.48000000,0.48387097,0.60000000,0.53571429
44,0.34307727,0.90000000,0.87037037,0.94000000,0.90384615,0.89423752,0.51000000,0.50877193,0.58000000,0.54205607
45,0.47210082,0.72666667,0.98571429,0.46000000,0.62727273,1.04195285,0.53000000,0.58823529,0.20000000,0.29850746
46,0.54631543,0.68000000,0.96551724,0.37333333,0.53846154,0.99858087,0.48000000,0.40000000,0.08000000,0.13333333
47,0.34992588,0.87333333,0.96666667,0.77333333,0.85925926,0.95879197,0.53000000,0.55555556,0.30000000,0.38961039
48,0.35007375,0.86333333,0.99099099,0.73333333,0.84291188,1.05922115,0.47000000,0.42857143,0.18000000,0.25352113
49,0.38482726,0.83000000,0.74874372,0.99333333,0.85386819,0.92650521,0.51000000,0.50704225,0.72000000,0.59504132
50,0.26071340,0.96666667,0.95454545,0.98000000,0.96710526,0.91142303,0.56000000,0.56000000,0.56000000,0.56000000
51,0.28658426,0.95333333,0.95945946,0.94666667,0.95302013,0.87475306,0.53000000,0.53191489,0.50000000,0.51546392
52,0.35488951,0.84666667,0.76530612,1.00000000,0.86705202,0.94126326,0.49000000,0.49275362,0.68000000,0.57142857
53,0.29753891,0.89333333,0.83146067,0.98666667,0.90243902,0.89138061,0.51000000,0.50819672,0.62000000,0.55855856
54,0.37491596,0.88333333,0.85714286,0.92000000,0.88745981,0.86543459,0.53000000,0.52830189,0.56000000,0.54368932
55,0.33560801,0.86333333,0.99099099,0.73333333,0.84291188,1.03571153,0.51000000,0.52000000,0.26000000,0.34666667
56,0.37038863,0.82000000,0.73529412,1.00000000,0.84745763,1.14303851,0.52000000,0.51351351,0.76000000,0.61290323
