epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.69756716,0.50666667,0.54545455,0.08000000,0.13953488,0.68048525,0.56000000,0.75000000,0.18000000,0.29032258
2,0.67811722,0.57333333,0.55445545,0.74666667,0.63636364,0.67214918,0.59000000,0.56923077,0.74000000,0.64347826
3,0.67245597,0.61000000,0.62790698,0.54000000,0.58064516,0.67154837,0.59000000,0.60975610,0.50000000,0.54945055
4,0.67214161,0.54333333,0.72413793,0.14000000,0.23463687,0.68292677,0.55000000,0.69230769,0.18000000,0.28571429
5,0.66082031,0.67333333,0.72807018,0.55333333,0.62878788,0.67862046,0.56000000,0.57894737,0.44000000,0.50000000
6,0.65802240,0.62333333,0.58295964,0.86666667,0.69705094,0.67634231,0.59000000,0.56521739,0.78000000,0.65546218
7,0.65402538,0.59666667,0.78431373,0.26666667,0.39800995,0.68297362,0.52000000,0.56250000,0.18000000,0.27272727
8,0.64780056,0.67000000,0.61434978,0.91333333,0.73458445,0.67686415,0.60000000,0.57142857,0.80000000,0.66666667
9,0.63848794,0.69333333,0.71014493,0.65333333,0.68055556,0.68046522,0.51000000,0.51428571,0.36000000,0.42352941
10,0.63576418,0.68666667,0.79166667,0.50666667,0.61788618,0.67991304,0.52000000,0.53571429,0.30000000,0.38461538
11,0.62749767,0.70333333,0.70748299,0.69333333,0.70033670,0.67367369,0.59000000,0.60000000,0.54000000,0.56842105
12,0.62296444,0.72333333,0.68306011,0.83333333,0.75075075,0.67119616,0.59000000,0.58181818,0.64000000,0.60952381
13,0.67126662,0.53333333,0.91666667,0.07333333,0.13580247,0.73368484,0.49000000,0.00000000,0.00000000,0.00000000
14,0.62633640,0.59666667,0.85365854,0.23333333,0.36649215,0.69310302,0.53000000,0.61538462,0.16000000,0.25396825
15,0.61749196,0.73000000,0.67164179,0.90000000,0.76923077,0.67195392,0.59000000,0.56716418,0.76000000,0.64957265
16,0.60708070,0.66333333,0.83561644,0.40666667,0.54708520,0.68868363,0.54000000,0.59090909,0.26000000,0.36111111
17,0.61306959,0.71000000,0.64253394,0.94666667,0.76549865,0.67184097,0.57000000,0.54545455,0.84000000,0.66141732
18,0.58664519,0.76666667,0.74096386,0.82000000,0.77848101,0.68576169,0.55000000,0.54901961,0.56000000,0.55445545
19,0.58759826,0.70000000,0.82608696,0.50666667,0.62809917,0.69372880,0.52000000,0.53333333,0.32000000,0.40000000
20,0.69402671,0.54000000,0.87500000,0.09333333,0.16867470,0.78875333,0.51000000,0.60000000,0.06000000,0.10909091
21,0.69524312,0.55333333,0.52816901,1.00000000,0.69124424,0.78205663,0.50000000,0.50000000,0.96000000,0.65753425
22,0.58031321,0.72333333,0.65296804,0.95333333,0.77506775,0.69170606,0.58000000,0.55000000,0.88000000,0.67692308
23,0.60994405,0.60333333,0.96969697,0.21333333,0.34972678,0.74121612,0.55000000,0.72727273,0.16000000,0.26229508
24,0.76680422,0.51000000,1.00000000,0.02000000,0.03921569,0.90175688,0.50000000,0.00000000,0.00000000,0.00000000
25,0.56261665,0.72333333,0.88505747,0.51333333,0.64978903,0.72040415,0.51000000,0.51851852,0.28000000,0.36363636
26,0.56340647,0.75000000,0.67441860,0.96666667,0.79452055,0.69309020,0.56000000,0.54054054,0.80000000,0.64516129
27,0.53901416,0.76666667,0.85714286,0.64000000,0.73282443,0.70922750,0.54000000,0.56666667,0.34000000,0.42500000
28,0.53105986,0.78333333,0.81954887,0.72666667,0.77031802,0.70057243,0.54000000,0.54545455,0.48000000,0.51063830
29,0.55534935,0.74000000,0.66363636,0.97333333,0.78918919,0.69521213,0.57000000,0.54666667,0.82000000,0.65600000
30,0.51682770,0.83333333,0.87878788,0.77333333,0.82269504,0.69390166,0.56000000,0.57894737,0.44000000,0.50000000
31,0.51934636,0.81333333,0.76111111,0.91333333,0.83030303,0.68749070,0.55000000,0.53968254,0.68000000,0.60176991
32,0.58043438,0.63333333,0.97619048,0.27333333,0.42708333,0.78646195,0.54000000,0.70000000,0.14000000,0.23333333
33,0.52573454,0.72000000,0.90243902,0.49333333,0.63793103,0.75015914,0.56000000,0.63636364,0.28000000,0.38888889
34,0.52458274,0.71000000,0.92000000,0.46000000,0.61333333,0.76096010,0.57000000,0.66666667,0.28000000,0.39436620
35,0.49869731,0.76666667,0.88461538,0.61333333,0.72440945,0.73264676,0.52000000,0.53571429,0.30000000,0.38461538
36,0.51289856,0.78666667,0.70673077,0.98000000,0.82122905,0.73244947,0.54000000,0.52564103,0.82000000,0.64062500
37,0.49082825,0.80333333,0.72413793,0.98000000,0.83286119,0.71171677,0.56000000,0.54166667,0.78000000,0.63934426
38,0.52608246,0.74000000,0.65929204,0.99333333,0.79255319,0.76216644,0.54000000,0.52439024,0.86000000,0.65151515
39,0.46448889,0.83333333,0.86764706,0.78666667,0.82517483,0.73245955,0.54000000,0.54761905,0.46000000,0.50000000
40,0.54757982,0.70000000,0.62500000,1.00000000,0.76923077,0.76108009,0.51000000,0.50588235,0.86000000,0.63703704
41,0.49326080,0.77666667,0.69483568,0.98666667,0.81542700,0.72161120,0.54000000,0.52702703,0.78000000,0.62903226
42,0.44409886,0.85333333,0.88970588,0.80666667,0.84615385,0.73598981,0.56000000,0.58823529,0.40000000,0.47619048
43,0.48915717,0.74000000,0.97368421,0.49333333,0.65486726,0.76052612,0.58000000,0.70000000,0.28000000,0.40000000
