epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.68801165,0.52000000,1.00000000,0.04000000,0.07692308,0.69007933,0.55000000,0.85714286,0.12000000,0.21052632
2,0.69370890,0.53666667,0.82352941,0.09333333,0.16766467,0.69189882,0.51000000,0.60000000,0.06000000,0.10909091
3,0.67702973,0.57000000,0.59130435,0.45333333,0.51320755,0.69430715,0.56000000,0.57500000,0.46000000,0.51111111
4,0.68456668,0.56666667,0.55319149,0.69333333,0.61538462,0.69268310,0.43000000,0.44067797,0.52000000,0.47706422
5,0.68160200,0.54333333,0.52346570,0.96666667,0.67915691,0.69612581,0.53000000,0.51685393,0.92000000,0.66187050
6,0.68720686,0.54666667,0.52631579,0.93333333,0.67307692,0.70299637,0.54000000,0.52272727,0.92000000,0.66666667
7,0.67968887,0.58666667,0.55118110,0.93333333,0.69306931,0.69288546,0.53000000,0.51764706,0.88000000,0.65185185
8,0.67367715,0.58333333,0.58992806,0.54666667,0.56747405,0.69811648,0.47000000,0.46666667,0.42000000,0.44210526
9,0.67438906,0.56333333,0.53405018,0.99333333,0.69463869,0.69094008,0.54000000,0.52127660,0.98000000,0.68055556
10,0.67920703,0.56333333,0.53405018,0.99333333,0.69463869,0.70163649,0.53000000,0.51578947,0.98000000,0.67586207
11,0.66396588,0.64333333,0.63354037,0.68000000,0.65594855,0.68556023,0.53000000,0.52307692,0.68000000,0.59130435
12,0.64243680,0.61333333,0.58500000,0.78000000,0.66857143,0.69323790,0.55000000,0.53731343,0.72000000,0.61538462
13,0.66076189,0.58000000,0.54347826,1.00000000,0.70422535,0.69881928,0.52000000,0.51041667,0.98000000,0.67123288
14,0.85040945,0.50666667,1.00000000,0.01333333,0.02631579,0.93958908,0.50000000,0.00000000,0.00000000,0.00000000
15,0.63911569,0.69000000,0.62337662,0.96000000,0.75590551,0.68941742,0.58000000,0.54761905,0.92000000,0.68656716
16,0.61183918,0.62666667,0.85185185,0.30666667,0.45098039,0.75382096,0.46000000,0.40909091,0.18000000,0.25000000
17,0.59690660,0.68666667,0.64141414,0.84666667,0.72988506,0.71041918,0.53000000,0.52307692,0.68000000,0.59130435
18,0.62759763,0.61666667,0.64705882,0.51333333,0.57249071,0.70538759,0.52000000,0.52941176,0.36000000,0.42857143
19,0.63224477,0.64000000,0.62209302,0.71333333,0.66459627,0.69363874,0.54000000,0.54000000,0.54000000,0.54000000
20,0.69861865,0.53000000,1.00000000,0.06000000,0.11320755,0.88057625,0.50000000,0.50000000,0.04000000,0.07407407
21,0.71736079,0.52000000,1.00000000,0.04000000,0.07692308,0.83077681,0.52000000,1.00000000,0.04000000,0.07692308
22,0.55874163,0.74333333,0.67804878,0.92666667,0.78309859,0.74264330,0.49000000,0.49315068,0.72000000,0.58536585
23,1.00890374,0.51000000,0.50505051,1.00000000,0.67114094,1.14948285,0.51000000,0.50505051,1.00000000,0.67114094
24,0.57266098,0.74333333,0.84761905,0.59333333,0.69803922,0.73728067,0.48000000,0.46666667,0.28000000,0.35000000
25,0.66894746,0.60333333,0.84444444,0.25333333,0.38974359,0.89276475,0.55000000,0.66666667,0.20000000,0.30769231
26,0.57411951,0.70333333,0.68047337,0.76666667,0.72100313,0.77352190,0.49000000,0.49152542,0.58000000,0.53211009
27,0.48574829,0.78333333,0.79720280,0.76000000,0.77815700,0.86730772,0.46000000,0.45652174,0.42000000,0.43750000
28,0.54171085,0.72000000,0.68965517,0.80000000,0.74074074,0.81068206,0.49000000,0.49090909,0.54000000,0.51428571
29,0.64108640,0.54000000,1.00000000,0.08000000,0.14814815,0.74413180,0.52000000,0.66666667,0.08000000,0.14285714
30,0.47308186,0.79666667,0.74585635,0.90000000,0.81570997,0.81681079,0.51000000,0.50847458,0.60000000,0.55045872
31,0.48839784,0.82666667,0.76063830,0.95333333,0.84615385,0.77659506,0.47000000,0.47540984,0.58000000,0.52252252
32,0.65903664,0.63666667,0.71578947,0.45333333,0.55510204,0.94047898,0.53000000,0.53488372,0.46000000,0.49462366
