epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.69561046,0.52000000,0.54166667,0.26000000,0.35135135,0.69987166,0.48000000,0.45000000,0.18000000,0.25714286
2,0.68935633,0.55333333,0.55405405,0.54666667,0.55033557,0.69791090,0.45000000,0.44444444,0.40000000,0.42105263
3,0.68668884,0.59333333,0.66279070,0.38000000,0.48305085,0.70035583,0.46000000,0.41666667,0.20000000,0.27027027
4,0.68754154,0.53000000,0.76470588,0.08666667,0.15568862,0.70662749,0.49000000,0.40000000,0.04000000,0.07272727
5,0.67926151,0.60333333,0.59171598,0.66666667,0.62695925,0.69968092,0.44000000,0.44444444,0.48000000,0.46153846
6,0.67707664,0.61000000,0.66336634,0.44666667,0.53386454,0.70118928,0.48000000,0.46666667,0.28000000,0.35000000
7,0.67430210,0.62333333,0.63909774,0.56666667,0.60070671,0.70182198,0.45000000,0.44444444,0.40000000,0.42105263
8,0.67294711,0.59666667,0.56170213,0.88000000,0.68571429,0.70246440,0.43000000,0.45454545,0.70000000,0.55118110
9,0.67341322,0.57666667,0.78048780,0.21333333,0.33507853,0.70796204,0.53000000,0.61538462,0.16000000,0.25396825
10,0.66653860,0.66000000,0.62631579,0.79333333,0.70000000,0.70496899,0.43000000,0.44615385,0.58000000,0.50434783
11,0.67336440,0.54333333,0.52363636,0.96000000,0.67764706,0.71033889,0.47000000,0.48387097,0.90000000,0.62937063
12,0.66406924,0.61000000,0.57021277,0.89333333,0.69610390,0.70702767,0.42000000,0.44736842,0.68000000,0.53968254
13,0.66989768,0.54333333,0.76000000,0.12666667,0.21714286,0.71714598,0.54000000,0.75000000,0.12000000,0.20689655
14,0.66525072,0.56333333,0.80645161,0.16666667,0.27624309,0.71438384,0.53000000,0.66666667,0.12000000,0.20338983
15,0.65855312,0.64000000,0.79166667,0.38000000,0.51351351,0.70934820,0.43000000,0.37037037,0.20000000,0.25974026
16,0.65425152,0.66666667,0.61904762,0.86666667,0.72222222,0.70681649,0.42000000,0.44117647,0.60000000,0.50847458
17,0.66279507,0.58000000,0.54444444,0.98000000,0.70000000,0.71657050,0.48000000,0.48913043,0.90000000,0.63380282
18,0.64776427,0.69666667,0.73600000,0.61333333,0.66909091,0.70992231,0.51000000,0.51063830,0.48000000,0.49484536
19,0.64512962,0.72000000,0.78947368,0.60000000,0.68181818,0.71224946,0.46000000,0.45238095,0.38000000,0.41304348
20,0.64281201,0.71666667,0.79816514,0.58000000,0.67181467,0.71172333,0.47000000,0.45714286,0.32000000,0.37647059
21,0.64025360,0.70000000,0.66129032,0.82000000,0.73214286,0.71024019,0.47000000,0.47692308,0.62000000,0.53913043
22,0.65785366,0.55333333,0.83333333,0.13333333,0.22988506,0.72919583,0.52000000,0.62500000,0.10000000,0.17241379
23,0.64456493,0.60333333,0.56126482,0.94666667,0.70471464,0.71900862,0.47000000,0.48235294,0.82000000,0.60740741
24,0.63795310,0.65333333,0.59663866,0.94666667,0.73195876,0.71757615,0.49000000,0.49367089,0.78000000,0.60465116
25,0.62695467,0.73333333,0.72727273,0.74666667,0.73684211,0.71130627,0.46000000,0.46666667,0.56000000,0.50909091
26,0.62476492,0.73333333,0.72435897,0.75333333,0.73856209,0.71106595,0.47000000,0.47368421,0.54000000,0.50467290
27,0.63657784,0.61666667,0.85714286,0.28000000,0.42211055,0.72557557,0.49000000,0.46666667,0.14000000,0.21538462
28,0.61857277,0.72666667,0.68085106,0.85333333,0.75739645,0.71524888,0.51000000,0.50746269,0.68000000,0.58119658
29,0.61677748,0.72333333,0.66834171,0.88666667,0.76217765,0.71670133,0.52000000,0.51470588,0.70000000,0.59322034
30,0.63545501,0.60333333,0.55938697,0.97333333,0.71046229,0.73596388,0.49000000,0.49425287,0.86000000,0.62773723
31,0.64069653,0.59333333,0.55263158,0.98000000,0.70673077,0.74109465,0.51000000,0.50561798,0.90000000,0.64748201
32,0.67778742,0.54666667,0.52464789,0.99333333,0.68663594,0.77405900,0.47000000,0.48387097,0.90000000,0.62937063
