epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.68781865,0.55000000,0.54658385,0.58666667,0.56591640,0.69910872,0.53000000,0.52459016,0.64000000,0.57657658
2,0.68245697,0.52333333,0.51515152,0.79333333,0.62467192,0.70337033,0.50000000,0.50000000,0.84000000,0.62686567
3,0.67648745,0.54000000,0.55882353,0.38000000,0.45238095,0.70113510,0.52000000,0.52777778,0.38000000,0.44186047
4,0.67026067,0.57333333,0.55445545,0.74666667,0.63636364,0.70155442,0.54000000,0.52631579,0.80000000,0.63492063
5,0.67464048,0.57666667,0.54545455,0.92000000,0.68486352,0.70776987,0.49000000,0.49450549,0.90000000,0.63829787
6,0.66725677,0.58000000,0.54958678,0.88666667,0.67857143,0.70237243,0.52000000,0.51162791,0.88000000,0.64705882
7,0.65825707,0.64000000,0.66153846,0.57333333,0.61428571,0.69405252,0.55000000,0.54901961,0.56000000,0.55445545
8,0.65533358,0.66000000,0.71052632,0.54000000,0.61363636,0.69554198,0.52000000,0.52631579,0.40000000,0.45454545
9,0.65684801,0.60333333,0.56485356,0.90000000,0.69408740,0.70080924,0.53000000,0.51764706,0.88000000,0.65185185
10,0.65751880,0.59333333,0.78000000,0.26000000,0.39000000,0.70283180,0.52000000,0.56250000,0.18000000,0.27272727
11,0.64279836,0.63666667,0.59276018,0.87333333,0.70619946,0.69699234,0.54000000,0.52500000,0.84000000,0.64615385
12,0.64136952,0.62333333,0.74666667,0.37333333,0.49777778,0.69913203,0.57000000,0.64000000,0.32000000,0.42666667
13,0.62788379,0.70000000,0.68987342,0.72666667,0.70779221,0.69509840,0.57000000,0.55555556,0.70000000,0.61946903
14,0.62692350,0.67333333,0.62745098,0.85333333,0.72316384,0.69350207,0.55000000,0.53246753,0.82000000,0.64566929
15,0.61692017,0.74333333,0.74172185,0.74666667,0.74418605,0.69688398,0.55000000,0.54237288,0.64000000,0.58715596
16,0.64522743,0.59333333,0.83333333,0.23333333,0.36458333,0.72660881,0.55000000,0.72727273,0.16000000,0.26229508
17,0.60810560,0.71000000,0.76923077,0.60000000,0.67415730,0.69865918,0.54000000,0.55000000,0.44000000,0.48888889
18,0.60298979,0.73666667,0.76691729,0.68000000,0.72084806,0.69028533,0.58000000,0.58000000,0.58000000,0.58000000
19,0.60333514,0.65000000,0.60180995,0.88666667,0.71698113,0.70636064,0.53000000,0.51898734,0.82000000,0.63565891
20,0.59158587,0.69666667,0.64676617,0.86666667,0.74074074,0.70585877,0.54000000,0.52777778,0.76000000,0.62295082
21,0.58412343,0.74000000,0.85294118,0.58000000,0.69047619,0.70900267,0.56000000,0.58823529,0.40000000,0.47619048
22,0.60588521,0.65666667,0.59670782,0.96666667,0.73791349,0.72581708,0.56000000,0.53571429,0.90000000,0.67164179
23,0.61385536,0.63000000,0.57894737,0.95333333,0.72040302,0.74674368,0.53000000,0.51764706,0.88000000,0.65185185
24,0.56398445,0.72000000,0.66336634,0.89333333,0.76136364,0.70843565,0.56000000,0.54054054,0.80000000,0.64516129
25,0.56382710,0.71000000,0.64651163,0.92666667,0.76164384,0.71206284,0.55000000,0.53246753,0.82000000,0.64566929
26,0.56846118,0.69333333,0.63425926,0.91333333,0.74863388,0.71824598,0.55000000,0.53246753,0.82000000,0.64566929
27,0.55048490,0.73000000,0.66350711,0.93333333,0.77562327,0.71162492,0.57000000,0.54666667,0.82000000,0.65600000
28,0.54293424,0.72000000,0.65277778,0.94000000,0.77049180,0.72289568,0.59000000,0.56000000,0.84000000,0.67200000
29,0.52181131,0.79000000,0.75438596,0.86000000,0.80373832,0.71261626,0.56000000,0.54545455,0.72000000,0.62068966
30,0.51153350,0.76000000,0.70744681,0.88666667,0.78698225,0.72496271,0.57000000,0.55223881,0.74000000,0.63247863
31,0.51475698,0.73333333,0.66509434,0.94000000,0.77900552,0.73066545,0.58000000,0.55405405,0.82000000,0.66129032
32,0.48949727,0.81333333,0.81756757,0.80666667,0.81208054,0.71873140,0.58000000,0.57407407,0.62000000,0.59615385
33,0.49787810,0.82000000,0.94444444,0.68000000,0.79069767,0.73340636,0.56000000,0.59375000,0.38000000,0.46341463
34,0.60111594,0.61333333,1.00000000,0.22666667,0.36956522,0.83753228,0.53000000,0.71428571,0.10000000,0.17543860
35,0.46691874,0.81333333,0.77647059,0.88000000,0.82500000,0.72767043,0.56000000,0.54687500,0.70000000,0.61403509
36,0.53073394,0.72000000,0.94594595,0.46666667,0.62500000,0.80475664,0.53000000,0.57894737,0.22000000,0.31884058
37,0.66893303,0.63333333,0.57692308,1.00000000,0.73170732,0.94082505,0.49000000,0.49450549,0.90000000,0.63829787
38,0.47064254,0.78000000,0.70192308,0.97333333,0.81564246,0.78039908,0.57000000,0.54794521,0.80000000,0.65040650
39,0.42134383,0.84333333,0.81987578,0.88000000,0.84887460,0.75238442,0.56000000,0.55172414,0.64000000,0.59259259
40,0.46346551,0.83666667,0.91735537,0.74000000,0.81918819,0.73850077,0.56000000,0.59375000,0.38000000,0.46341463
41,0.58905131,0.67000000,0.60323887,0.99333333,0.75062972,0.87446058,0.52000000,0.51190476,0.86000000,0.64179104
42,0.56925941,0.68333333,0.61224490,1.00000000,0.75949367,0.89651489,0.54000000,0.52380952,0.88000000,0.65671642
43,0.40599522,0.88666667,0.94615385,0.82000000,0.87857143,0.76478815,0.55000000,0.56097561,0.46000000,0.50549451
44,0.42046705,0.87333333,0.85897436,0.89333333,0.87581699,0.76121366,0.58000000,0.57142857,0.64000000,0.60377358
45,0.40280029,0.87666667,0.82285714,0.96000000,0.88615385,0.77071762,0.57000000,0.55555556,0.70000000,0.61946903
46,0.41720006,0.85666667,0.95726496,0.74666667,0.83895131,0.78113031,0.53000000,0.54285714,0.38000000,0.44705882
47,0.40252832,0.82666667,0.75257732,0.97333333,0.84883721,0.81889343,0.59000000,0.56716418,0.76000000,0.64957265
48,0.39151368,0.86000000,0.94262295,0.76666667,0.84558824,0.77619368,0.53000000,0.54054054,0.40000000,0.45977011
49,0.38144577,0.88333333,0.83236994,0.96000000,0.89164087,0.79888999,0.56000000,0.54545455,0.72000000,0.62068966
50,0.39558107,0.87666667,0.97478992,0.77333333,0.86245353,0.76670378,0.58000000,0.61111111,0.44000000,0.51162791
51,0.35422266,0.87333333,0.83734940,0.92666667,0.87974684,0.81367904,0.58000000,0.56666667,0.68000000,0.61818182
52,0.40162009,0.80666667,0.72772277,0.98000000,0.83522727,0.86360377,0.57000000,0.54929577,0.78000000,0.64462810
53,0.37368754,0.82666667,0.74500000,0.99333333,0.85142857,0.88470948,0.59000000,0.56521739,0.78000000,0.65546218
54,0.57829714,0.68333333,0.61224490,1.00000000,0.75949367,1.06772983,0.54000000,0.52380952,0.88000000,0.65671642
