epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.68603832,0.49666667,0.48979592,0.16000000,0.24120603,0.70676649,0.40000000,0.29166667,0.14000000,0.18918919
2,0.69424379,0.55000000,0.52747253,0.96000000,0.68085106,0.68990362,0.54000000,0.52325581,0.90000000,0.66176471
3,0.67963147,0.56666667,0.57246377,0.52666667,0.54861111,0.69356310,0.49000000,0.48936170,0.46000000,0.47422680
4,0.67795962,0.60666667,0.67021277,0.42000000,0.51639344,0.70361829,0.49000000,0.48387097,0.30000000,0.37037037
5,0.69625151,0.51000000,0.50505051,1.00000000,0.67114094,0.70919019,0.48000000,0.48979592,0.96000000,0.64864865
6,0.67242002,0.53666667,0.64102564,0.16666667,0.26455026,0.72336763,0.51000000,0.53846154,0.14000000,0.22222222
7,0.66709870,0.56000000,0.53600000,0.89333333,0.67000000,0.70279253,0.48000000,0.48809524,0.82000000,0.61194030
8,0.66292590,0.59666667,0.55686275,0.94666667,0.70123457,0.71677154,0.47000000,0.48235294,0.82000000,0.60740741
9,0.64713174,0.63000000,0.63636364,0.60666667,0.62116041,0.71737212,0.46000000,0.45833333,0.44000000,0.44897959
10,0.68794930,0.51000000,0.66666667,0.04000000,0.07547170,0.70209414,0.50000000,0.50000000,0.02000000,0.03846154
11,0.65400463,0.61000000,0.56470588,0.96000000,0.71111111,0.71759856,0.51000000,0.50574713,0.88000000,0.64233577
12,0.69028670,0.52666667,0.51379310,0.99333333,0.67727273,0.74039614,0.47000000,0.48421053,0.92000000,0.63448276
13,0.62827772,0.65000000,0.71428571,0.50000000,0.58823529,0.73829740,0.52000000,0.52941176,0.36000000,0.42857143
14,0.64681453,0.58666667,0.54779412,0.99333333,0.70616114,0.74416494,0.48000000,0.48936170,0.92000000,0.63888889
15,0.60293436,0.71666667,0.67379679,0.84000000,0.74777448,0.73885190,0.51000000,0.50847458,0.60000000,0.55045872
16,0.58768958,0.68333333,0.63681592,0.85333333,0.72934473,0.74725455,0.55000000,0.53424658,0.78000000,0.63414634
17,0.66149873,0.56000000,0.53191489,1.00000000,0.69444444,0.75851929,0.47000000,0.48421053,0.92000000,0.63448276
18,0.64440000,0.68333333,0.65895954,0.76000000,0.70588235,0.71864623,0.45000000,0.46478873,0.66000000,0.54545455
19,0.60980242,0.65000000,0.59183673,0.96666667,0.73417722,0.75709665,0.50000000,0.50000000,0.80000000,0.61538462
20,0.54990804,0.72000000,0.67187500,0.86000000,0.75438596,0.78887200,0.47000000,0.48000000,0.72000000,0.57600000
21,0.59276468,0.68666667,0.63333333,0.88666667,0.73888889,0.76439786,0.50000000,0.50000000,0.72000000,0.59016393
22,0.61879468,0.63333333,0.57936508,0.97333333,0.72636816,0.76918578,0.49000000,0.49397590,0.82000000,0.61654135
23,0.56990540,0.72000000,0.81132075,0.57333333,0.67187500,0.85846192,0.48000000,0.47368421,0.36000000,0.40909091
24,0.56817400,0.75333333,0.72093023,0.82666667,0.77018634,0.73727113,0.51000000,0.50769231,0.66000000,0.57391304
25,0.58328515,0.68666667,0.62500000,0.93333333,0.74866310,0.81166542,0.48000000,0.48750000,0.78000000,0.60000000
26,0.61329460,0.64333333,0.92156863,0.31333333,0.46766169,0.84167808,0.50000000,0.50000000,0.16000000,0.24242424
27,0.56252193,0.72333333,0.65727700,0.93333333,0.77134986,0.76943135,0.48000000,0.48684211,0.74000000,0.58730159
28,0.54499173,0.77333333,0.74404762,0.83333333,0.78616352,0.75454485,0.51000000,0.50909091,0.56000000,0.53333333
29,0.52542579,0.78333333,0.77419355,0.80000000,0.78688525,0.75484556,0.53000000,0.52830189,0.56000000,0.54368932
30,0.66404867,0.60333333,0.55762082,1.00000000,0.71599045,0.89931333,0.50000000,0.50000000,0.92000000,0.64788732
31,0.50115734,0.77000000,0.70769231,0.92000000,0.80000000,0.77868569,0.54000000,0.52702703,0.78000000,0.62903226
32,0.50350910,0.78666667,0.74157303,0.88000000,0.80487805,0.77563113,0.51000000,0.50819672,0.62000000,0.55855856
33,0.49577749,0.75666667,0.87378641,0.60000000,0.71146245,0.89674640,0.52000000,0.52631579,0.40000000,0.45454545
34,0.49661601,0.78333333,0.76073620,0.82666667,0.79233227,0.77149844,0.52000000,0.51612903,0.64000000,0.57142857
35,0.55326551,0.72000000,0.80555556,0.58000000,0.67441860,0.94689924,0.44000000,0.42500000,0.34000000,0.37777778
