epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.69124979,0.52333333,0.51933702,0.62666667,0.56797583,0.69478893,0.51000000,0.50847458,0.60000000,0.55045872
2,0.68745840,0.54000000,0.53333333,0.64000000,0.58181818,0.69241029,0.50000000,0.50000000,0.66000000,0.56896552
3,0.68499911,0.59000000,0.59574468,0.56000000,0.57731959,0.69227260,0.51000000,0.51063830,0.48000000,0.49484536
4,0.68247563,0.60000000,0.60273973,0.58666667,0.59459459,0.69144833,0.49000000,0.49090909,0.54000000,0.51428571
5,0.68135059,0.56333333,0.54148472,0.82666667,0.65435356,0.69161510,0.51000000,0.50632911,0.80000000,0.62015504
6,0.67899030,0.58666667,0.71666667,0.28666667,0.40952381,0.69145155,0.54000000,0.61111111,0.22000000,0.32352941
7,0.67799032,0.57666667,0.73469388,0.24000000,0.36180905,0.69234371,0.50000000,0.50000000,0.12000000,0.19354839
8,0.67350590,0.66333333,0.69291339,0.58666667,0.63537906,0.69069070,0.53000000,0.53658537,0.44000000,0.48351648
9,0.67176360,0.67666667,0.64324324,0.79333333,0.71044776,0.69180280,0.50000000,0.50000000,0.66000000,0.56896552
10,0.67245740,0.58666667,0.70312500,0.30000000,0.42056075,0.69298965,0.53000000,0.57142857,0.24000000,0.33802817
11,0.67249525,0.54333333,0.70967742,0.14666667,0.24309392,0.69333881,0.54000000,0.83333333,0.10000000,0.17857143
12,0.66455984,0.62666667,0.72093023,0.41333333,0.52542373,0.68801975,0.54000000,0.57142857,0.32000000,0.41025641
13,0.66042542,0.68333333,0.73913043,0.56666667,0.64150943,0.68767726,0.54000000,0.55555556,0.40000000,0.46511628
14,0.65749413,0.69666667,0.71851852,0.64666667,0.68070175,0.68432480,0.55000000,0.55555556,0.50000000,0.52631579
15,0.65373516,0.67333333,0.74074074,0.53333333,0.62015504,0.68578696,0.54000000,0.56250000,0.36000000,0.43902439
16,0.65055007,0.69333333,0.75000000,0.58000000,0.65413534,0.68697327,0.55000000,0.57575758,0.38000000,0.45783133
17,0.64612007,0.73000000,0.69491525,0.82000000,0.75229358,0.68302095,0.58000000,0.55882353,0.76000000,0.64406780
18,0.64610791,0.70000000,0.71739130,0.66000000,0.68750000,0.68284589,0.55000000,0.56097561,0.46000000,0.50549451
19,0.63678294,0.72000000,0.69186047,0.79333333,0.73913043,0.68106276,0.58000000,0.56666667,0.68000000,0.61818182
20,0.63971120,0.68666667,0.63461538,0.88000000,0.73743017,0.68544286,0.55000000,0.53246753,0.82000000,0.64566929
21,0.62892967,0.74333333,0.71345029,0.81333333,0.76012461,0.68093014,0.58000000,0.56666667,0.68000000,0.61818182
22,0.62664074,0.69333333,0.76363636,0.56000000,0.64615385,0.67871535,0.60000000,0.63888889,0.46000000,0.53488372
23,0.64907300,0.60666667,0.56060606,0.98666667,0.71497585,0.70506018,0.51000000,0.50537634,0.94000000,0.65734266
24,0.61810386,0.70333333,0.65024631,0.88000000,0.74787535,0.68074614,0.58000000,0.55555556,0.80000000,0.65573770
25,0.62628502,0.63666667,0.83606557,0.34000000,0.48341232,0.69636077,0.52000000,0.55555556,0.20000000,0.29411765
26,0.61974603,0.64666667,0.87931034,0.34000000,0.49038462,0.69736725,0.52000000,0.56250000,0.18000000,0.27272727
27,0.60127580,0.74333333,0.80672269,0.64000000,0.71375465,0.68674701,0.57000000,0.60000000,0.42000000,0.49411765
28,0.60273403,0.68333333,0.62008734,0.94666667,0.74934037,0.69462782,0.55000000,0.53086420,0.86000000,0.65648855
29,0.58574659,0.73333333,0.68229167,0.87333333,0.76608187,0.68256938,0.60000000,0.57352941,0.78000000,0.66101695
30,0.57922167,0.75000000,0.68844221,0.91333333,0.78510029,0.68549591,0.59000000,0.56521739,0.78000000,0.65546218
31,0.61432010,0.62333333,0.95121951,0.26000000,0.40837696,0.72083431,0.51000000,0.53846154,0.14000000,0.22222222
32,0.57202286,0.72333333,0.65727700,0.93333333,0.77134986,0.69562000,0.57000000,0.54794521,0.80000000,0.65040650
33,0.57388270,0.69333333,0.92647059,0.42000000,0.57798165,0.70031279,0.54000000,0.61111111,0.22000000,0.32352941
34,0.55209309,0.79333333,0.73655914,0.91333333,0.81547619,0.69020766,0.58000000,0.56666667,0.68000000,0.61818182
35,0.54206818,0.82666667,0.87121212,0.76666667,0.81560284,0.69117296,0.57000000,0.58536585,0.48000000,0.52747253
36,0.53915399,0.78666667,0.86440678,0.68000000,0.76119403,0.69000667,0.61000000,0.65714286,0.46000000,0.54117647
37,0.56411970,0.67333333,0.88235294,0.40000000,0.55045872,0.72252357,0.55000000,0.63157895,0.24000000,0.34782609
38,0.52238661,0.80333333,0.75138122,0.90666667,0.82175227,0.69385225,0.59000000,0.57377049,0.70000000,0.63063063
39,0.52687442,0.75333333,0.68095238,0.95333333,0.79444444,0.71977478,0.58000000,0.55555556,0.80000000,0.65573770
40,0.68224812,0.58666667,0.54744526,1.00000000,0.70754717,0.85911787,0.52000000,0.51041667,0.98000000,0.67123288
41,0.51311892,0.78666667,0.94791667,0.60666667,0.73983740,0.72151905,0.57000000,0.64000000,0.32000000,0.42666667
42,0.62566096,0.60333333,1.00000000,0.20666667,0.34254144,0.80269009,0.50000000,0.50000000,0.10000000,0.16666667
43,0.65491432,0.55000000,1.00000000,0.10000000,0.18181818,0.83500046,0.53000000,0.80000000,0.08000000,0.14545455
44,0.52285111,0.77666667,0.94623656,0.58666667,0.72427984,0.74108076,0.48000000,0.45454545,0.20000000,0.27777778
45,0.55174309,0.67666667,0.96491228,0.36666667,0.53140097,0.77331847,0.52000000,0.56250000,0.18000000,0.27272727
46,0.49314842,0.78000000,0.70000000,0.98000000,0.81666667,0.74835265,0.55000000,0.53623188,0.74000000,0.62184874
47,0.47416535,0.81000000,0.73366834,0.97333333,0.83667622,0.73024791,0.56000000,0.54545455,0.72000000,0.62068966
48,0.45526949,0.81666667,0.74869110,0.95333333,0.83870968,0.73989201,0.61000000,0.58730159,0.74000000,0.65486726
49,0.49978811,0.75333333,0.97500000,0.52000000,0.67826087,0.76796371,0.53000000,0.58823529,0.20000000,0.29850746
50,0.47271603,0.76666667,0.68518519,0.98666667,0.80874317,0.76530224,0.56000000,0.54166667,0.78000000,0.63934426
51,0.44975159,0.81666667,0.93577982,0.68000000,0.78764479,0.74811065,0.56000000,0.59375000,0.38000000,0.46341463
52,0.67862850,0.55000000,1.00000000,0.10000000,0.18181818,0.95781124,0.53000000,1.00000000,0.06000000,0.11320755
