epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.70393735,0.50000000,0.50000000,0.07333333,0.12790698,0.71303922,0.50000000,0.50000000,0.08000000,0.13793103
2,0.69268429,0.51333333,0.60000000,0.08000000,0.14117647,0.71237242,0.47000000,0.28571429,0.04000000,0.07017544
3,0.68840080,0.51000000,0.50515464,0.98000000,0.66666667,0.70467246,0.51000000,0.50537634,0.94000000,0.65734266
4,0.67102247,0.62666667,0.63571429,0.59333333,0.61379310,0.69813520,0.49000000,0.48717949,0.38000000,0.42696629
5,0.66592675,0.64000000,0.61170213,0.76666667,0.68047337,0.69782656,0.51000000,0.50877193,0.58000000,0.54205607
6,0.66322827,0.62333333,0.68316832,0.46000000,0.54980080,0.69941223,0.54000000,0.57142857,0.32000000,0.41025641
7,0.66684103,0.57000000,0.53903346,0.96666667,0.69212411,0.70484251,0.51000000,0.50537634,0.94000000,0.65734266
8,0.65337318,0.69000000,0.66473988,0.76666667,0.71207430,0.69546527,0.48000000,0.48148148,0.52000000,0.50000000
9,0.65031362,0.64000000,0.59545455,0.87333333,0.70810811,0.69462234,0.52000000,0.51428571,0.72000000,0.60000000
10,0.66394204,0.55000000,0.89473684,0.11333333,0.20118343,0.71660125,0.51000000,0.55555556,0.10000000,0.16949153
11,0.64979643,0.62000000,0.80000000,0.32000000,0.45714286,0.70652139,0.53000000,0.58823529,0.20000000,0.29850746
12,0.65694612,0.58000000,0.85294118,0.19333333,0.31521739,0.71643007,0.51000000,0.54545455,0.12000000,0.19672131
13,0.63504654,0.68000000,0.73275862,0.56666667,0.63909774,0.69494218,0.51000000,0.51428571,0.36000000,0.42352941
14,0.63296193,0.69000000,0.82758621,0.48000000,0.60759494,0.69790453,0.54000000,0.60000000,0.24000000,0.34285714
15,0.62686247,0.68333333,0.63546798,0.86000000,0.73087819,0.69224703,0.52000000,0.51388889,0.74000000,0.60655738
16,0.61998177,0.73666667,0.71515152,0.78666667,0.74920635,0.69436145,0.50000000,0.50000000,0.56000000,0.52830189
17,0.66621315,0.55000000,0.52631579,1.00000000,0.68965517,0.72713900,0.51000000,0.50537634,0.94000000,0.65734266
18,0.62744504,0.64000000,0.85000000,0.34000000,0.48571429,0.70923996,0.51000000,0.52941176,0.18000000,0.26865672
19,0.61131871,0.70333333,0.78504673,0.56000000,0.65369650,0.70276564,0.53000000,0.54285714,0.38000000,0.44705882
20,0.60350770,0.72000000,0.67934783,0.83333333,0.74850299,0.69777143,0.52000000,0.51724138,0.60000000,0.55555556
21,0.69566649,0.52333333,1.00000000,0.04666667,0.08917197,0.78690839,0.53000000,1.00000000,0.06000000,0.11320755
22,0.59700245,0.76000000,0.73493976,0.81333333,0.77215190,0.69966471,0.54000000,0.54000000,0.54000000,0.54000000
23,0.58849812,0.74666667,0.72839506,0.78666667,0.75641026,0.70303452,0.53000000,0.52727273,0.58000000,0.55238095
24,0.58284038,0.76333333,0.79259259,0.71333333,0.75087719,0.70045167,0.52000000,0.52380952,0.44000000,0.47826087
25,0.59842563,0.68333333,0.92307692,0.40000000,0.55813953,0.71814942,0.52000000,0.55555556,0.20000000,0.29411765
26,0.58508372,0.72333333,0.92405063,0.48666667,0.63755459,0.71470201,0.55000000,0.60869565,0.28000000,0.38356164
27,0.59847122,0.66666667,0.60162602,0.98666667,0.74747475,0.72081637,0.52000000,0.51162791,0.88000000,0.64705882
28,0.66251487,0.54666667,1.00000000,0.09333333,0.17073171,0.79887009,0.54000000,1.00000000,0.08000000,0.14814815
29,0.63180572,0.57666667,1.00000000,0.15333333,0.26589595,0.76441622,0.53000000,0.80000000,0.08000000,0.14545455
30,0.60259145,0.66666667,0.60162602,0.98666667,0.74747475,0.72459364,0.53000000,0.51764706,0.88000000,0.65185185
31,0.54935968,0.79000000,0.82706767,0.73333333,0.77738516,0.70612597,0.51000000,0.51219512,0.42000000,0.46153846
32,0.55696666,0.75666667,0.88118812,0.59333333,0.70916335,0.70851183,0.53000000,0.56521739,0.26000000,0.35616438
33,0.55101943,0.76000000,0.91489362,0.57333333,0.70491803,0.71663237,0.54000000,0.57142857,0.32000000,0.41025641
34,0.68985951,0.54666667,1.00000000,0.09333333,0.17073171,0.84574753,0.54000000,1.00000000,0.08000000,0.14814815
35,0.54023987,0.76666667,0.87735849,0.62000000,0.72656250,0.73092878,0.54000000,0.56250000,0.36000000,0.43902439
36,0.51945519,0.80666667,0.82394366,0.78000000,0.80136986,0.71309549,0.49000000,0.48936170,0.46000000,0.47422680
37,0.51477408,0.79666667,0.74860335,0.89333333,0.81458967,0.71572584,0.52000000,0.51612903,0.64000000,0.57142857
38,0.60331500,0.59666667,0.96774194,0.20000000,0.33149171,0.79985529,0.55000000,0.85714286,0.12000000,0.21052632
39,0.63823372,0.61000000,0.56226415,0.99333333,0.71807229,0.84361082,0.51000000,0.50561798,0.90000000,0.64748201
40,0.53105700,0.74000000,0.97368421,0.49333333,0.65486726,0.74746358,0.54000000,0.64285714,0.18000000,0.28125000
41,0.49059999,0.86000000,0.85526316,0.86666667,0.86092715,0.71182370,0.50000000,0.50000000,0.48000000,0.48979592
42,0.48864055,0.81666667,0.83687943,0.78666667,0.81099656,0.72552603,0.50000000,0.50000000,0.46000000,0.47916667
43,0.53575391,0.70333333,0.62978723,0.98666667,0.76883117,0.78291982,0.54000000,0.52500000,0.84000000,0.64615385
44,0.50257856,0.76666667,0.96511628,0.55333333,0.70338983,0.76132482,0.53000000,0.57142857,0.24000000,0.33802817
45,0.47093892,0.84333333,0.79768786,0.92000000,0.85448916,0.71666479,0.54000000,0.53571429,0.60000000,0.56603774
46,0.53332049,0.69666667,0.96825397,0.40666667,0.57276995,0.79159224,0.54000000,0.62500000,0.20000000,0.30303030
47,0.74074024,0.52000000,1.00000000,0.04000000,0.07692308,0.97928327,0.53000000,1.00000000,0.06000000,0.11320755
