epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.68276078,0.55666667,0.53183521,0.94666667,0.68105516,0.72059286,0.49000000,0.49425287,0.86000000,0.62773723
2,0.70029736,0.50000000,0.50000000,0.01333333,0.02597403,0.73238462,0.49000000,0.33333333,0.02000000,0.03773585
3,0.66288877,0.60666667,0.65384615,0.45333333,0.53543307,0.71164721,0.51000000,0.51428571,0.36000000,0.42352941
4,0.66794360,0.56000000,0.84615385,0.14666667,0.25000000,0.71589434,0.53000000,0.61538462,0.16000000,0.25396825
5,0.65876162,0.59000000,0.55212355,0.95333333,0.69926650,0.72534680,0.50000000,0.50000000,0.88000000,0.63768116
6,0.64690089,0.65666667,0.61244019,0.85333333,0.71309192,0.71644473,0.45000000,0.46478873,0.66000000,0.54545455
7,0.63838673,0.67666667,0.67785235,0.67333333,0.67558528,0.71817476,0.46000000,0.45833333,0.44000000,0.44897959
8,0.66392428,0.54666667,0.79166667,0.12666667,0.21839080,0.73845375,0.52000000,0.57142857,0.16000000,0.25000000
9,0.63978189,0.61333333,0.85416667,0.27333333,0.41414141,0.72379380,0.53000000,0.57894737,0.22000000,0.31884058
10,0.62170959,0.69000000,0.76635514,0.54666667,0.63813230,0.71966034,0.48000000,0.47222222,0.34000000,0.39534884
11,0.61712736,0.72666667,0.77868852,0.63333333,0.69852941,0.71386504,0.50000000,0.50000000,0.42000000,0.45652174
12,0.60334027,0.75000000,0.75167785,0.74666667,0.74916388,0.72094810,0.46000000,0.46428571,0.52000000,0.49056604
13,0.59738958,0.75000000,0.70270270,0.86666667,0.77611940,0.72620314,0.48000000,0.48387097,0.60000000,0.53571429
14,0.59107929,0.73666667,0.74149660,0.72666667,0.73400673,0.72073615,0.52000000,0.52083333,0.50000000,0.51020408
15,0.61679554,0.62333333,0.91111111,0.27333333,0.42051282,0.73962510,0.54000000,0.61111111,0.22000000,0.32352941
16,0.75178474,0.51000000,1.00000000,0.02000000,0.03921569,0.87473398,0.54000000,1.00000000,0.08000000,0.14814815
17,0.60219938,0.66000000,0.91379310,0.35333333,0.50961538,0.74704111,0.54000000,0.61111111,0.22000000,0.32352941
18,0.56620491,0.75333333,0.68811881,0.92666667,0.78977273,0.75184089,0.51000000,0.50746269,0.68000000,0.58119658
19,0.65601933,0.54666667,1.00000000,0.09333333,0.17073171,0.79337043,0.55000000,0.85714286,0.12000000,0.21052632
20,0.54889417,0.78666667,0.82089552,0.73333333,0.77464789,0.73120773,0.57000000,0.58139535,0.50000000,0.53763441
21,0.56270409,0.71333333,0.64414414,0.95333333,0.76881720,0.76756257,0.55000000,0.53246753,0.82000000,0.64566929
22,0.56355572,0.71666667,0.90123457,0.48666667,0.63203463,0.77187651,0.47000000,0.43478261,0.20000000,0.27397260
23,0.57032317,0.69000000,0.62895928,0.92666667,0.74932615,0.78444654,0.51000000,0.50649351,0.78000000,0.61417323
24,0.52917629,0.77333333,0.70297030,0.94666667,0.80681818,0.75181288,0.53000000,0.52173913,0.72000000,0.60504202
25,0.52802843,0.78333333,0.92079208,0.62000000,0.74103586,0.75736344,0.56000000,0.60000000,0.36000000,0.45000000
26,0.51343077,0.79666667,0.94059406,0.63333333,0.75697211,0.76499689,0.52000000,0.53846154,0.28000000,0.36842105
27,0.49642253,0.79000000,0.73015873,0.92000000,0.81415929,0.80141586,0.47000000,0.47692308,0.62000000,0.53913043
28,0.49769557,0.84000000,0.84931507,0.82666667,0.83783784,0.74984008,0.48000000,0.48076923,0.50000000,0.49019608
29,0.47271806,0.84666667,0.89393939,0.78666667,0.83687943,0.77298838,0.49000000,0.48837209,0.42000000,0.45161290
30,0.47394553,0.84333333,0.95575221,0.72000000,0.82129278,0.77029043,0.55000000,0.58620690,0.34000000,0.43037975
31,0.47904781,0.79666667,0.72820513,0.94666667,0.82318841,0.78698236,0.53000000,0.52238806,0.70000000,0.59829060
32,0.46980795,0.80666667,0.74468085,0.93333333,0.82840237,0.78846145,0.53000000,0.52307692,0.68000000,0.59130435
33,0.54585987,0.70666667,0.98437500,0.42000000,0.58878505,0.79983902,0.54000000,0.61111111,0.22000000,0.32352941
34,0.46802673,0.79000000,0.93939394,0.62000000,0.74698795,0.83815992,0.50000000,0.50000000,0.22000000,0.30555556
35,0.42443803,0.86333333,0.84276730,0.89333333,0.86731392,0.78265321,0.48000000,0.48275862,0.56000000,0.51851852
36,0.49387130,0.73000000,0.65610860,0.96666667,0.78167116,0.87994432,0.57000000,0.54545455,0.84000000,0.66141732
37,0.76422966,0.58000000,0.54347826,1.00000000,0.70422535,1.04907846,0.52000000,0.51086957,0.94000000,0.66197183
