epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.68682671,0.50666667,0.50423729,0.79333333,0.61658031,0.69720328,0.54000000,0.52631579,0.80000000,0.63492063
2,0.67641234,0.60666667,0.70000000,0.37333333,0.48695652,0.69784975,0.47000000,0.44827586,0.26000000,0.32911392
3,0.66886568,0.56000000,0.54838710,0.68000000,0.60714286,0.69521487,0.51000000,0.50769231,0.66000000,0.57391304
4,0.67176014,0.58666667,0.80952381,0.22666667,0.35416667,0.70185441,0.52000000,0.56250000,0.18000000,0.27272727
5,0.65980774,0.62666667,0.66666667,0.50666667,0.57575758,0.69734037,0.51000000,0.51282051,0.40000000,0.44943820
6,0.66541159,0.57333333,0.54263566,0.93333333,0.68627451,0.70991027,0.50000000,0.50000000,0.86000000,0.63235294
7,0.65812367,0.59333333,0.81818182,0.24000000,0.37113402,0.70455462,0.49000000,0.47826087,0.22000000,0.30136986
8,0.64516503,0.63333333,0.59900990,0.80666667,0.68750000,0.70128983,0.49000000,0.49315068,0.72000000,0.58536585
9,0.63798642,0.68000000,0.71428571,0.60000000,0.65217391,0.70020294,0.54000000,0.54000000,0.54000000,0.54000000
10,0.63703614,0.65666667,0.74736842,0.47333333,0.57959184,0.70329058,0.51000000,0.51515152,0.34000000,0.40963855
11,0.62745613,0.69000000,0.70212766,0.66000000,0.68041237,0.70087469,0.56000000,0.55555556,0.60000000,0.57692308
12,0.62699556,0.64666667,0.60000000,0.88000000,0.71351351,0.70771378,0.51000000,0.50632911,0.80000000,0.62015504
13,0.70547861,0.53666667,0.51903114,1.00000000,0.68337130,0.79255998,0.45000000,0.47368421,0.90000000,0.62068966
14,0.67748106,0.53666667,1.00000000,0.07333333,0.13664596,0.75346136,0.55000000,0.85714286,0.12000000,0.21052632
15,0.64697146,0.57333333,0.92307692,0.16000000,0.27272727,0.73467195,0.54000000,0.64285714,0.18000000,0.28125000
16,0.60379767,0.67333333,0.63131313,0.83333333,0.71839080,0.71166718,0.51000000,0.50724638,0.70000000,0.58823529
17,0.66525757,0.52333333,1.00000000,0.04666667,0.08917197,0.75737292,0.55000000,1.00000000,0.10000000,0.18181818
18,0.59232634,0.74000000,0.75000000,0.72000000,0.73469388,0.70969373,0.53000000,0.52941176,0.54000000,0.53465347
19,0.59749895,0.72000000,0.80000000,0.58666667,0.67692308,0.70739394,0.52000000,0.52380952,0.44000000,0.47826087
20,0.59409285,0.69000000,0.63380282,0.90000000,0.74380165,0.71935499,0.53000000,0.51807229,0.86000000,0.64661654
21,0.57590759,0.74000000,0.70000000,0.84000000,0.76363636,0.71339399,0.49000000,0.49206349,0.62000000,0.54867257
