epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.68941122,0.51333333,0.60000000,0.08000000,0.14117647,0.70238799,0.49000000,0.33333333,0.02000000,0.03773585
2,0.68769473,0.50333333,0.53846154,0.04666667,0.08588957,0.70157659,0.47000000,0.00000000,0.00000000,0.00000000
3,0.68051577,0.59000000,0.61946903,0.46666667,0.53231939,0.69493210,0.49000000,0.48648649,0.36000000,0.41379310
4,0.67884099,0.61666667,0.58974359,0.76666667,0.66666667,0.69356906,0.56000000,0.54687500,0.70000000,0.61403509
5,0.67640978,0.61000000,0.62595420,0.54666667,0.58362989,0.69573104,0.45000000,0.43589744,0.34000000,0.38202247
6,0.67390180,0.64000000,0.63461538,0.66000000,0.64705882,0.69413269,0.50000000,0.50000000,0.48000000,0.48979592
7,0.67347437,0.61666667,0.76119403,0.34000000,0.47004608,0.69838268,0.45000000,0.38095238,0.16000000,0.22535211
8,0.67184144,0.63000000,0.59241706,0.83333333,0.69252078,0.69301784,0.58000000,0.56060606,0.74000000,0.63793103
9,0.66936964,0.64333333,0.60487805,0.82666667,0.69859155,0.69437104,0.61000000,0.58461538,0.76000000,0.66086957
10,0.66762620,0.64000000,0.60096154,0.83333333,0.69832402,0.69509459,0.59000000,0.56923077,0.74000000,0.64347826
11,0.66507006,0.65333333,0.75555556,0.45333333,0.56666667,0.69631803,0.46000000,0.43333333,0.26000000,0.32500000
12,0.66155833,0.66333333,0.65806452,0.68000000,0.66885246,0.69414532,0.53000000,0.53191489,0.50000000,0.51546392
13,0.66527885,0.59000000,0.80000000,0.24000000,0.36923077,0.70023143,0.44000000,0.28571429,0.08000000,0.12500000
14,0.65834808,0.66666667,0.63297872,0.79333333,0.70414201,0.69462419,0.57000000,0.55555556,0.70000000,0.61946903
15,0.65819126,0.63666667,0.78873239,0.37333333,0.50678733,0.70167911,0.47000000,0.44827586,0.26000000,0.32911392
16,0.65591550,0.65000000,0.60563380,0.86000000,0.71074380,0.69642180,0.58000000,0.55714286,0.78000000,0.65000000
17,0.66511041,0.60666667,0.56201550,0.96666667,0.71078431,0.70206386,0.52000000,0.51219512,0.84000000,0.63636364
18,0.66218632,0.60333333,0.56031128,0.96000000,0.70761671,0.70111054,0.51000000,0.50602410,0.84000000,0.63157895
19,0.64878386,0.64333333,0.75294118,0.42666667,0.54468085,0.69936734,0.51000000,0.51515152,0.34000000,0.40963855
20,0.64792085,0.62333333,0.77611940,0.34666667,0.47926267,0.70371407,0.48000000,0.46153846,0.24000000,0.31578947
21,0.65566385,0.60666667,0.56250000,0.96000000,0.70935961,0.70571929,0.52000000,0.51219512,0.84000000,0.63636364
22,0.63783157,0.71000000,0.68000000,0.79333333,0.73230769,0.70079803,0.51000000,0.50877193,0.58000000,0.54205607
23,0.64268279,0.65666667,0.60085837,0.93333333,0.73107050,0.70539296,0.56000000,0.53846154,0.84000000,0.65625000
24,0.63288832,0.69000000,0.70802920,0.64666667,0.67595819,0.70139146,0.49000000,0.48936170,0.46000000,0.47422680
25,0.63681734,0.66666667,0.60869565,0.93333333,0.73684211,0.70358354,0.56000000,0.53846154,0.84000000,0.65625000
26,0.62726414,0.70000000,0.74590164,0.60666667,0.66911765,0.70711911,0.46000000,0.45238095,0.38000000,0.41304348
27,0.62485534,0.71333333,0.75000000,0.64000000,0.69064748,0.70652515,0.49000000,0.48837209,0.42000000,0.45161290
28,0.61897665,0.73333333,0.70833333,0.79333333,0.74842767,0.70585346,0.51000000,0.50909091,0.56000000,0.53333333
29,0.63689810,0.64000000,0.58536585,0.96000000,0.72727273,0.71232772,0.52000000,0.51219512,0.84000000,0.63636364
30,0.64153528,0.63333333,0.57936508,0.97333333,0.72636816,0.72273999,0.52000000,0.51219512,0.84000000,0.63636364
31,0.61223066,0.73333333,0.79661017,0.62666667,0.70149254,0.71182209,0.47000000,0.46153846,0.36000000,0.40449438
32,0.61071545,0.72333333,0.82524272,0.56666667,0.67193676,0.71318543,0.48000000,0.47222222,0.34000000,0.39534884
33,0.61006969,0.69000000,0.81318681,0.49333333,0.61410788,0.72051454,0.47000000,0.45454545,0.30000000,0.36144578
34,0.60104084,0.74666667,0.78461538,0.68000000,0.72857143,0.71236163,0.47000000,0.46511628,0.40000000,0.43010753
35,0.60671091,0.70666667,0.64485981,0.92000000,0.75824176,0.71371955,0.56000000,0.54166667,0.78000000,0.63934426
36,0.60144061,0.71000000,0.64516129,0.93333333,0.76294278,0.71460217,0.58000000,0.55263158,0.84000000,0.66666667
37,0.59442997,0.71666667,0.65700483,0.90666667,0.76190476,0.71594590,0.58000000,0.55405405,0.82000000,0.66129032
38,0.58348393,0.78333333,0.76073620,0.82666667,0.79233227,0.71500725,0.48000000,0.47916667,0.46000000,0.46938776
39,0.61265683,0.67333333,0.60924370,0.96666667,0.74742268,0.73355651,0.55000000,0.53164557,0.84000000,0.65116279
40,0.61148548,0.62666667,0.88000000,0.29333333,0.44000000,0.74707586,0.51000000,0.53333333,0.16000000,0.24615385
41,0.57662272,0.78000000,0.86842105,0.66000000,0.75000000,0.72065336,0.51000000,0.51428571,0.36000000,0.42352941
42,0.64529461,0.54666667,0.88888889,0.10666667,0.19047619,0.78591794,0.49000000,0.42857143,0.06000000,0.10526316
