epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.69951874,0.50666667,1.00000000,0.01333333,0.02631579,0.71575654,0.47000000,0.00000000,0.00000000,0.00000000
2,0.69313204,0.51000000,0.80000000,0.02666667,0.05161290,0.71832168,0.47000000,0.20000000,0.02000000,0.03636364
3,0.69406903,0.51333333,0.75000000,0.04000000,0.07594937,0.71166015,0.49000000,0.33333333,0.02000000,0.03773585
4,0.67160839,0.63333333,0.64492754,0.59333333,0.61805556,0.70235586,0.49000000,0.49056604,0.52000000,0.50485437
5,0.67331648,0.57666667,0.67692308,0.29333333,0.40930233,0.70615280,0.52000000,0.55000000,0.22000000,0.31428571
6,0.67441261,0.55000000,0.82608696,0.12666667,0.21965318,0.71224433,0.50000000,0.50000000,0.06000000,0.10714286
7,0.65623969,0.69000000,0.64615385,0.84000000,0.73043478,0.70174873,0.49000000,0.49333333,0.74000000,0.59200000
8,0.65208328,0.66000000,0.62903226,0.78000000,0.69642857,0.70910949,0.47000000,0.47826087,0.66000000,0.55462185
9,0.68073499,0.53666667,0.92307692,0.08000000,0.14723926,0.74728090,0.51000000,0.60000000,0.06000000,0.10909091
10,0.63949382,0.65000000,0.59493671,0.94000000,0.72868217,0.71328658,0.52000000,0.51190476,0.86000000,0.64179104
11,0.67357260,0.53666667,1.00000000,0.07333333,0.13664596,0.76720858,0.51000000,1.00000000,0.02000000,0.03921569
12,0.88317096,0.50333333,0.50167224,1.00000000,0.66815145,0.96754301,0.50000000,0.50000000,1.00000000,0.66666667
13,0.61521339,0.66666667,0.60330579,0.97333333,0.74489796,0.72415686,0.50000000,0.50000000,0.82000000,0.62121212
14,0.57863402,0.71000000,0.65365854,0.89333333,0.75492958,0.75421870,0.50000000,0.50000000,0.74000000,0.59677419
15,0.63686651,0.60666667,0.88095238,0.24666667,0.38541667,0.80118942,0.54000000,0.62500000,0.20000000,0.30303030
16,0.59842318,0.67000000,0.81481481,0.44000000,0.57142857,0.78196687,0.53000000,0.55555556,0.30000000,0.38961039
17,0.61618018,0.61666667,0.56704981,0.98666667,0.72019465,0.79054308,0.48000000,0.48863636,0.86000000,0.62318841
18,0.58134246,0.74000000,0.67475728,0.92666667,0.78089888,0.72654730,0.48000000,0.48648649,0.72000000,0.58064516
19,0.60522896,0.60666667,0.90000000,0.24000000,0.37894737,0.80138689,0.58000000,0.75000000,0.24000000,0.36363636
20,0.69021678,0.54000000,0.52083333,1.00000000,0.68493151,0.82228881,0.46000000,0.47916667,0.92000000,0.63013699
21,0.55526000,0.74333333,0.69518717,0.86666667,0.77151335,0.76245397,0.52000000,0.51470588,0.70000000,0.59322034
22,0.51257861,0.76666667,0.71276596,0.89333333,0.79289941,0.80018508,0.50000000,0.50000000,0.68000000,0.57627119
23,0.62450004,0.62666667,0.57364341,0.98666667,0.72549020,0.74753672,0.51000000,0.50574713,0.88000000,0.64233577
24,0.51456505,0.81666667,0.83687943,0.78666667,0.81099656,0.76479882,0.60000000,0.60416667,0.58000000,0.59183673
25,0.49965748,0.78000000,0.76923077,0.80000000,0.78431373,0.78438234,0.58000000,0.56451613,0.70000000,0.62500000
26,0.93721598,0.53000000,0.51546392,1.00000000,0.68027211,1.15417659,0.48000000,0.48979592,0.96000000,0.64864865
27,0.50823545,0.75333333,0.80158730,0.67333333,0.73188406,0.86321944,0.46000000,0.45000000,0.36000000,0.40000000
28,0.51172954,0.73333333,0.83018868,0.58666667,0.68750000,0.80647159,0.51000000,0.51282051,0.40000000,0.44943820
29,0.48886526,0.79333333,0.76190476,0.85333333,0.80503145,0.82442284,0.48000000,0.48387097,0.60000000,0.53571429
30,0.48801014,0.79333333,0.75581395,0.86666667,0.80745342,0.81686556,0.50000000,0.50000000,0.60000000,0.54545455
31,0.48973715,0.72000000,0.95833333,0.46000000,0.62162162,0.93248945,0.50000000,0.50000000,0.24000000,0.32432432
32,0.62197143,0.61666667,0.56653992,0.99333333,0.72154964,0.80530119,0.47000000,0.48314607,0.86000000,0.61870504
33,0.51176161,0.76333333,0.68720379,0.96666667,0.80332410,0.84265518,0.45000000,0.46666667,0.70000000,0.56000000
34,0.44017589,0.83000000,0.81132075,0.86000000,0.83495146,0.82054901,0.50000000,0.50000000,0.60000000,0.54545455
35,0.49902639,0.73000000,0.93670886,0.49333333,0.64628821,0.91579854,0.57000000,0.64000000,0.32000000,0.42666667
36,0.39876720,0.86666667,0.88194444,0.84666667,0.86394558,0.93584710,0.51000000,0.51063830,0.48000000,0.49484536
37,0.45802939,0.77333333,0.68981481,0.99333333,0.81420765,0.99461001,0.46000000,0.47560976,0.78000000,0.59090909
38,0.41592067,0.83000000,0.90243902,0.74000000,0.81318681,0.90040922,0.53000000,0.54054054,0.40000000,0.45977011
39,0.51648754,0.71333333,0.80769231,0.56000000,0.66141732,1.15667629,0.50000000,0.50000000,0.32000000,0.39024390
