epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.69027007,0.51333333,0.50819672,0.82666667,0.62944162,0.68541300,0.53000000,0.51948052,0.80000000,0.62992126
2,0.68528986,0.55333333,0.53636364,0.78666667,0.63783784,0.69386673,0.58000000,0.55263158,0.84000000,0.66666667
3,0.68306619,0.55333333,0.58888889,0.35333333,0.44166667,0.70000231,0.49000000,0.48484848,0.32000000,0.38554217
4,0.68898398,0.54666667,0.52573529,0.95333333,0.67772512,0.69381493,0.52000000,0.51136364,0.90000000,0.65217391
5,0.67876434,0.66666667,0.63020833,0.80666667,0.70760234,0.68641037,0.60000000,0.59259259,0.64000000,0.61538462
6,0.67997468,0.60666667,0.61428571,0.57333333,0.59310345,0.68948531,0.57000000,0.58139535,0.50000000,0.53763441
7,0.68645364,0.53333333,0.51760563,0.98000000,0.67741935,0.70322275,0.48000000,0.48958333,0.94000000,0.64383562
8,0.67932832,0.55333333,0.57843137,0.39333333,0.46825397,0.68722665,0.57000000,0.60000000,0.42000000,0.49411765
9,0.67157692,0.63666667,0.62275449,0.69333333,0.65615142,0.69401574,0.52000000,0.51724138,0.60000000,0.55555556
10,0.75662279,0.50333333,0.50167224,1.00000000,0.66815145,0.78017265,0.50000000,0.50000000,1.00000000,0.66666667
11,0.66932768,0.62000000,0.58571429,0.82000000,0.68333333,0.68611497,0.57000000,0.54666667,0.82000000,0.65600000
12,0.68464655,0.50666667,0.54545455,0.08000000,0.13953488,0.71022177,0.52000000,1.00000000,0.04000000,0.07692308
13,0.69097120,0.49666667,0.00000000,0.00000000,0.00000000,0.72873002,0.50000000,0.00000000,0.00000000,0.00000000
14,0.63583094,0.66666667,0.68382353,0.62000000,0.65034965,0.68304563,0.55000000,0.55555556,0.50000000,0.52631579
15,0.65573543,0.51666667,1.00000000,0.03333333,0.06451613,0.70463973,0.49000000,0.33333333,0.02000000,0.03773585
16,0.66948944,0.54000000,0.83333333,0.10000000,0.17857143,0.75558400,0.51000000,0.57142857,0.08000000,0.14035088
17,0.62085223,0.62333333,0.83636364,0.30666667,0.44878049,0.73790812,0.54000000,0.61111111,0.22000000,0.32352941
18,0.62528503,0.70666667,0.63963964,0.94666667,0.76344086,0.69905823,0.52000000,0.51315789,0.78000000,0.61904762
19,0.63590717,0.62000000,0.56976744,0.98000000,0.72058824,0.73081315,0.49000000,0.49438202,0.88000000,0.63309353
20,0.64911705,0.55000000,0.72727273,0.16000000,0.26229508,0.76817429,0.57000000,1.00000000,0.14000000,0.24561404
21,0.63074547,0.62333333,0.58371041,0.86000000,0.69541779,0.69813460,0.52000000,0.51388889,0.74000000,0.60655738
22,0.65570498,0.57666667,0.54151625,1.00000000,0.70257611,0.73427999,0.50000000,0.50000000,0.94000000,0.65277778
23,0.59176332,0.66333333,0.60698690,0.92666667,0.73350923,0.76534390,0.47000000,0.48101266,0.76000000,0.58914729
24,0.60712069,0.67333333,0.79545455,0.46666667,0.58823529,0.73278898,0.47000000,0.45714286,0.32000000,0.37647059
25,0.58146745,0.71333333,0.65238095,0.91333333,0.76111111,0.73178893,0.50000000,0.50000000,0.74000000,0.59677419
26,0.55491233,0.70000000,0.70270270,0.69333333,0.69798658,0.73418778,0.53000000,0.52542373,0.62000000,0.56880734
27,0.59350884,0.68666667,0.61764706,0.98000000,0.75773196,0.73934740,0.53000000,0.51851852,0.84000000,0.64122137
28,0.59921676,0.65000000,0.76470588,0.43333333,0.55319149,0.78846037,0.48000000,0.46666667,0.28000000,0.35000000
29,0.54336202,0.73000000,0.68062827,0.86666667,0.76246334,0.71855974,0.53000000,0.52459016,0.64000000,0.57657658
30,0.58185422,0.62000000,0.90909091,0.26666667,0.41237113,0.79420137,0.51000000,0.54545455,0.12000000,0.19672131
31,0.54239327,0.72333333,0.65296804,0.95333333,0.77506775,0.74571955,0.52000000,0.51282051,0.80000000,0.62500000
32,0.67845380,0.51333333,0.83333333,0.03333333,0.06410256,0.72539729,0.50000000,0.50000000,0.02000000,0.03846154
33,0.59701425,0.64000000,0.76923077,0.40000000,0.52631579,0.84375215,0.52000000,0.53571429,0.30000000,0.38461538
34,0.61384028,0.64000000,0.58750000,0.94000000,0.72307692,0.76482576,0.55000000,0.53086420,0.86000000,0.65648855
35,0.53019482,0.76000000,0.76712329,0.74666667,0.75675676,0.77991289,0.49000000,0.48717949,0.38000000,0.42696629
36,0.48925039,0.80000000,0.77439024,0.84666667,0.80891720,0.79323286,0.47000000,0.47457627,0.56000000,0.51376147
37,0.59354746,0.64666667,0.90740741,0.32666667,0.48039216,0.77421170,0.50000000,0.50000000,0.12000000,0.19354839
38,0.49028289,0.79000000,0.72538860,0.93333333,0.81632653,0.78347474,0.55000000,0.53731343,0.72000000,0.61538462
39,0.45155624,0.79000000,0.72538860,0.93333333,0.81632653,0.89867347,0.51000000,0.50704225,0.72000000,0.59504132
40,0.57602459,0.65333333,0.94230769,0.32666667,0.48514851,0.94628632,0.47000000,0.41176471,0.14000000,0.20895522
