epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.71273887,0.50333333,0.50167224,1.00000000,0.66815145,0.71405596,0.51000000,0.50505051,1.00000000,0.67114094
2,0.68098468,0.58333333,0.57485030,0.64000000,0.60567823,0.69795334,0.47000000,0.47540984,0.58000000,0.52252252
3,0.68423611,0.51333333,0.56666667,0.11333333,0.18888889,0.69887894,0.51000000,0.55555556,0.10000000,0.16949153
4,0.68641543,0.51000000,0.56521739,0.08666667,0.15028902,0.70680147,0.52000000,0.66666667,0.08000000,0.14285714
5,0.66822177,0.59333333,0.70588235,0.32000000,0.44036697,0.70038205,0.52000000,0.53571429,0.30000000,0.38461538
6,0.65543705,0.63000000,0.67567568,0.50000000,0.57471264,0.71594185,0.48000000,0.47619048,0.40000000,0.43478261
7,0.64996064,0.67666667,0.68027211,0.66666667,0.67340067,0.70211196,0.50000000,0.50000000,0.56000000,0.52830189
8,0.65631402,0.64333333,0.69369369,0.51333333,0.59003831,0.69906801,0.52000000,0.52380952,0.44000000,0.47826087
9,0.65749967,0.64333333,0.59148936,0.92666667,0.72207792,0.71204430,0.45000000,0.46913580,0.76000000,0.58015267
10,0.65934527,0.61666667,0.81818182,0.30000000,0.43902439,0.70284289,0.52000000,0.55000000,0.22000000,0.31428571
11,0.66232491,0.58333333,0.54612546,0.98666667,0.70308789,0.72753280,0.49000000,0.49473684,0.94000000,0.64827586
12,0.64302486,0.57000000,0.67796610,0.26666667,0.38277512,0.73438323,0.53000000,0.55172414,0.32000000,0.40506329
13,0.65383822,0.66666667,0.71186441,0.56000000,0.62686567,0.70346987,0.45000000,0.44444444,0.40000000,0.42105263
14,0.66783732,0.62666667,0.57983193,0.92000000,0.71134021,0.70465225,0.50000000,0.50000000,0.86000000,0.63235294
15,0.63654888,0.65000000,0.65957447,0.62000000,0.63917526,0.69521284,0.56000000,0.56818182,0.50000000,0.53191489
16,0.82898635,0.51666667,0.66666667,0.06666667,0.12121212,0.97858655,0.49000000,0.40000000,0.04000000,0.07272727
17,0.61409670,0.62000000,0.71951220,0.39333333,0.50862069,0.75949842,0.48000000,0.47058824,0.32000000,0.38095238
18,0.59125733,0.69333333,0.63809524,0.89333333,0.74444444,0.76100141,0.48000000,0.48571429,0.68000000,0.56666667
19,0.81642163,0.51666667,1.00000000,0.03333333,0.06451613,0.91265792,0.51000000,1.00000000,0.02000000,0.03921569
20,0.59214139,0.69333333,0.62946429,0.94000000,0.75401070,0.73199826,0.53000000,0.52112676,0.74000000,0.61157025
21,0.59483653,0.67333333,0.61016949,0.96000000,0.74611399,0.78858435,0.53000000,0.51948052,0.80000000,0.62992126
22,0.60780936,0.73000000,0.67512690,0.88666667,0.76657061,0.70623177,0.56000000,0.54411765,0.74000000,0.62711864
23,0.58325016,0.70666667,0.63716814,0.96000000,0.76595745,0.76510537,0.51000000,0.50649351,0.78000000,0.61417323
24,0.56844109,0.70666667,0.82291667,0.52666667,0.64227642,0.73742151,0.59000000,0.62857143,0.44000000,0.51764706
25,0.60810798,0.58000000,0.87500000,0.18666667,0.30769231,0.84132707,0.54000000,0.70000000,0.14000000,0.23333333
26,0.62114978,0.68000000,0.65000000,0.78000000,0.70909091,0.72321188,0.49000000,0.49152542,0.58000000,0.53211009
27,0.55244100,0.75666667,0.68780488,0.94000000,0.79436620,0.76707631,0.55000000,0.53521127,0.76000000,0.62809917
28,0.54087204,0.68333333,0.81609195,0.47333333,0.59915612,0.86074501,0.55000000,0.58064516,0.36000000,0.44444444
29,0.51655650,0.77666667,0.71065990,0.93333333,0.80691643,0.77754349,0.57000000,0.55384615,0.72000000,0.62608696
30,0.77308649,0.54333333,0.52264808,1.00000000,0.68649886,0.95263565,0.47000000,0.48453608,0.94000000,0.63945578
31,0.54150105,0.71666667,0.64444444,0.96666667,0.77333333,0.78658873,0.52000000,0.51282051,0.80000000,0.62500000
32,0.85608113,0.55333333,0.52816901,1.00000000,0.69124424,1.09638500,0.51000000,0.50526316,0.96000000,0.66206897
33,0.49564007,0.76000000,0.82500000,0.66000000,0.73333333,0.88624209,0.58000000,0.60526316,0.46000000,0.52272727
34,0.47532424,0.80333333,0.84210526,0.74666667,0.79151943,0.86603165,0.49000000,0.48484848,0.32000000,0.38554217
35,0.42721710,0.81333333,0.78658537,0.86000000,0.82165605,0.88800603,0.59000000,0.58181818,0.64000000,0.60952381
36,0.58311921,0.67333333,0.63541667,0.81333333,0.71345029,0.84153396,0.50000000,0.50000000,0.62000000,0.55357143
37,0.62358367,0.59666667,0.71641791,0.32000000,0.44239631,0.95108658,0.50000000,0.50000000,0.20000000,0.28571429
38,0.46755534,0.83333333,0.86231884,0.79333333,0.82638889,0.78045774,0.56000000,0.57500000,0.46000000,0.51111111
39,0.57775897,0.67000000,0.65088757,0.73333333,0.68965517,0.74688947,0.46000000,0.46551724,0.54000000,0.50000000
