epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.69413292,0.50333333,0.50168350,0.99333333,0.66666667,0.70480436,0.48000000,0.48979592,0.96000000,0.64864865
2,0.71416295,0.50000000,0.50000000,1.00000000,0.66666667,0.72668242,0.50000000,0.50000000,1.00000000,0.66666667
3,0.68654746,0.54000000,0.52142857,0.97333333,0.67906977,0.70213187,0.48000000,0.48936170,0.92000000,0.63888889
4,0.68209994,0.55333333,0.52836879,0.99333333,0.68981481,0.70655620,0.49000000,0.49473684,0.94000000,0.64827586
5,0.67502552,0.61000000,0.56470588,0.96000000,0.71111111,0.69938904,0.49000000,0.49473684,0.94000000,0.64827586
6,0.67755336,0.54333333,0.57471264,0.33333333,0.42194093,0.70640731,0.44000000,0.41176471,0.28000000,0.33333333
7,0.67950189,0.61333333,0.56967213,0.92666667,0.70558376,0.69544536,0.51000000,0.50649351,0.78000000,0.61417323
8,0.66303664,0.66000000,0.65000000,0.69333333,0.67096774,0.69721538,0.48000000,0.48148148,0.52000000,0.50000000
9,0.67089307,0.57333333,0.53985507,0.99333333,0.69953052,0.72167450,0.46000000,0.47826087,0.88000000,0.61971831
10,0.66222906,0.55333333,1.00000000,0.10666667,0.19277108,0.73204488,0.52000000,0.75000000,0.06000000,0.11111111
11,0.62886769,0.71000000,0.76033058,0.61333333,0.67896679,0.71075028,0.58000000,0.58695652,0.54000000,0.56250000
12,0.62580693,0.74000000,0.76086957,0.70000000,0.72916667,0.71540070,0.58000000,0.58333333,0.56000000,0.57142857
13,0.63862348,0.63666667,0.58367347,0.95333333,0.72405063,0.73473144,0.50000000,0.50000000,0.84000000,0.62686567
14,0.60065514,0.71666667,0.71523179,0.72000000,0.71760797,0.72561949,0.54000000,0.53703704,0.58000000,0.55769231
15,0.63798469,0.57333333,0.89285714,0.16666667,0.28089888,0.76227665,0.57000000,0.88888889,0.16000000,0.27118644
16,0.79021204,0.50000000,0.00000000,0.00000000,0.00000000,0.90053481,0.50000000,0.00000000,0.00000000,0.00000000
17,0.60646349,0.69333333,0.63809524,0.89333333,0.74444444,0.72348022,0.57000000,0.54794521,0.80000000,0.65040650
18,0.62504292,0.65666667,0.59591837,0.97333333,0.73924051,0.75382030,0.49000000,0.49425287,0.86000000,0.62773723
19,0.56873697,0.76000000,0.73780488,0.80666667,0.77070064,0.74634480,0.58000000,0.57692308,0.60000000,0.58823529
20,0.59535700,0.71333333,0.65686275,0.89333333,0.75706215,0.72883862,0.51000000,0.50724638,0.70000000,0.58823529
21,0.59801543,0.70000000,0.63043478,0.96666667,0.76315789,0.74724150,0.47000000,0.48235294,0.82000000,0.60740741
22,0.56560314,0.70333333,0.64055300,0.92666667,0.75749319,0.81142682,0.49000000,0.49333333,0.74000000,0.59200000
23,0.56401241,0.66333333,0.92982456,0.35333333,0.51207729,0.85330796,0.56000000,0.68750000,0.22000000,0.33333333
24,0.53866732,0.78000000,0.80882353,0.73333333,0.76923077,0.76041889,0.51000000,0.51282051,0.40000000,0.44943820
25,0.53664678,0.75666667,0.76190476,0.74666667,0.75420875,0.79226005,0.50000000,0.50000000,0.52000000,0.50980392
26,0.54433048,0.71666667,0.76859504,0.62000000,0.68634686,0.79483771,0.51000000,0.51351351,0.38000000,0.43678161
27,0.50048268,0.79000000,0.79591837,0.78000000,0.78787879,0.82422501,0.54000000,0.54545455,0.48000000,0.51063830
28,0.61646318,0.63666667,0.81538462,0.35333333,0.49302326,0.92571861,0.53000000,0.56521739,0.26000000,0.35616438
29,0.51351219,0.76000000,0.67567568,1.00000000,0.80645161,0.82902920,0.52000000,0.51250000,0.82000000,0.63076923
30,0.75767338,0.59333333,0.88888889,0.21333333,0.34408602,1.04355896,0.54000000,0.64285714,0.18000000,0.28125000
