epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.69563603,0.47333333,0.46774194,0.38666667,0.42335766,0.68602175,0.50000000,0.50000000,0.38000000,0.43181818
2,0.69235730,0.49333333,0.49642857,0.92666667,0.64651163,0.68581337,0.56000000,0.53571429,0.90000000,0.67164179
3,0.68451774,0.57666667,0.58518519,0.52666667,0.55438596,0.68136430,0.54000000,0.54545455,0.48000000,0.51063830
4,0.68100512,0.57000000,0.54666667,0.82000000,0.65600000,0.68125308,0.59000000,0.56521739,0.78000000,0.65546218
5,0.67912048,0.54666667,0.52671756,0.92000000,0.66990291,0.68277633,0.57000000,0.54320988,0.88000000,0.67175573
6,0.67757142,0.54666667,0.81818182,0.12000000,0.20930233,0.68778044,0.51000000,0.54545455,0.12000000,0.19672131
7,0.67154402,0.57000000,0.80000000,0.18666667,0.30270270,0.68563581,0.54000000,0.64285714,0.18000000,0.28125000
8,0.66359901,0.63000000,0.59069767,0.84666667,0.69589041,0.67842424,0.59000000,0.57142857,0.72000000,0.63716814
9,0.67703146,0.53333333,0.51748252,0.98666667,0.67889908,0.68925130,0.53000000,0.51612903,0.96000000,0.67132867
10,0.65390432,0.67000000,0.72972973,0.54000000,0.62068966,0.67727792,0.55000000,0.57575758,0.38000000,0.45783133
11,0.67604542,0.52666667,0.90000000,0.06000000,0.11250000,0.70388442,0.52000000,1.00000000,0.04000000,0.07692308
12,0.65650713,0.57000000,0.81818182,0.18000000,0.29508197,0.68656939,0.56000000,0.75000000,0.18000000,0.29032258
13,0.65460825,0.56666667,0.95454545,0.14000000,0.24418605,0.69018418,0.52000000,0.62500000,0.10000000,0.17241379
14,0.64371109,0.61000000,0.78947368,0.30000000,0.43478261,0.68054098,0.51000000,0.52941176,0.18000000,0.26865672
15,0.63466138,0.70666667,0.66489362,0.83333333,0.73964497,0.67247027,0.60000000,0.58333333,0.70000000,0.63636364
16,0.62951547,0.70000000,0.73437500,0.62666667,0.67625899,0.67797071,0.55000000,0.55813953,0.48000000,0.51612903
17,0.63956594,0.63333333,0.58000000,0.96666667,0.72500000,0.68463320,0.60000000,0.55952381,0.94000000,0.70149254
18,0.62001777,0.71333333,0.69047619,0.77333333,0.72955975,0.67895979,0.54000000,0.54000000,0.54000000,0.54000000
19,0.62820768,0.64333333,0.58847737,0.95333333,0.72773537,0.68360925,0.61000000,0.57534247,0.84000000,0.68292683
20,0.61137998,0.71666667,0.76859504,0.62000000,0.68634686,0.67885542,0.50000000,0.50000000,0.42000000,0.45652174
21,0.61878872,0.66000000,0.60084034,0.95333333,0.73711340,0.68504369,0.59000000,0.56164384,0.82000000,0.66666667
22,0.60001457,0.75333333,0.78358209,0.70000000,0.73943662,0.68140227,0.55000000,0.55319149,0.52000000,0.53608247
23,0.71568906,0.51666667,0.50847458,1.00000000,0.67415730,0.76360565,0.51000000,0.50505051,1.00000000,0.67114094
24,0.60028511,0.73000000,0.66829268,0.91333333,0.77183099,0.68373889,0.57000000,0.55384615,0.72000000,0.62608696
25,0.68421829,0.53000000,0.90909091,0.06666667,0.12422360,0.76647687,0.51000000,0.66666667,0.04000000,0.07547170
26,0.60510319,0.65666667,0.89830508,0.35333333,0.50717703,0.69940871,0.55000000,0.66666667,0.20000000,0.30769231
27,0.61161357,0.63333333,0.93478261,0.28666667,0.43877551,0.71554983,0.54000000,0.64285714,0.18000000,0.28125000
28,0.58059287,0.73666667,0.67149758,0.92666667,0.77871148,0.69547987,0.59000000,0.56716418,0.76000000,0.64957265
29,0.57226592,0.75666667,0.69154229,0.92666667,0.79202279,0.69516981,0.56000000,0.54411765,0.74000000,0.62711864
30,0.56683981,0.75666667,0.69743590,0.90666667,0.78840580,0.68883586,0.56000000,0.54687500,0.70000000,0.61403509
31,0.64163452,0.56666667,0.95454545,0.14000000,0.24418605,0.76348495,0.51000000,0.60000000,0.06000000,0.10909091
32,0.56479335,0.73333333,0.66203704,0.95333333,0.78142077,0.70432127,0.58000000,0.55714286,0.78000000,0.65000000
33,0.56619418,0.71000000,0.97014925,0.43333333,0.59907834,0.71589476,0.55000000,0.64705882,0.22000000,0.32835821
34,0.55464685,0.77000000,0.69565217,0.96000000,0.80672269,0.69779772,0.55000000,0.53731343,0.72000000,0.61538462
35,0.53116649,0.80333333,0.78980892,0.82666667,0.80781759,0.69898057,0.52000000,0.51851852,0.56000000,0.53846154
36,0.53969878,0.76333333,0.87619048,0.61333333,0.72156863,0.70845664,0.52000000,0.53333333,0.32000000,0.40000000
37,0.63105828,0.57666667,1.00000000,0.15333333,0.26589595,0.80120558,0.53000000,0.71428571,0.10000000,0.17543860
