epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.69633996,0.49000000,0.49006623,0.49333333,0.49169435,0.69672310,0.47000000,0.47058824,0.48000000,0.47524752
2,0.69272310,0.52333333,0.52592593,0.47333333,0.49824561,0.69679129,0.47000000,0.46666667,0.42000000,0.44210526
3,0.69004923,0.51000000,0.50753769,0.67333333,0.57879656,0.69711345,0.50000000,0.50000000,0.66000000,0.56896552
4,0.68779802,0.51666667,0.51243781,0.68666667,0.58689459,0.69730622,0.49000000,0.49275362,0.68000000,0.57142857
5,0.68565917,0.59000000,0.58709677,0.60666667,0.59672131,0.69715810,0.46000000,0.46153846,0.48000000,0.47058824
6,0.68592107,0.54666667,0.61290323,0.25333333,0.35849057,0.69742948,0.48000000,0.46153846,0.24000000,0.31578947
7,0.68219125,0.60333333,0.63478261,0.48666667,0.55094340,0.69571984,0.49000000,0.48837209,0.42000000,0.45161290
8,0.68212229,0.55666667,0.64406780,0.25333333,0.36363636,0.69820189,0.46000000,0.42857143,0.24000000,0.30769231
9,0.68039459,0.59666667,0.55967078,0.90666667,0.69211196,0.69771099,0.47000000,0.48275862,0.84000000,0.61313869
10,0.67728257,0.63000000,0.68571429,0.48000000,0.56470588,0.69614828,0.48000000,0.47500000,0.38000000,0.42222222
11,0.67591339,0.62000000,0.68367347,0.44666667,0.54032258,0.69587493,0.49000000,0.48717949,0.38000000,0.42696629
12,0.67975515,0.54666667,0.52517986,0.97333333,0.68224299,0.70104295,0.50000000,0.50000000,0.96000000,0.65753425
13,0.67408425,0.62666667,0.58260870,0.89333333,0.70526316,0.69700956,0.50000000,0.50000000,0.84000000,0.62686567
14,0.67143023,0.62666667,0.65573770,0.53333333,0.58823529,0.69438487,0.48000000,0.47727273,0.42000000,0.44680851
15,0.66990924,0.62666667,0.67592593,0.48666667,0.56589147,0.69365424,0.48000000,0.47619048,0.40000000,0.43478261
16,0.67121571,0.58000000,0.69354839,0.28666667,0.40566038,0.69473571,0.53000000,0.55555556,0.30000000,0.38961039
17,0.66593075,0.65000000,0.61780105,0.78666667,0.69208211,0.69352096,0.54000000,0.52941176,0.72000000,0.61016949
18,0.66404611,0.68333333,0.67080745,0.72000000,0.69453376,0.69285780,0.53000000,0.52727273,0.58000000,0.55238095
19,0.66660756,0.61000000,0.56680162,0.93333333,0.70528967,0.69891292,0.49000000,0.49450549,0.90000000,0.63829787
20,0.66123444,0.67666667,0.71900826,0.58000000,0.64206642,0.69311202,0.48000000,0.47619048,0.40000000,0.43478261
21,0.66566151,0.57000000,0.73333333,0.22000000,0.33846154,0.69637245,0.51000000,0.52380952,0.22000000,0.30985915
22,0.65740407,0.69000000,0.71111111,0.64000000,0.67368421,0.69427633,0.49000000,0.48888889,0.44000000,0.46315789
23,0.65697777,0.66000000,0.61009174,0.88666667,0.72282609,0.69637996,0.49000000,0.49367089,0.78000000,0.60465116
24,0.65263855,0.70666667,0.68452381,0.76666667,0.72327044,0.69482976,0.56000000,0.55172414,0.64000000,0.59259259
25,0.66124278,0.59333333,0.55343511,0.96666667,0.70388350,0.70531356,0.51000000,0.50537634,0.94000000,0.65734266
26,0.64898360,0.70000000,0.66129032,0.82000000,0.73214286,0.69453388,0.54000000,0.52941176,0.72000000,0.61016949
27,0.64759350,0.68333333,0.63546798,0.86000000,0.73087819,0.69611454,0.55000000,0.53424658,0.78000000,0.63414634
28,0.64600241,0.69000000,0.64921466,0.82666667,0.72727273,0.69698638,0.53000000,0.52173913,0.72000000,0.60504202
29,0.64248633,0.71000000,0.65989848,0.86666667,0.74927954,0.69504523,0.55000000,0.53623188,0.74000000,0.62184874
30,0.63986754,0.71666667,0.69461078,0.77333333,0.73186120,0.69290483,0.55000000,0.54385965,0.62000000,0.57943925
31,0.64145255,0.65666667,0.72815534,0.50000000,0.59288538,0.69460064,0.50000000,0.50000000,0.34000000,0.40476190
32,0.63446891,0.71333333,0.67391304,0.82666667,0.74251497,0.69475859,0.56000000,0.54687500,0.70000000,0.61403509
33,0.63183218,0.73000000,0.71428571,0.76666667,0.73954984,0.69508117,0.56000000,0.55555556,0.60000000,0.57692308
34,0.63799453,0.65000000,0.59493671,0.94000000,0.72868217,0.70392531,0.51000000,0.50588235,0.86000000,0.63703704
35,0.63377815,0.65000000,0.59574468,0.93333333,0.72727273,0.70334530,0.52000000,0.51162791,0.88000000,0.64705882
36,0.62337315,0.73333333,0.69662921,0.82666667,0.75609756,0.69590604,0.57000000,0.55932203,0.66000000,0.60550459
37,0.64064360,0.61000000,0.81132075,0.28666667,0.42364532,0.70061415,0.52000000,0.55000000,0.22000000,0.31428571
38,0.61850047,0.74000000,0.75352113,0.71333333,0.73287671,0.69541395,0.53000000,0.53191489,0.50000000,0.51546392
39,0.61333734,0.72666667,0.70731707,0.77333333,0.73885350,0.69648063,0.55000000,0.54716981,0.58000000,0.56310680
40,0.61048824,0.73000000,0.67692308,0.88000000,0.76521739,0.70038247,0.57000000,0.55384615,0.72000000,0.62608696
41,0.60822082,0.75333333,0.77142857,0.72000000,0.74482759,0.69806886,0.53000000,0.53488372,0.46000000,0.49462366
42,0.61423415,0.68000000,0.61842105,0.94000000,0.74603175,0.71587515,0.51000000,0.50617284,0.82000000,0.62595420
43,0.60663337,0.70666667,0.64351852,0.92666667,0.75956284,0.70918697,0.53000000,0.51898734,0.82000000,0.63565891
44,0.59558308,0.75333333,0.70652174,0.86666667,0.77844311,0.70209134,0.52000000,0.51666667,0.62000000,0.56363636
