epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.68710709,0.54000000,0.56976744,0.32666667,0.41525424,0.69389403,0.50000000,0.50000000,0.30000000,0.37500000
2,0.68224156,0.60333333,0.63963964,0.47333333,0.54406130,0.69222915,0.48000000,0.47058824,0.32000000,0.38095238
3,0.67781293,0.61666667,0.58064516,0.84000000,0.68664850,0.69093901,0.54000000,0.52941176,0.72000000,0.61016949
4,0.67580599,0.63000000,0.63829787,0.60000000,0.61855670,0.69148237,0.54000000,0.54761905,0.46000000,0.50000000
5,0.66826421,0.65000000,0.64900662,0.65333333,0.65116279,0.69236410,0.51000000,0.50980392,0.52000000,0.51485149
6,0.66554415,0.62666667,0.66101695,0.52000000,0.58208955,0.69531906,0.52000000,0.52500000,0.42000000,0.46666667
7,0.66145307,0.69000000,0.69930070,0.66666667,0.68259386,0.69173169,0.52000000,0.52173913,0.48000000,0.50000000
8,0.66937339,0.53666667,0.64102564,0.16666667,0.26455026,0.70838666,0.50000000,0.50000000,0.08000000,0.13793103
9,0.65480179,0.68000000,0.61637931,0.95333333,0.74869110,0.69560766,0.51000000,0.50617284,0.82000000,0.62595420
10,0.64722991,0.66333333,0.76923077,0.46666667,0.58091286,0.69812995,0.52000000,0.53333333,0.32000000,0.40000000
11,0.64196235,0.66333333,0.72477064,0.52666667,0.61003861,0.70018417,0.53000000,0.54838710,0.34000000,0.41975309
12,0.64648652,0.63333333,0.58064516,0.96000000,0.72361809,0.70367628,0.51000000,0.50561798,0.90000000,0.64748201
13,0.63524795,0.66000000,0.61320755,0.86666667,0.71823204,0.70230407,0.47000000,0.47945205,0.70000000,0.56910569
14,0.62164694,0.72333333,0.68926554,0.81333333,0.74617737,0.69523174,0.54000000,0.53225806,0.66000000,0.58928571
15,0.61972106,0.71000000,0.76470588,0.60666667,0.67657993,0.69841498,0.55000000,0.56410256,0.44000000,0.49438202
16,0.63472742,0.58666667,0.73214286,0.27333333,0.39805825,0.71123487,0.56000000,0.65000000,0.26000000,0.37142857
17,0.60664195,0.71666667,0.65853659,0.90000000,0.76056338,0.70213974,0.52000000,0.51515152,0.68000000,0.58620690
18,0.60439628,0.72333333,0.81904762,0.57333333,0.67450980,0.69935304,0.54000000,0.55882353,0.38000000,0.45238095
19,0.60248905,0.71666667,0.64573991,0.96000000,0.77211796,0.71223235,0.55000000,0.53164557,0.84000000,0.65116279
20,0.59806073,0.72333333,0.81904762,0.57333333,0.67450980,0.70095837,0.51000000,0.51282051,0.40000000,0.44943820
21,0.62263238,0.57000000,0.81818182,0.18000000,0.29508197,0.72270566,0.57000000,0.70588235,0.24000000,0.35820896
22,0.57227445,0.76333333,0.84347826,0.64666667,0.73207547,0.70986068,0.52000000,0.52631579,0.40000000,0.45454545
23,0.57128865,0.71666667,0.65116279,0.93333333,0.76712329,0.72460347,0.53000000,0.52112676,0.74000000,0.61157025
24,0.56927621,0.74666667,0.67289720,0.96000000,0.79120879,0.71475804,0.53000000,0.52054795,0.76000000,0.61788618
25,0.60911715,0.64333333,0.58498024,0.98666667,0.73449132,0.76230145,0.54000000,0.52272727,0.92000000,0.66666667
26,0.53713298,0.80000000,0.79605263,0.80666667,0.80132450,0.71016461,0.51000000,0.50980392,0.52000000,0.51485149
27,0.53621823,0.77666667,0.75151515,0.82666667,0.78730159,0.72764754,0.57000000,0.55932203,0.66000000,0.60550459
28,0.52993685,0.79000000,0.87826087,0.67333333,0.76226415,0.72901124,0.52000000,0.52777778,0.38000000,0.44186047
29,0.52499068,0.78666667,0.73369565,0.90000000,0.80838323,0.71653098,0.51000000,0.50847458,0.60000000,0.55045872
30,0.51558053,0.80000000,0.76785714,0.86000000,0.81132075,0.71244442,0.56000000,0.55172414,0.64000000,0.59259259
31,0.55743200,0.66666667,0.91666667,0.36666667,0.52380952,0.75688881,0.58000000,0.70000000,0.28000000,0.40000000
