epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.70059001,0.53000000,0.51660517,0.93333333,0.66508314,0.72752959,0.47000000,0.48387097,0.90000000,0.62937063
2,0.68200803,0.55666667,0.55782313,0.54666667,0.55218855,0.71254396,0.39000000,0.40350877,0.46000000,0.42990654
3,0.68118399,0.56666667,0.53937008,0.91333333,0.67821782,0.72241712,0.49000000,0.49425287,0.86000000,0.62773723
4,0.67096609,0.61333333,0.59340659,0.72000000,0.65060241,0.71574020,0.42000000,0.43750000,0.56000000,0.49122807
5,0.67154920,0.59000000,0.55510204,0.90666667,0.68860759,0.72255272,0.46000000,0.47619048,0.80000000,0.59701493
6,0.66977578,0.56333333,0.66666667,0.25333333,0.36714976,0.72116601,0.43000000,0.34782609,0.16000000,0.21917808
7,0.67217416,0.55333333,0.72222222,0.17333333,0.27956989,0.72590882,0.51000000,0.54545455,0.12000000,0.19672131
8,0.66342199,0.61000000,0.56734694,0.92666667,0.70379747,0.72576022,0.47000000,0.48192771,0.80000000,0.60150376
9,0.65108705,0.63333333,0.64705882,0.58666667,0.61538462,0.72267747,0.43000000,0.43137255,0.44000000,0.43564356
10,0.65074241,0.66666667,0.61904762,0.86666667,0.72222222,0.72908264,0.42000000,0.44594595,0.66000000,0.53225806
11,0.64791286,0.64666667,0.60280374,0.86000000,0.70879121,0.72746354,0.42000000,0.44594595,0.66000000,0.53225806
12,0.65691441,0.60666667,0.56299213,0.95333333,0.70792079,0.74207938,0.49000000,0.49411765,0.84000000,0.62222222
13,0.63600808,0.69000000,0.68874172,0.69333333,0.69102990,0.73012805,0.40000000,0.40384615,0.42000000,0.41176471
14,0.64605939,0.58666667,0.71666667,0.28666667,0.40952381,0.74074799,0.43000000,0.33333333,0.14000000,0.19718310
15,0.62657470,0.68333333,0.65714286,0.76666667,0.70769231,0.73472947,0.40000000,0.42187500,0.54000000,0.47368421
16,0.64385164,0.62000000,0.57142857,0.96000000,0.71641791,0.75628418,0.46000000,0.47560976,0.78000000,0.59090909
17,0.64026070,0.59000000,0.78723404,0.24666667,0.37563452,0.75022107,0.45000000,0.35294118,0.12000000,0.17910448
18,0.61743772,0.69333333,0.64500000,0.86000000,0.73714286,0.74097437,0.41000000,0.43661972,0.62000000,0.51239669
19,0.64924067,0.59666667,0.55471698,0.98000000,0.70843373,0.77161974,0.50000000,0.50000000,0.88000000,0.63768116
20,0.61069310,0.69666667,0.78095238,0.54666667,0.64313725,0.74767524,0.41000000,0.37837838,0.28000000,0.32183908
21,0.62485939,0.63333333,0.58000000,0.96666667,0.72500000,0.76679796,0.48000000,0.48780488,0.80000000,0.60606061
22,0.61404622,0.65666667,0.60085837,0.93333333,0.73107050,0.76175100,0.43000000,0.45333333,0.68000000,0.54400000
23,0.60409933,0.70333333,0.85057471,0.49333333,0.62447257,0.75812155,0.43000000,0.39393939,0.26000000,0.31325301
24,0.58963317,0.73666667,0.80869565,0.62000000,0.70188679,0.75310105,0.42000000,0.40000000,0.32000000,0.35555556
25,0.70209938,0.52333333,1.00000000,0.04666667,0.08917197,0.83492655,0.50000000,0.50000000,0.02000000,0.03846154
26,0.57301146,0.77000000,0.74846626,0.81333333,0.77955272,0.76046801,0.35000000,0.35849057,0.38000000,0.36893204
27,0.61880255,0.61333333,0.94736842,0.24000000,0.38297872,0.78532511,0.52000000,0.60000000,0.12000000,0.20000000
28,0.57236439,0.71666667,0.65550239,0.91333333,0.76323120,0.77268332,0.43000000,0.44927536,0.62000000,0.52100840
29,0.72046846,0.54000000,0.52083333,1.00000000,0.68493151,0.89261770,0.47000000,0.48421053,0.92000000,0.63448276
30,0.56314135,0.74000000,0.82727273,0.60666667,0.70000000,0.76941484,0.42000000,0.39473684,0.30000000,0.34090909
31,0.57683176,0.68000000,0.61637931,0.95333333,0.74869110,0.79420578,0.46000000,0.47368421,0.72000000,0.57142857
32,0.60212564,0.63000000,0.95348837,0.27333333,0.42487047,0.81044012,0.53000000,0.63636364,0.14000000,0.22950820
33,0.65760714,0.59333333,0.55147059,1.00000000,0.71090047,0.86181915,0.46000000,0.47777778,0.86000000,0.61428571
34,0.58747882,0.66000000,0.59677419,0.98666667,0.74371859,0.83424467,0.49000000,0.49382716,0.80000000,0.61068702
35,0.63857126,0.61000000,0.56179775,1.00000000,0.71942446,0.88272965,0.48000000,0.48837209,0.84000000,0.61764706
36,0.55841643,0.69333333,0.62500000,0.96666667,0.75916230,0.82979220,0.46000000,0.47435897,0.74000000,0.57812500
37,0.51393872,0.79666667,0.77300613,0.84000000,0.80511182,0.78016984,0.40000000,0.40740741,0.44000000,0.42307692
38,0.53742445,0.73000000,0.65898618,0.95333333,0.77929155,0.80323100,0.46000000,0.47368421,0.72000000,0.57142857
39,0.52268445,0.76000000,0.68224299,0.97333333,0.80219780,0.83334166,0.43000000,0.45070423,0.64000000,0.52892562
40,0.67640543,0.59333333,0.55147059,1.00000000,0.71090047,0.95228750,0.44000000,0.46666667,0.84000000,0.60000000
41,0.49098632,0.83333333,0.89062500,0.76000000,0.82014388,0.80501282,0.43000000,0.41860465,0.36000000,0.38709677
42,0.48793232,0.81000000,0.75135135,0.92666667,0.82985075,0.81175721,0.44000000,0.45312500,0.58000000,0.50877193
43,0.50964218,0.76000000,0.97560976,0.53333333,0.68965517,0.80508375,0.49000000,0.47826087,0.22000000,0.30136986
44,0.86216033,0.52333333,0.51194539,1.00000000,0.67720090,1.09127903,0.50000000,0.50000000,0.98000000,0.66216216
45,0.50943983,0.74666667,0.96250000,0.51333333,0.66956522,0.84948212,0.47000000,0.43478261,0.20000000,0.27397260
46,0.53660113,0.67666667,1.00000000,0.35333333,0.52216749,0.87146014,0.49000000,0.46666667,0.14000000,0.21538462
47,0.44455266,0.86666667,0.83132530,0.92000000,0.87341772,0.82341933,0.43000000,0.43859649,0.50000000,0.46728972
48,0.56137055,0.65666667,1.00000000,0.31333333,0.47715736,0.90683097,0.55000000,0.72727273,0.16000000,0.26229508
49,0.60290867,0.63000000,0.57471264,1.00000000,0.72992701,0.97730780,0.47000000,0.48235294,0.82000000,0.60740741
50,0.47420877,0.78333333,0.70142180,0.98666667,0.81994460,0.86830413,0.49000000,0.49350649,0.76000000,0.59842520
51,0.55639201,0.68000000,0.60975610,1.00000000,0.75757576,0.92422456,0.51000000,0.50602410,0.84000000,0.63157895
52,0.44179332,0.84000000,0.98113208,0.69333333,0.81250000,0.84910464,0.43000000,0.39393939,0.26000000,0.31325301
53,0.49561432,0.74666667,0.66371681,1.00000000,0.79787234,0.89166784,0.47000000,0.48148148,0.78000000,0.59541985
54,0.64261734,0.61000000,0.56179775,1.00000000,0.71942446,0.99211675,0.47000000,0.48314607,0.86000000,0.61870504
55,0.51645815,0.68666667,1.00000000,0.37333333,0.54368932,0.93754214,0.52000000,0.57142857,0.16000000,0.25000000
56,0.43945146,0.81000000,0.73134328,0.98000000,0.83760684,0.88157129,0.46000000,0.47058824,0.64000000,0.54237288
57,0.41126710,0.85666667,0.78609626,0.98000000,0.87240356,0.87067950,0.48000000,0.48484848,0.64000000,0.55172414
58,0.40946680,0.86000000,0.97368421,0.74000000,0.84090909,0.85490221,0.47000000,0.45454545,0.30000000,0.36144578
59,0.38133132,0.90000000,0.90000000,0.90000000,0.90000000,0.86528152,0.43000000,0.42222222,0.38000000,0.40000000
