epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.68228966,0.56333333,0.58119658,0.45333333,0.50936330,0.69328123,0.55000000,0.57142857,0.40000000,0.47058824
2,0.67582792,0.57333333,0.76190476,0.21333333,0.33333333,0.70221847,0.51000000,0.53333333,0.16000000,0.24615385
3,0.66991639,0.58000000,0.54651163,0.94000000,0.69117647,0.71047378,0.51000000,0.50561798,0.90000000,0.64748201
4,0.65456748,0.63333333,0.62500000,0.66666667,0.64516129,0.70832855,0.53000000,0.52830189,0.56000000,0.54368932
5,0.65459323,0.66333333,0.66442953,0.66000000,0.66220736,0.70841599,0.52000000,0.52000000,0.52000000,0.52000000
6,0.64918864,0.68666667,0.81111111,0.48666667,0.60833333,0.71404910,0.45000000,0.41935484,0.26000000,0.32098765
7,0.64254296,0.66666667,0.82894737,0.42000000,0.55752212,0.71573758,0.47000000,0.43478261,0.20000000,0.27397260
8,0.63636732,0.67000000,0.64088398,0.77333333,0.70090634,0.70239532,0.56000000,0.55357143,0.62000000,0.58490566
9,0.67121935,0.53666667,0.82352941,0.09333333,0.16766467,0.76165891,0.53000000,0.71428571,0.10000000,0.17543860
10,0.61838984,0.72000000,0.72916667,0.70000000,0.71428571,0.71167940,0.51000000,0.51111111,0.46000000,0.48421053
11,0.70524514,0.51666667,1.00000000,0.03333333,0.06451613,0.80110747,0.49000000,0.33333333,0.02000000,0.03773585
12,0.62974173,0.60000000,0.55905512,0.94666667,0.70297030,0.73484683,0.52000000,0.51162791,0.88000000,0.64705882
13,0.63658816,0.59000000,0.55252918,0.94666667,0.69778870,0.75753421,0.54000000,0.52380952,0.88000000,0.65671642
14,0.59994924,0.71000000,0.89873418,0.47333333,0.62008734,0.73776758,0.47000000,0.43478261,0.20000000,0.27397260
15,0.60950488,0.63000000,0.86792453,0.30666667,0.45320197,0.74850619,0.52000000,0.56250000,0.18000000,0.27272727
16,0.57097816,0.73333333,0.69444444,0.83333333,0.75757576,0.72655749,0.56000000,0.54838710,0.68000000,0.60714286
17,0.61121905,0.63333333,0.58000000,0.96666667,0.72500000,0.75414133,0.53000000,0.51807229,0.86000000,0.64661654
18,0.59273094,0.64000000,0.58823529,0.93333333,0.72164948,0.73147547,0.53000000,0.51851852,0.84000000,0.64122137
19,0.56470579,0.72000000,0.88372093,0.50666667,0.64406780,0.76777542,0.48000000,0.46153846,0.24000000,0.31578947
20,0.62517881,0.60333333,0.55849057,0.98666667,0.71325301,0.78639770,0.54000000,0.52272727,0.92000000,0.66666667
21,0.57274812,0.68333333,0.95081967,0.38666667,0.54976303,0.76273572,0.48000000,0.42857143,0.12000000,0.18750000
22,0.52388191,0.80333333,0.80952381,0.79333333,0.80134680,0.74700910,0.48000000,0.47916667,0.46000000,0.46938776
23,0.51700836,0.74333333,0.68527919,0.90000000,0.77809798,0.76653433,0.53000000,0.52238806,0.70000000,0.59829060
24,0.51522022,0.82000000,0.82876712,0.80666667,0.81756757,0.75132006,0.55000000,0.54545455,0.60000000,0.57142857
25,0.49149689,0.82666667,0.90163934,0.73333333,0.80882353,0.76048851,0.48000000,0.47619048,0.40000000,0.43478261
26,0.56608635,0.66666667,1.00000000,0.33333333,0.50000000,0.83445984,0.54000000,0.66666667,0.16000000,0.25806452
27,0.48875925,0.83000000,0.84137931,0.81333333,0.82711864,0.74424696,0.54000000,0.53703704,0.58000000,0.55769231
28,0.54240161,0.70000000,0.62711864,0.98666667,0.76683938,0.83036184,0.49000000,0.49382716,0.80000000,0.61068702
29,0.45607349,0.82333333,0.78698225,0.88666667,0.83385580,0.78702217,0.51000000,0.50769231,0.66000000,0.57391304
30,0.43864202,0.86000000,0.89130435,0.82000000,0.85416667,0.79112798,0.53000000,0.53846154,0.42000000,0.47191011
31,0.46263063,0.81666667,0.94392523,0.67333333,0.78599222,0.79779357,0.47000000,0.45161290,0.28000000,0.34567901
32,0.53361082,0.72666667,0.65178571,0.97333333,0.78074866,0.77629685,0.52000000,0.51315789,0.78000000,0.61904762
33,0.42371851,0.84333333,0.83660131,0.85333333,0.84488449,0.82449639,0.51000000,0.51020408,0.50000000,0.50505051
34,0.44108674,0.80000000,0.72500000,0.96666667,0.82857143,0.82314056,0.54000000,0.52857143,0.74000000,0.61666667
35,0.41091394,0.87333333,0.95161290,0.78666667,0.86131387,0.80254412,0.55000000,0.57575758,0.38000000,0.45783133
36,0.39705914,0.88333333,0.91970803,0.84000000,0.87804878,0.84460378,0.51000000,0.51111111,0.46000000,0.48421053
37,0.39241669,0.87666667,0.84662577,0.92000000,0.88178914,0.83029222,0.56000000,0.54838710,0.68000000,0.60714286
38,0.37441331,0.86333333,0.91603053,0.80000000,0.85409253,0.88056839,0.50000000,0.50000000,0.36000000,0.41860465
39,0.42983577,0.79000000,0.94845361,0.61333333,0.74493927,0.93743193,0.48000000,0.45833333,0.22000000,0.29729730
40,0.38823867,0.82333333,0.91452991,0.71333333,0.80149813,0.93282938,0.47000000,0.45714286,0.32000000,0.37647059
41,0.36104700,0.87666667,0.82285714,0.96000000,0.88615385,0.88603729,0.52000000,0.51562500,0.66000000,0.57894737
42,0.32433259,0.92666667,0.90506329,0.95333333,0.92857143,0.84067506,0.55000000,0.54237288,0.64000000,0.58715596
43,0.32190707,0.90666667,0.86309524,0.96666667,0.91194969,0.90150529,0.50000000,0.50000000,0.62000000,0.55357143
