epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.70294249,0.47666667,0.42857143,0.14000000,0.21105528,0.71627963,0.52000000,0.54545455,0.24000000,0.33333333
2,0.69072652,0.53000000,0.52238806,0.70000000,0.59829060,0.70542902,0.41000000,0.42622951,0.52000000,0.46846847
3,0.68540871,0.56000000,0.57142857,0.48000000,0.52173913,0.70165282,0.49000000,0.48888889,0.44000000,0.46315789
4,0.68179178,0.54666667,0.58750000,0.31333333,0.40869565,0.70201612,0.49000000,0.48648649,0.36000000,0.41379310
5,0.68016738,0.56000000,0.53237410,0.98666667,0.69158879,0.70544380,0.46000000,0.47777778,0.86000000,0.61428571
6,0.68647289,0.51333333,0.60000000,0.08000000,0.14117647,0.71307892,0.51000000,0.60000000,0.06000000,0.10909091
7,0.67333394,0.57333333,0.54044118,0.98000000,0.69668246,0.70539165,0.45000000,0.47252747,0.86000000,0.60992908
8,0.66545159,0.62333333,0.57939914,0.90000000,0.70496084,0.69954956,0.47000000,0.48101266,0.76000000,0.58914729
9,0.65881848,0.66333333,0.65217391,0.70000000,0.67524116,0.69791734,0.50000000,0.50000000,0.60000000,0.54545455
10,0.70023161,0.50666667,1.00000000,0.01333333,0.02631579,0.73428726,0.52000000,1.00000000,0.04000000,0.07692308
11,0.66522294,0.58666667,0.54924242,0.96666667,0.70048309,0.70328295,0.45000000,0.47252747,0.86000000,0.60992908
12,0.68139231,0.55333333,0.52836879,0.99333333,0.68981481,0.71982986,0.49000000,0.49473684,0.94000000,0.64827586
13,0.65828091,0.57666667,0.73469388,0.24000000,0.36180905,0.70789826,0.51000000,0.52941176,0.18000000,0.26865672
14,0.64681923,0.64333333,0.60093897,0.85333333,0.70523416,0.70118195,0.48000000,0.48684211,0.74000000,0.58730159
15,0.64033711,0.69333333,0.70714286,0.66000000,0.68275862,0.69701612,0.55000000,0.55319149,0.52000000,0.53608247
16,0.63732511,0.70000000,0.68072289,0.75333333,0.71518987,0.69927156,0.50000000,0.50000000,0.60000000,0.54545455
17,0.65224600,0.61000000,0.56321839,0.98000000,0.71532847,0.71021307,0.47000000,0.48314607,0.86000000,0.61870504
18,0.63249195,0.70666667,0.67415730,0.80000000,0.73170732,0.69657755,0.55000000,0.54098361,0.66000000,0.59459459
19,0.63526404,0.63333333,0.58196721,0.94666667,0.72081218,0.70745790,0.47000000,0.48148148,0.78000000,0.59541985
20,0.64325136,0.62000000,0.56923077,0.98666667,0.72195122,0.71867144,0.48000000,0.48863636,0.86000000,0.62318841
21,0.62077212,0.70333333,0.67428571,0.78666667,0.72615385,0.70164216,0.54000000,0.53125000,0.68000000,0.59649123
22,0.64398211,0.61000000,0.56226415,0.99333333,0.71807229,0.72648567,0.46000000,0.47826087,0.88000000,0.61971831
23,0.61304718,0.69333333,0.63809524,0.89333333,0.74444444,0.70471710,0.51000000,0.50684932,0.74000000,0.60162602
24,0.60661930,0.73333333,0.74647887,0.70666667,0.72602740,0.70090270,0.56000000,0.56000000,0.56000000,0.56000000
25,0.61428058,0.66333333,0.60515021,0.94000000,0.73629243,0.71167678,0.44000000,0.46250000,0.74000000,0.56923077
26,0.63332558,0.59666667,0.87179487,0.22666667,0.35978836,0.72798312,0.54000000,0.64285714,0.18000000,0.28125000
27,0.61617714,0.65666667,0.59362550,0.99333333,0.74314214,0.71804446,0.47000000,0.48275862,0.84000000,0.61313869
28,0.59843427,0.69333333,0.89189189,0.44000000,0.58928571,0.70594651,0.57000000,0.64000000,0.32000000,0.42666667
29,0.59906834,0.65333333,0.88333333,0.35333333,0.50476190,0.71308869,0.56000000,0.65000000,0.26000000,0.37142857
30,0.71124804,0.55000000,0.52631579,1.00000000,0.68965517,0.79692811,0.48000000,0.48979592,0.96000000,0.64864865
31,0.63641894,0.59666667,0.55350554,1.00000000,0.71258907,0.73970121,0.49000000,0.49450549,0.90000000,0.63829787
32,0.56983608,0.77666667,0.77483444,0.78000000,0.77740864,0.69823968,0.56000000,0.55555556,0.60000000,0.57692308
33,0.59292442,0.64666667,0.58870968,0.97333333,0.73366834,0.73261184,0.47000000,0.48192771,0.80000000,0.60150376
34,0.55717480,0.78000000,0.75301205,0.83333333,0.79113924,0.70238417,0.53000000,0.52631579,0.60000000,0.56074766
35,0.58323288,0.65333333,0.92592593,0.33333333,0.49019608,0.73170161,0.56000000,0.65000000,0.26000000,0.37142857
36,0.56201154,0.71666667,0.64444444,0.96666667,0.77333333,0.71671206,0.50000000,0.50000000,0.76000000,0.60317460
37,0.60537106,0.59666667,0.96774194,0.20000000,0.33149171,0.75433850,0.52000000,0.57142857,0.16000000,0.25000000
38,0.91667336,0.51000000,0.50505051,1.00000000,0.67114094,1.01287472,0.49000000,0.49494949,0.98000000,0.65771812
39,0.55825895,0.68666667,0.93750000,0.40000000,0.56074766,0.72749221,0.57000000,0.66666667,0.28000000,0.39436620
40,0.80343854,0.51333333,1.00000000,0.02666667,0.05194805,0.94712389,0.50000000,0.00000000,0.00000000,0.00000000
41,0.62994879,0.59333333,0.55147059,1.00000000,0.71090047,0.77765465,0.50000000,0.50000000,0.90000000,0.64285714
42,0.52603441,0.77666667,0.69856459,0.97333333,0.81337047,0.70925063,0.54000000,0.52857143,0.74000000,0.61666667
43,0.65971732,0.56000000,1.00000000,0.12000000,0.21428571,0.84258342,0.51000000,0.60000000,0.06000000,0.10909091
