epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.68563771,0.55666667,0.55629139,0.56000000,0.55813953,0.69620121,0.50000000,0.50000000,0.52000000,0.50980392
2,0.68123472,0.53666667,0.72000000,0.12000000,0.20571429,0.70504200,0.52000000,0.58333333,0.14000000,0.22580645
3,0.67151439,0.60000000,0.56410256,0.88000000,0.68750000,0.70271796,0.51000000,0.50617284,0.82000000,0.62595420
4,0.66571832,0.63333333,0.68518519,0.49333333,0.57364341,0.70749915,0.45000000,0.44444444,0.40000000,0.42105263
5,0.66071719,0.64000000,0.62352941,0.70666667,0.66250000,0.70023984,0.56000000,0.55000000,0.66000000,0.60000000
6,0.66195631,0.59000000,0.75471698,0.26666667,0.39408867,0.70676672,0.51000000,0.52173913,0.24000000,0.32876712
7,0.65466434,0.66666667,0.76595745,0.48000000,0.59016393,0.70620906,0.51000000,0.51428571,0.36000000,0.42352941
8,0.64955825,0.65333333,0.61165049,0.84000000,0.70786517,0.70242119,0.53000000,0.52173913,0.72000000,0.60504202
9,0.65257603,0.60666667,0.75806452,0.31333333,0.44339623,0.71711868,0.50000000,0.50000000,0.24000000,0.32432432
10,0.63827026,0.67000000,0.66242038,0.69333333,0.67752443,0.70813292,0.53000000,0.52727273,0.58000000,0.55238095
11,0.69136834,0.51333333,1.00000000,0.02666667,0.05194805,0.76243252,0.49000000,0.40000000,0.04000000,0.07272727
12,0.65350974,0.60333333,0.55984556,0.96666667,0.70904645,0.71617597,0.52000000,0.51190476,0.86000000,0.64179104
13,0.64680767,0.62666667,0.57600000,0.96000000,0.72000000,0.72181743,0.50000000,0.50000000,0.82000000,0.62121212
14,0.62670821,0.67000000,0.76842105,0.48666667,0.59591837,0.72344136,0.52000000,0.52777778,0.38000000,0.44186047
15,0.64611095,0.57000000,0.86206897,0.16666667,0.27932961,0.72336090,0.52000000,0.57142857,0.16000000,0.25000000
