epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.69330174,0.52000000,0.56250000,0.18000000,0.27272727,0.71084112,0.50000000,0.50000000,0.22000000,0.30555556
2,0.70133972,0.53000000,0.71428571,0.10000000,0.17543860,0.72509140,0.50000000,0.50000000,0.12000000,0.19354839
3,0.67482430,0.59333333,0.60447761,0.54000000,0.57042254,0.70233446,0.53000000,0.52459016,0.64000000,0.57657658
4,0.67429543,0.53666667,0.52340426,0.82000000,0.63896104,0.70955116,0.48000000,0.48913043,0.90000000,0.63380282
5,0.66947055,0.58666667,0.69696970,0.30666667,0.42592593,0.71372116,0.46000000,0.44444444,0.32000000,0.37209302
6,0.65947092,0.65000000,0.68292683,0.56000000,0.61538462,0.70770907,0.52000000,0.51724138,0.60000000,0.55555556
7,0.66527784,0.57000000,0.75609756,0.20666667,0.32460733,0.71989608,0.50000000,0.50000000,0.20000000,0.28571429
8,0.66201258,0.58000000,0.54838710,0.90666667,0.68341709,0.72312593,0.49000000,0.49450549,0.90000000,0.63829787
9,0.64572483,0.68666667,0.72580645,0.60000000,0.65693431,0.71539092,0.46000000,0.46666667,0.56000000,0.50909091
10,0.64224929,0.67000000,0.63492063,0.80000000,0.70796460,0.71537501,0.49000000,0.49315068,0.72000000,0.58536585
11,0.64196855,0.64000000,0.80000000,0.37333333,0.50909091,0.71757233,0.55000000,0.58064516,0.36000000,0.44444444
12,0.63040781,0.70000000,0.72058824,0.65333333,0.68531469,0.71467268,0.47000000,0.47457627,0.56000000,0.51376147
13,0.65408021,0.56000000,0.84615385,0.14666667,0.25000000,0.73981690,0.50000000,0.50000000,0.12000000,0.19354839
14,0.63141125,0.64666667,0.59821429,0.89333333,0.71657754,0.72811037,0.49000000,0.49367089,0.78000000,0.60465116
15,0.65437186,0.56000000,0.87500000,0.14000000,0.24137931,0.74434417,0.49000000,0.45454545,0.10000000,0.16393443
16,0.65505618,0.57000000,0.53903346,0.96666667,0.69212411,0.75869340,0.49000000,0.49462366,0.92000000,0.64335664
17,0.66881174,0.56000000,0.53214286,0.99333333,0.69302326,0.77103311,0.49000000,0.49473684,0.94000000,0.64827586
18,0.68134552,0.53666667,0.51903114,1.00000000,0.68337130,0.77903700,0.51000000,0.50505051,1.00000000,0.67114094
19,0.61080354,0.66666667,0.86764706,0.39333333,0.54128440,0.72975194,0.50000000,0.50000000,0.28000000,0.35897436
20,0.61830872,0.63666667,0.88679245,0.31333333,0.46305419,0.73744631,0.52000000,0.55000000,0.22000000,0.31428571
21,0.63776106,0.59666667,0.55471698,0.98000000,0.70843373,0.76566696,0.50000000,0.50000000,0.92000000,0.64788732
22,0.61301923,0.67000000,0.60580913,0.97333333,0.74680307,0.72627121,0.50000000,0.50000000,0.86000000,0.63235294
23,0.64764917,0.58666667,0.54814815,0.98666667,0.70476190,0.78478885,0.48000000,0.48936170,0.92000000,0.63888889
24,0.56903636,0.79333333,0.77848101,0.82000000,0.79870130,0.72633517,0.52000000,0.51666667,0.62000000,0.56363636
25,0.67546606,0.56666667,0.53597122,0.99333333,0.69626168,0.81316465,0.50000000,0.50000000,0.96000000,0.65753425
26,0.59602165,0.66333333,0.90163934,0.36666667,0.52132701,0.75404948,0.51000000,0.52631579,0.20000000,0.28985507
27,0.57883978,0.69000000,0.92537313,0.41333333,0.57142857,0.74125242,0.52000000,0.53846154,0.28000000,0.36842105
28,0.55476296,0.77333333,0.89423077,0.62000000,0.73228346,0.73265761,0.49000000,0.48837209,0.42000000,0.45161290
29,0.62179714,0.62000000,0.56923077,0.98666667,0.72195122,0.79454750,0.49000000,0.49450549,0.90000000,0.63829787
30,0.78876567,0.51333333,0.50675676,1.00000000,0.67264574,0.93477851,0.50000000,0.50000000,1.00000000,0.66666667
