epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.75700885,0.50000000,0.00000000,0.00000000,0.00000000,0.76981151,0.50000000,0.00000000,0.00000000,0.00000000
2,0.69054180,0.51666667,0.60869565,0.09333333,0.16184971,0.69707257,0.53000000,0.80000000,0.08000000,0.14545455
3,0.68402958,0.55000000,0.52767528,0.95333333,0.67933492,0.69568050,0.51000000,0.50602410,0.84000000,0.63157895
4,0.67429167,0.56333333,0.60000000,0.38000000,0.46530612,0.69694662,0.55000000,0.57142857,0.40000000,0.47058824
5,0.66329640,0.60333333,0.56078431,0.95333333,0.70617284,0.70529097,0.54000000,0.52500000,0.84000000,0.64615385
6,0.65962654,0.59666667,0.63551402,0.45333333,0.52918288,0.70536828,0.54000000,0.54545455,0.48000000,0.51063830
7,0.65332240,0.60000000,0.55905512,0.94666667,0.70297030,0.71464825,0.53000000,0.51851852,0.84000000,0.64122137
8,0.64331335,0.67666667,0.70542636,0.60666667,0.65232975,0.70214146,0.53000000,0.53333333,0.48000000,0.50526316
9,0.63873005,0.66000000,0.60619469,0.91333333,0.72872340,0.70790452,0.58000000,0.55882353,0.76000000,0.64406780
10,0.69984651,0.50000000,0.00000000,0.00000000,0.00000000,0.74408829,0.50000000,0.00000000,0.00000000,0.00000000
11,0.68776166,0.50333333,1.00000000,0.00666667,0.01324503,0.75206953,0.50000000,0.00000000,0.00000000,0.00000000
12,0.74025065,0.53333333,0.91666667,0.07333333,0.13580247,0.79100990,0.51000000,0.66666667,0.04000000,0.07547170
13,0.62195957,0.66333333,0.76344086,0.47333333,0.58436214,0.71199477,0.54000000,0.56250000,0.36000000,0.43902439
14,0.63612175,0.63333333,0.88461538,0.30666667,0.45544554,0.72470826,0.53000000,0.61538462,0.16000000,0.25396825
15,0.59687227,0.70000000,0.65306122,0.85333333,0.73988439,0.72076595,0.52000000,0.51666667,0.62000000,0.56363636
16,0.59126115,0.72666667,0.68681319,0.83333333,0.75301205,0.74197066,0.55000000,0.54901961,0.56000000,0.55445545
17,0.66366661,0.61000000,0.57971014,0.80000000,0.67226891,0.68867582,0.55000000,0.53521127,0.76000000,0.62809917
18,0.63890517,0.69333333,0.87179487,0.45333333,0.59649123,0.69507790,0.55000000,0.60000000,0.30000000,0.40000000
19,0.61966377,0.71000000,0.70860927,0.71333333,0.71096346,0.71056235,0.50000000,0.50000000,0.48000000,0.48979592
20,0.60870403,0.70666667,0.69620253,0.73333333,0.71428571,0.70179963,0.57000000,0.56862745,0.58000000,0.57425743
21,0.63471651,0.56666667,0.95454545,0.14000000,0.24418605,0.76090252,0.53000000,0.66666667,0.12000000,0.20338983
22,0.57757390,0.78333333,0.82945736,0.71333333,0.76702509,0.71942943,0.52000000,0.52777778,0.38000000,0.44186047
23,0.56960827,0.74000000,0.70224719,0.83333333,0.76219512,0.76318777,0.46000000,0.46666667,0.56000000,0.50909091
24,0.56468034,0.78000000,0.93750000,0.60000000,0.73170732,0.75316697,0.49000000,0.48148148,0.26000000,0.33766234
25,0.67008078,0.54333333,1.00000000,0.08666667,0.15950920,0.82931334,0.50000000,0.50000000,0.02000000,0.03846154
26,0.56281394,0.70000000,0.96875000,0.41333333,0.57943925,0.77532285,0.54000000,0.60000000,0.24000000,0.34285714
27,0.57088113,0.67666667,0.61087866,0.97333333,0.75064267,0.80445129,0.54000000,0.52500000,0.84000000,0.64615385
28,0.55852652,0.70333333,0.96923077,0.42000000,0.58604651,0.77159148,0.55000000,0.66666667,0.20000000,0.30769231
29,0.76839513,0.50333333,1.00000000,0.00666667,0.01324503,0.85874802,0.50000000,0.00000000,0.00000000,0.00000000
30,0.60726666,0.65000000,0.59036145,0.98000000,0.73684211,0.81275314,0.51000000,0.50602410,0.84000000,0.63157895
