epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.70001835,0.51000000,1.00000000,0.02000000,0.03921569,0.71035123,0.50000000,0.00000000,0.00000000,0.00000000
2,0.68441796,0.54333333,0.52363636,0.96000000,0.67764706,0.70138121,0.45000000,0.47191011,0.84000000,0.60431655
3,0.68291700,0.53333333,0.51724138,1.00000000,0.68181818,0.69865727,0.48000000,0.48979592,0.96000000,0.64864865
4,0.67746311,0.55333333,0.52857143,0.98666667,0.68837209,0.70077759,0.47000000,0.48387097,0.90000000,0.62937063
5,0.72486615,0.50000000,0.00000000,0.00000000,0.00000000,0.74212086,0.50000000,0.00000000,0.00000000,0.00000000
6,0.68625224,0.53666667,0.72000000,0.12000000,0.20571429,0.71172398,0.56000000,0.80000000,0.16000000,0.26666667
7,0.66393894,0.62000000,0.60112360,0.71333333,0.65243902,0.70614147,0.50000000,0.50000000,0.62000000,0.55357143
8,0.66407359,0.59666667,0.55686275,0.94666667,0.70123457,0.70873076,0.46000000,0.47777778,0.86000000,0.61428571
9,0.65536010,0.60666667,0.66666667,0.42666667,0.52032520,0.72111189,0.46000000,0.45000000,0.36000000,0.40000000
10,0.65500939,0.68666667,0.66279070,0.76000000,0.70807453,0.70552886,0.48000000,0.48437500,0.62000000,0.54385965
11,0.66674376,0.56333333,0.53405018,0.99333333,0.69463869,0.72331840,0.45000000,0.47368421,0.90000000,0.62068966
12,0.62441599,0.70666667,0.73134328,0.65333333,0.69014085,0.71725661,0.58000000,0.61111111,0.44000000,0.51162791
13,0.62483454,0.68666667,0.62389381,0.94000000,0.75000000,0.71942091,0.51000000,0.50602410,0.84000000,0.63157895
14,0.62124544,0.65000000,0.59259259,0.96000000,0.73282443,0.73911422,0.47000000,0.48192771,0.80000000,0.60150376
15,0.62608451,0.71333333,0.75000000,0.64000000,0.69064748,0.72424978,0.51000000,0.51219512,0.42000000,0.46153846
16,0.60490030,0.67000000,0.60759494,0.96000000,0.74418605,0.75211030,0.50000000,0.50000000,0.86000000,0.63235294
17,0.66805661,0.54000000,1.00000000,0.08000000,0.14814815,0.78227645,0.50000000,0.50000000,0.06000000,0.10714286
18,0.58283001,0.74333333,0.67980296,0.92000000,0.78186969,0.72314346,0.55000000,0.53521127,0.76000000,0.62809917
19,0.60100162,0.68666667,0.62612613,0.92666667,0.74731183,0.74280030,0.50000000,0.50000000,0.74000000,0.59677419
20,0.58194029,0.78000000,0.81343284,0.72666667,0.76760563,0.75314337,0.50000000,0.50000000,0.36000000,0.41860465
21,0.58124048,0.68333333,0.61802575,0.96000000,0.75195822,0.76661521,0.47000000,0.48148148,0.78000000,0.59541985
22,0.59848511,0.68000000,0.61344538,0.97333333,0.75257732,0.78918439,0.56000000,0.53658537,0.88000000,0.66666667
23,0.72950542,0.56333333,0.88000000,0.14666667,0.25142857,0.95996803,0.51000000,0.57142857,0.08000000,0.14035088
24,0.53543049,0.78666667,0.91346154,0.63333333,0.74803150,0.80151206,0.53000000,0.54838710,0.34000000,0.41975309
25,0.57564503,0.69333333,0.82954545,0.48666667,0.61344538,0.76920539,0.51000000,0.51612903,0.32000000,0.39506173
26,0.77155918,0.51333333,1.00000000,0.02666667,0.05194805,0.93435395,0.50000000,0.00000000,0.00000000,0.00000000
27,0.50964886,0.77666667,0.70646766,0.94666667,0.80911681,0.83051860,0.51000000,0.50684932,0.74000000,0.60162602
28,0.49593848,0.85333333,0.84868421,0.86000000,0.85430464,0.79917371,0.48000000,0.47619048,0.40000000,0.43478261
29,0.61441469,0.65000000,0.77108434,0.42666667,0.54935622,0.78114003,0.49000000,0.48648649,0.36000000,0.41379310
30,0.49661031,0.82666667,0.80246914,0.86666667,0.83333333,0.77894270,0.48000000,0.48076923,0.50000000,0.49019608
31,0.67151248,0.60333333,0.55984556,0.96666667,0.70904645,0.85795271,0.49000000,0.49411765,0.84000000,0.62222222
