epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.70920694,0.50333333,0.50167224,1.00000000,0.66815145,0.71608108,0.50000000,0.50000000,1.00000000,0.66666667
2,0.68482322,0.53333333,0.60869565,0.18666667,0.28571429,0.69398093,0.52000000,0.55555556,0.20000000,0.29411765
3,0.68012983,0.58333333,0.69841270,0.29333333,0.41314554,0.69880819,0.52000000,0.55000000,0.22000000,0.31428571
4,0.68094558,0.52000000,1.00000000,0.04000000,0.07692308,0.70882332,0.51000000,0.66666667,0.04000000,0.07547170
5,0.66824055,0.57000000,0.71428571,0.23333333,0.35175879,0.70023209,0.52000000,0.55000000,0.22000000,0.31428571
6,0.66553205,0.59666667,0.78431373,0.26666667,0.39800995,0.69565183,0.50000000,0.50000000,0.22000000,0.30555556
7,0.66225064,0.61666667,0.58373206,0.81333333,0.67966574,0.68804365,0.57000000,0.55223881,0.74000000,0.63247863
8,0.66846710,0.52666667,1.00000000,0.05333333,0.10126582,0.70894468,0.50000000,0.50000000,0.02000000,0.03846154
9,0.66136199,0.64000000,0.59051724,0.91333333,0.71727749,0.69648987,0.46000000,0.47297297,0.70000000,0.56451613
10,0.65117258,0.60333333,0.82978723,0.26000000,0.39593909,0.71490216,0.50000000,0.50000000,0.18000000,0.26470588
11,0.65144306,0.62000000,0.56870229,0.99333333,0.72330097,0.71349472,0.50000000,0.50000000,0.88000000,0.63768116
12,0.64008594,0.62000000,0.65000000,0.52000000,0.57777778,0.71786779,0.54000000,0.54545455,0.48000000,0.51063830
13,0.62587142,0.69666667,0.65128205,0.84666667,0.73623188,0.72432631,0.48000000,0.48529412,0.66000000,0.55932203
14,0.64597625,0.64000000,0.58203125,0.99333333,0.73399015,0.70847154,0.51000000,0.50588235,0.86000000,0.63703704
15,0.62275290,0.73666667,0.73202614,0.74666667,0.73927393,0.69894940,0.52000000,0.51923077,0.54000000,0.52941176
16,0.75571233,0.52000000,0.75000000,0.06000000,0.11111111,0.86627549,0.51000000,0.60000000,0.06000000,0.10909091
17,0.59156454,0.75333333,0.81666667,0.65333333,0.72592593,0.71271050,0.51000000,0.51282051,0.40000000,0.44943820
18,0.62287307,0.63666667,0.57976654,0.99333333,0.73218673,0.75444007,0.50000000,0.50000000,0.88000000,0.63768116
19,0.87167513,0.52666667,1.00000000,0.05333333,0.10126582,0.96031040,0.51000000,0.66666667,0.04000000,0.07547170
20,0.59865743,0.73333333,0.66055046,0.96000000,0.78260870,0.72349095,0.49000000,0.49315068,0.72000000,0.58536585
21,0.58745688,0.66333333,0.60082305,0.97333333,0.74300254,0.78018600,0.48000000,0.48809524,0.82000000,0.61194030
22,0.60784620,0.74666667,0.69680851,0.87333333,0.77514793,0.72393078,0.48000000,0.48437500,0.62000000,0.54385965
23,0.52963758,0.79000000,0.73262032,0.91333333,0.81305638,0.74888778,0.46000000,0.46969697,0.62000000,0.53448276
24,0.52918947,0.76333333,0.85585586,0.63333333,0.72796935,0.76951039,0.49000000,0.48648649,0.36000000,0.41379310
25,0.50898647,0.78333333,0.92079208,0.62000000,0.74103586,0.77211976,0.51000000,0.51612903,0.32000000,0.39506173
26,0.55716562,0.69333333,0.62083333,0.99333333,0.76410256,0.78912723,0.46000000,0.47619048,0.80000000,0.59701493
27,0.49556291,0.76000000,0.85454545,0.62666667,0.72307692,0.76463956,0.52000000,0.52500000,0.42000000,0.46666667
28,0.44706205,0.81333333,0.78313253,0.86666667,0.82278481,0.81548339,0.55000000,0.54385965,0.62000000,0.57943925
29,0.47806165,0.82666667,0.81410256,0.84666667,0.83006536,0.79215086,0.52000000,0.51923077,0.54000000,0.52941176
30,0.62352705,0.64000000,0.58203125,0.99333333,0.73399015,0.93945110,0.46000000,0.47727273,0.84000000,0.60869565
