epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.69243652,0.50000000,0.50000000,0.98000000,0.66216216,0.70150495,0.51000000,0.50515464,0.98000000,0.66666667
2,0.69956744,0.50000000,0.00000000,0.00000000,0.00000000,0.71879637,0.50000000,0.00000000,0.00000000,0.00000000
3,0.68479210,0.56666667,0.60416667,0.38666667,0.47154472,0.69575346,0.47000000,0.45714286,0.32000000,0.37647059
4,0.69124347,0.50000000,0.00000000,0.00000000,0.00000000,0.71936631,0.50000000,0.00000000,0.00000000,0.00000000
5,0.67155689,0.61000000,0.64347826,0.49333333,0.55849057,0.70712399,0.36000000,0.33333333,0.28000000,0.30434783
6,0.67388833,0.61000000,0.68965517,0.40000000,0.50632911,0.70521957,0.51000000,0.51724138,0.30000000,0.37974684
7,0.69425589,0.50333333,0.66666667,0.01333333,0.02614379,0.71553099,0.51000000,1.00000000,0.02000000,0.03921569
8,0.66247398,0.65666667,0.74736842,0.47333333,0.57959184,0.70062423,0.48000000,0.47368421,0.36000000,0.40909091
9,0.66737312,0.63000000,0.58091286,0.93333333,0.71611253,0.69302487,0.52000000,0.51219512,0.84000000,0.63636364
10,0.68196034,0.55333333,0.52836879,0.99333333,0.68981481,0.69088411,0.49000000,0.49494949,0.98000000,0.65771812
11,0.65823394,0.68333333,0.68211921,0.68666667,0.68438538,0.69651526,0.44000000,0.43750000,0.42000000,0.42857143
12,0.71389526,0.51333333,1.00000000,0.02666667,0.05194805,0.74820864,0.50000000,0.00000000,0.00000000,0.00000000
13,0.64777219,0.60333333,0.76271186,0.30000000,0.43062201,0.71084195,0.45000000,0.36842105,0.14000000,0.20289855
14,0.70722109,0.50000000,0.50000000,0.99333333,0.66517857,0.71617723,0.50000000,0.50000000,0.98000000,0.66216216
15,0.65943104,0.62000000,0.62857143,0.58666667,0.60689655,0.68847597,0.58000000,0.58000000,0.58000000,0.58000000
