epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.69819236,0.49333333,0.49650350,0.94666667,0.65137615,0.69079542,0.54000000,0.52083333,1.00000000,0.68493151
2,0.68606162,0.58666667,0.61016949,0.48000000,0.53731343,0.68756104,0.55000000,0.56756757,0.42000000,0.48275862
3,0.68187898,0.55333333,0.53389831,0.84000000,0.65284974,0.68859142,0.58000000,0.55128205,0.86000000,0.67187500
4,0.67502016,0.60000000,0.62711864,0.49333333,0.55223881,0.68919760,0.50000000,0.50000000,0.42000000,0.45652174
5,0.67681020,0.55666667,0.53183521,0.94666667,0.68105516,0.69752204,0.57000000,0.54117647,0.92000000,0.68148148
6,0.67059118,0.60666667,0.74242424,0.32666667,0.45370370,0.69229305,0.51000000,0.52000000,0.26000000,0.34666667
7,0.67065871,0.56333333,0.75675676,0.18666667,0.29946524,0.69709021,0.52000000,0.55555556,0.20000000,0.29411765
8,0.65853095,0.64666667,0.60091743,0.87333333,0.71195652,0.69636834,0.56000000,0.54166667,0.78000000,0.63934426
9,0.65495777,0.65333333,0.74468085,0.46666667,0.57377049,0.69664890,0.48000000,0.47222222,0.34000000,0.39534884
10,0.64911079,0.65000000,0.67716535,0.57333333,0.62093863,0.69932860,0.51000000,0.51111111,0.46000000,0.48421053
11,0.65057600,0.64333333,0.59388646,0.90666667,0.71767810,0.70114082,0.58000000,0.55263158,0.84000000,0.66666667
12,0.65495050,0.59666667,0.55686275,0.94666667,0.70123457,0.70758253,0.60000000,0.56250000,0.90000000,0.69230769
13,0.63700122,0.66333333,0.74257426,0.50000000,0.59760956,0.70126384,0.50000000,0.50000000,0.36000000,0.41860465
14,0.63153923,0.71666667,0.75193798,0.64666667,0.69534050,0.70064467,0.52000000,0.52380952,0.44000000,0.47826087
15,0.62882608,0.70000000,0.64705882,0.88000000,0.74576271,0.70230222,0.54000000,0.53030303,0.70000000,0.60344828
16,0.62833118,0.68333333,0.62331839,0.92666667,0.74530831,0.70832455,0.55000000,0.53333333,0.80000000,0.64000000
17,0.61721003,0.73666667,0.78400000,0.65333333,0.71272727,0.70456725,0.52000000,0.52631579,0.40000000,0.45454545
18,0.61675650,0.71666667,0.66169154,0.88666667,0.75783476,0.71418244,0.53000000,0.52307692,0.68000000,0.59130435
19,0.61294514,0.70333333,0.64186047,0.92000000,0.75616438,0.70885557,0.56000000,0.54166667,0.78000000,0.63934426
20,0.59935874,0.76000000,0.76351351,0.75333333,0.75838926,0.71000272,0.47000000,0.46666667,0.42000000,0.44210526
21,0.60952353,0.68333333,0.62008734,0.94666667,0.74934037,0.71808517,0.60000000,0.56410256,0.88000000,0.68750000
22,0.59580332,0.74666667,0.69473684,0.88000000,0.77647059,0.70428342,0.52000000,0.51612903,0.64000000,0.57142857
23,0.58222324,0.77333333,0.78873239,0.74666667,0.76712329,0.71267360,0.50000000,0.50000000,0.48000000,0.48979592
24,0.57903028,0.75666667,0.83478261,0.64000000,0.72452830,0.72216159,0.50000000,0.50000000,0.36000000,0.41860465
25,0.62606049,0.60333333,0.96969697,0.21333333,0.34972678,0.76894021,0.48000000,0.41666667,0.10000000,0.16129032
26,0.56155825,0.79666667,0.79865772,0.79333333,0.79598662,0.72299176,0.50000000,0.50000000,0.46000000,0.47916667
27,0.57389021,0.72000000,0.91250000,0.48666667,0.63478261,0.72862989,0.49000000,0.48148148,0.26000000,0.33766234
28,0.55848217,0.76333333,0.69268293,0.94666667,0.80000000,0.73482841,0.55000000,0.53623188,0.74000000,0.62184874
29,0.67639869,0.55666667,0.53068592,0.98000000,0.68852459,0.80191571,0.55000000,0.52631579,1.00000000,0.68965517
30,0.52797711,0.81333333,0.77647059,0.88000000,0.82500000,0.72275907,0.51000000,0.50980392,0.52000000,0.51485149
31,0.54834872,0.75000000,0.67605634,0.96000000,0.79338843,0.75064993,0.57000000,0.54666667,0.82000000,0.65600000
32,0.52315789,0.77666667,0.88073394,0.64000000,0.74131274,0.74946064,0.51000000,0.51612903,0.32000000,0.39506173
33,0.56827682,0.66666667,0.60416667,0.96666667,0.74358974,0.76834351,0.56000000,0.53658537,0.88000000,0.66666667
34,0.55117136,0.69000000,0.62127660,0.97333333,0.75844156,0.77563339,0.57000000,0.54320988,0.88000000,0.67175573
35,0.56321532,0.67333333,0.60833333,0.97333333,0.74871795,0.78203517,0.56000000,0.53658537,0.88000000,0.66666667
36,0.50478077,0.79333333,0.72000000,0.96000000,0.82285714,0.75761032,0.56000000,0.54285714,0.76000000,0.63333333
37,0.52164865,0.73666667,0.66359447,0.96000000,0.78474114,0.77851194,0.58000000,0.55000000,0.88000000,0.67692308
38,0.49422923,0.79000000,0.71428571,0.96666667,0.82152975,0.77154827,0.56000000,0.54285714,0.76000000,0.63333333
39,0.47428784,0.81000000,0.89743590,0.70000000,0.78651685,0.78241879,0.49000000,0.48484848,0.32000000,0.38554217
40,0.53509551,0.67666667,0.61087866,0.97333333,0.75064267,0.82403225,0.55000000,0.52941176,0.90000000,0.66666667
41,0.47103009,0.79666667,0.97849462,0.60666667,0.74897119,0.80325252,0.49000000,0.48148148,0.26000000,0.33766234
42,0.43877402,0.87333333,0.82941176,0.94000000,0.88125000,0.76879972,0.48000000,0.48148148,0.52000000,0.50000000
43,0.43161997,0.89000000,0.90344828,0.87333333,0.88813559,0.75110424,0.50000000,0.50000000,0.42000000,0.45652174
44,0.90349549,0.52000000,0.51027397,0.99333333,0.67420814,1.11376309,0.52000000,0.51020408,1.00000000,0.67567568
