epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.67948699,0.56666667,0.57042254,0.54000000,0.55479452,0.71248657,0.45000000,0.43902439,0.36000000,0.39560440
2,0.70723808,0.50000000,0.00000000,0.00000000,0.00000000,0.74806833,0.49000000,0.00000000,0.00000000,0.00000000
3,0.66621071,0.63000000,0.61676647,0.68666667,0.64984227,0.70531934,0.46000000,0.46551724,0.54000000,0.50000000
4,0.66266263,0.63333333,0.59803922,0.81333333,0.68926554,0.70533597,0.47000000,0.47692308,0.62000000,0.53913043
5,0.65932232,0.61666667,0.57918552,0.85333333,0.69002695,0.70422006,0.52000000,0.51388889,0.74000000,0.60655738
6,0.65610594,0.57666667,0.54440154,0.94000000,0.68948655,0.71118426,0.53000000,0.51807229,0.86000000,0.64661654
7,0.64972031,0.66333333,0.79518072,0.44000000,0.56652361,0.70866752,0.40000000,0.34375000,0.22000000,0.26829268
8,0.67551124,0.52333333,1.00000000,0.04666667,0.08917197,0.74201155,0.48000000,0.00000000,0.00000000,0.00000000
9,0.63165373,0.67666667,0.63054187,0.85333333,0.72521246,0.70541823,0.54000000,0.52857143,0.74000000,0.61666667
10,0.62938529,0.66666667,0.61682243,0.88000000,0.72527473,0.70689893,0.54000000,0.52777778,0.76000000,0.62295082
11,0.62215650,0.68333333,0.83132530,0.46000000,0.59227468,0.71292895,0.48000000,0.46153846,0.24000000,0.31578947
12,0.61401939,0.72666667,0.80909091,0.59333333,0.68461538,0.70909971,0.45000000,0.43902439,0.36000000,0.39560440
13,0.61418587,0.71666667,0.84946237,0.52666667,0.65020576,0.70820463,0.48000000,0.47058824,0.32000000,0.38095238
14,0.59742284,0.77000000,0.75155280,0.80666667,0.77813505,0.70569807,0.50000000,0.50000000,0.56000000,0.52830189
15,0.63203305,0.57000000,0.92000000,0.15333333,0.26285714,0.73898834,0.51000000,0.57142857,0.08000000,0.14035088
16,0.66889060,0.56666667,0.53623188,0.98666667,0.69483568,0.75946593,0.49000000,0.49462366,0.92000000,0.64335664
17,0.57616913,0.75666667,0.70370370,0.88666667,0.78466077,0.72513556,0.54000000,0.52777778,0.76000000,0.62295082
18,0.62509799,0.58000000,0.96153846,0.16666667,0.28409091,0.77335548,0.51000000,0.60000000,0.06000000,0.10909091
19,0.59241676,0.66333333,0.60425532,0.94666667,0.73766234,0.74036252,0.54000000,0.52564103,0.82000000,0.64062500
20,0.71072286,0.56666667,0.53597122,0.99333333,0.69626168,0.83619571,0.50000000,0.50000000,0.92000000,0.64788732
21,0.54861778,0.76666667,0.86363636,0.63333333,0.73076923,0.73533922,0.46000000,0.43333333,0.26000000,0.32500000
22,0.56607324,0.70000000,0.63392857,0.94666667,0.75935829,0.76689410,0.53000000,0.51948052,0.80000000,0.62992126
23,0.53672802,0.78000000,0.91176471,0.62000000,0.73809524,0.74341482,0.50000000,0.50000000,0.30000000,0.37500000
24,0.52153510,0.82000000,0.80379747,0.84666667,0.82467532,0.73622942,0.49000000,0.49090909,0.54000000,0.51428571
25,0.54085976,0.74000000,0.96153846,0.50000000,0.65789474,0.75127703,0.51000000,0.52000000,0.26000000,0.34666667
26,0.54365110,0.73000000,0.97260274,0.47333333,0.63677130,0.76080126,0.48000000,0.42857143,0.12000000,0.18750000
27,0.52506077,0.76000000,0.96428571,0.54000000,0.69230769,0.75935102,0.50000000,0.50000000,0.22000000,0.30555556
28,0.51056927,0.75666667,0.67906977,0.97333333,0.80000000,0.75292921,0.55000000,0.53246753,0.82000000,0.64566929
29,0.47565764,0.82000000,0.76666667,0.92000000,0.83636364,0.75043398,0.58000000,0.56666667,0.68000000,0.61818182
30,0.46574569,0.83666667,0.77900552,0.94000000,0.85196375,0.76275635,0.52000000,0.51562500,0.66000000,0.57894737
31,0.52736020,0.74000000,0.66666667,0.96000000,0.78688525,0.73869586,0.55000000,0.53333333,0.80000000,0.64000000
32,0.47600275,0.87333333,0.92424242,0.81333333,0.86524823,0.71731925,0.55000000,0.56410256,0.44000000,0.49438202
33,0.42471451,0.85666667,0.90839695,0.79333333,0.84697509,0.80526656,0.50000000,0.50000000,0.46000000,0.47916667
34,0.49124101,0.75333333,0.67431193,0.98000000,0.79891304,0.86355513,0.53000000,0.51948052,0.80000000,0.62992126
35,0.48670900,0.74333333,1.00000000,0.48666667,0.65470852,0.86600435,0.47000000,0.40000000,0.12000000,0.18461538
36,0.50406843,0.72333333,0.64628821,0.98666667,0.78100264,0.88705331,0.54000000,0.52631579,0.80000000,0.63492063
37,0.50043494,0.77000000,0.68663594,0.99333333,0.81198910,0.76708418,0.55000000,0.53521127,0.76000000,0.62809917
38,0.47563741,0.76333333,1.00000000,0.52666667,0.68995633,0.85000724,0.50000000,0.50000000,0.16000000,0.24242424
39,0.45575267,0.82666667,0.75000000,0.98000000,0.84971098,0.78741109,0.53000000,0.52173913,0.72000000,0.60504202
40,0.39024964,0.91666667,0.88819876,0.95333333,0.91961415,0.77802658,0.55000000,0.54716981,0.58000000,0.56310680
41,0.39295065,0.88666667,0.83333333,0.96666667,0.89506173,0.73997378,0.57000000,0.56140351,0.64000000,0.59813084
42,0.49846548,0.74333333,0.66222222,0.99333333,0.79466667,0.80311084,0.54000000,0.52564103,0.82000000,0.64062500
43,0.34854490,0.89333333,0.84302326,0.96666667,0.90062112,0.80242807,0.50000000,0.50000000,0.58000000,0.53703704
44,0.39936161,0.81666667,0.98969072,0.64000000,0.77732794,0.89802092,0.49000000,0.47368421,0.18000000,0.26086957
45,0.39648506,0.82333333,0.97087379,0.66666667,0.79051383,0.85728002,0.53000000,0.56521739,0.26000000,0.35616438
46,0.48642060,0.75666667,0.97530864,0.52666667,0.68398268,0.89973694,0.48000000,0.45000000,0.18000000,0.25714286
47,0.29540372,0.93666667,0.93377483,0.94000000,0.93687708,0.85012281,0.54000000,0.54347826,0.50000000,0.52083333
48,0.39459047,0.80000000,0.71428571,1.00000000,0.83333333,0.89320135,0.54000000,0.52702703,0.78000000,0.62903226
49,0.39593795,0.82000000,0.73762376,0.99333333,0.84659091,0.98497272,0.52000000,0.51388889,0.74000000,0.60655738
50,0.48007527,0.78333333,0.89719626,0.64000000,0.74708171,0.80498505,0.54000000,0.58333333,0.28000000,0.37837838
51,0.57193482,0.66666667,0.60000000,1.00000000,0.75000000,0.97026581,0.49000000,0.49411765,0.84000000,0.62222222
