epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.69068706,0.54000000,0.53125000,0.68000000,0.59649123,0.70776862,0.46000000,0.46875000,0.60000000,0.52631579
2,0.69301403,0.50000000,0.50000000,0.08666667,0.14772727,0.71315825,0.50000000,0.50000000,0.14000000,0.21875000
3,0.67896408,0.58000000,0.60169492,0.47333333,0.52985075,0.70588833,0.44000000,0.43181818,0.38000000,0.40425532
4,0.67461032,0.63666667,0.62130178,0.70000000,0.65830721,0.70404142,0.47000000,0.47272727,0.52000000,0.49523810
5,0.67199630,0.60666667,0.64285714,0.48000000,0.54961832,0.70701122,0.48000000,0.47368421,0.36000000,0.40909091
6,0.66661859,0.65333333,0.61274510,0.83333333,0.70621469,0.70563859,0.50000000,0.50000000,0.76000000,0.60317460
7,0.66249251,0.65333333,0.62777778,0.75333333,0.68484848,0.70798016,0.51000000,0.50746269,0.68000000,0.58119658
8,0.66435599,0.61666667,0.56972112,0.95333333,0.71321696,0.71390271,0.48000000,0.48888889,0.88000000,0.62857143
9,0.65434527,0.66333333,0.62827225,0.80000000,0.70381232,0.71467113,0.49000000,0.49275362,0.68000000,0.57142857
10,0.66742837,0.56666667,0.53649635,0.98000000,0.69339623,0.72801071,0.51000000,0.50537634,0.94000000,0.65734266
11,0.64766711,0.67000000,0.62200957,0.86666667,0.72423398,0.71723938,0.48000000,0.48717949,0.76000000,0.59375000
12,0.65061927,0.62666667,0.72093023,0.41333333,0.52542373,0.72186828,0.43000000,0.37931034,0.22000000,0.27848101
13,0.64386350,0.64333333,0.73626374,0.44666667,0.55601660,0.72182524,0.41000000,0.34482759,0.20000000,0.25316456
14,0.65842265,0.58333333,0.93103448,0.18000000,0.30167598,0.74087536,0.48000000,0.41666667,0.10000000,0.16129032
15,0.62721765,0.68333333,0.67295597,0.71333333,0.69255663,0.72751760,0.42000000,0.43103448,0.50000000,0.46296296
16,0.63407725,0.62333333,0.57939914,0.90000000,0.70496084,0.74325758,0.48000000,0.48750000,0.78000000,0.60000000
17,0.62200844,0.67666667,0.74311927,0.54000000,0.62548263,0.73647809,0.40000000,0.36111111,0.26000000,0.30232558
18,0.61372018,0.68666667,0.73333333,0.58666667,0.65185185,0.73353618,0.42000000,0.40476190,0.34000000,0.36956522
19,0.61228883,0.66666667,0.61363636,0.90000000,0.72972973,0.73845577,0.46000000,0.47435897,0.74000000,0.57812500
20,0.62677348,0.65666667,0.94339623,0.33333333,0.49261084,0.75624281,0.47000000,0.38461538,0.10000000,0.15873016
21,0.62800682,0.61666667,0.94871795,0.24666667,0.39153439,0.75853986,0.50000000,0.50000000,0.14000000,0.21875000
