epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.68702161,0.53666667,0.52791878,0.69333333,0.59942363,0.68918806,0.51000000,0.50847458,0.60000000,0.55045872
2,0.70754510,0.50000000,0.50000000,0.00666667,0.01315789,0.71508163,0.49000000,0.00000000,0.00000000,0.00000000
3,0.67316103,0.62666667,0.65573770,0.53333333,0.58823529,0.68831664,0.51000000,0.51428571,0.36000000,0.42352941
4,0.66964859,0.59000000,0.72131148,0.29333333,0.41706161,0.68852961,0.52000000,0.55555556,0.20000000,0.29411765
5,0.66156328,0.65333333,0.73958333,0.47333333,0.57723577,0.68915296,0.49000000,0.48275862,0.28000000,0.35443038
6,0.65692991,0.68000000,0.63366337,0.85333333,0.72727273,0.68568099,0.51000000,0.50724638,0.70000000,0.58823529
7,0.64858842,0.68666667,0.66470588,0.75333333,0.70625000,0.68783683,0.47000000,0.47272727,0.52000000,0.49523810
8,0.65927684,0.60333333,0.55805243,0.99333333,0.71462830,0.69625092,0.54000000,0.52222222,0.94000000,0.67142857
9,0.63728648,0.71000000,0.71140940,0.70666667,0.70903010,0.68843758,0.46000000,0.46000000,0.46000000,0.46000000
10,0.67972678,0.52333333,0.51194539,1.00000000,0.67720090,0.72434974,0.50000000,0.50000000,0.96000000,0.65753425
11,0.62761408,0.68666667,0.63592233,0.87333333,0.73595506,0.69734401,0.51000000,0.50704225,0.72000000,0.59504132
12,0.71040130,0.51333333,0.83333333,0.03333333,0.06410256,0.77319002,0.49000000,0.00000000,0.00000000,0.00000000
13,0.61496824,0.71333333,0.84782609,0.52000000,0.64462810,0.70639986,0.46000000,0.42857143,0.24000000,0.30769231
14,0.64939994,0.56666667,0.88461538,0.15333333,0.26136364,0.74867231,0.51000000,0.55555556,0.10000000,0.16949153
15,0.59848529,0.73000000,0.84158416,0.56666667,0.67729084,0.71321762,0.45000000,0.40740741,0.22000000,0.28571429
16,0.61944723,0.66000000,0.59677419,0.98666667,0.74371859,0.73501796,0.50000000,0.50000000,0.82000000,0.62121212
17,0.61991954,0.61000000,0.88372093,0.25333333,0.39378238,0.75651717,0.49000000,0.46153846,0.12000000,0.19047619
18,0.57848305,0.74333333,0.85436893,0.58666667,0.69565217,0.72447419,0.48000000,0.46428571,0.26000000,0.33333333
19,0.57488167,0.73333333,0.66355140,0.94666667,0.78021978,0.72345179,0.51000000,0.50684932,0.74000000,0.60162602
20,0.60119700,0.61666667,0.88888889,0.26666667,0.41025641,0.77622712,0.50000000,0.50000000,0.12000000,0.19354839
21,0.56448311,0.74000000,0.86734694,0.56666667,0.68548387,0.73866618,0.47000000,0.45161290,0.28000000,0.34567901
22,0.61000639,0.61333333,0.94736842,0.24000000,0.38297872,0.81509787,0.50000000,0.50000000,0.10000000,0.16666667
23,0.54249918,0.78000000,0.72340426,0.90666667,0.80473373,0.72710919,0.52000000,0.51562500,0.66000000,0.57894737
24,0.51291788,0.79333333,0.75581395,0.86666667,0.80745342,0.73781633,0.54000000,0.53571429,0.60000000,0.56603774
25,0.55055553,0.70666667,0.95588235,0.43333333,0.59633028,0.79132670,0.46000000,0.37500000,0.12000000,0.18181818
26,0.57135868,0.69000000,0.61728395,1.00000000,0.76335878,0.76872480,0.51000000,0.50574713,0.88000000,0.64233577
27,0.51673776,0.77333333,0.96590909,0.56666667,0.71428571,0.77870578,0.49000000,0.47368421,0.18000000,0.26086957
28,0.59207082,0.65000000,0.58823529,1.00000000,0.74074074,0.82704955,0.51000000,0.50561798,0.90000000,0.64748201
29,0.56799537,0.66666667,1.00000000,0.33333333,0.50000000,0.82951111,0.50000000,0.50000000,0.12000000,0.19354839
30,0.72296768,0.54666667,0.52447552,1.00000000,0.68807339,0.87983537,0.49000000,0.49484536,0.96000000,0.65306122
