epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.68714327,0.55333333,0.54705882,0.62000000,0.58125000,0.69940662,0.45000000,0.45098039,0.46000000,0.45544554
2,0.68420309,0.55000000,0.53061224,0.86666667,0.65822785,0.69247466,0.58000000,0.54761905,0.92000000,0.68656716
3,0.68291825,0.54000000,0.71428571,0.13333333,0.22471910,0.69621670,0.48000000,0.41666667,0.10000000,0.16129032
4,0.67381221,0.58333333,0.55458515,0.84666667,0.67018470,0.69187486,0.56000000,0.53846154,0.84000000,0.65625000
5,0.68071228,0.54666667,0.52517986,0.97333333,0.68224299,0.69738221,0.52000000,0.51063830,0.96000000,0.66666667
6,0.67460310,0.60000000,0.56000000,0.93333333,0.70000000,0.69219726,0.52000000,0.51136364,0.90000000,0.65217391
7,0.67049390,0.55666667,0.79310345,0.15333333,0.25698324,0.69900590,0.49000000,0.46153846,0.12000000,0.19047619
8,0.65890336,0.62666667,0.60555556,0.72666667,0.66060606,0.69149941,0.55000000,0.53968254,0.68000000,0.60176991
9,0.66475773,0.61000000,0.56573705,0.94666667,0.70822943,0.69536525,0.53000000,0.51807229,0.86000000,0.64661654
10,0.65381086,0.59000000,0.68493151,0.33333333,0.44843049,0.70734322,0.49000000,0.48000000,0.24000000,0.32000000
11,0.64436299,0.65666667,0.59670782,0.96666667,0.73791349,0.69968140,0.52000000,0.51219512,0.84000000,0.63636364
12,0.64238280,0.66666667,0.86764706,0.39333333,0.54128440,0.70010853,0.50000000,0.50000000,0.20000000,0.28571429
13,0.63439792,0.66666667,0.63736264,0.77333333,0.69879518,0.69635725,0.52000000,0.51562500,0.66000000,0.57894737
14,0.63470155,0.68333333,0.67515924,0.70666667,0.69055375,0.69638932,0.57000000,0.56363636,0.62000000,0.59047619
15,0.61813182,0.67000000,0.76288660,0.49333333,0.59919028,0.71716279,0.53000000,0.53846154,0.42000000,0.47191011
16,0.68931347,0.56333333,0.95238095,0.13333333,0.23391813,0.78268856,0.50000000,0.50000000,0.10000000,0.16666667
17,0.60126710,0.73000000,0.83495146,0.57333333,0.67984190,0.71394467,0.55000000,0.56756757,0.42000000,0.48275862
18,0.61290419,0.66000000,0.83333333,0.40000000,0.54054054,0.70909512,0.48000000,0.45454545,0.20000000,0.27777778
19,0.60943860,0.65333333,0.59200000,0.98666667,0.74000000,0.73358321,0.52000000,0.51250000,0.82000000,0.63076923
20,0.59946609,0.75333333,0.71590909,0.84000000,0.77300613,0.70022750,0.57000000,0.55555556,0.70000000,0.61946903
21,0.61351132,0.63333333,0.97619048,0.27333333,0.42708333,0.78823256,0.54000000,0.62500000,0.20000000,0.30303030
22,0.60536772,0.67000000,0.60240964,1.00000000,0.75187970,0.72047317,0.51000000,0.50588235,0.86000000,0.63703704
