epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.67831451,0.59333333,0.61666667,0.49333333,0.54814815,0.69393277,0.52000000,0.52083333,0.50000000,0.51020408
2,0.66995287,0.62666667,0.71111111,0.42666667,0.53333333,0.69707656,0.50000000,0.50000000,0.40000000,0.44444444
3,0.67033714,0.59000000,0.76470588,0.26000000,0.38805970,0.70574647,0.50000000,0.50000000,0.28000000,0.35897436
4,0.67997807,0.52666667,0.75000000,0.08000000,0.14457831,0.71479112,0.49000000,0.44444444,0.08000000,0.13559322
5,0.65054816,0.65666667,0.64242424,0.70666667,0.67301587,0.69861650,0.54000000,0.53448276,0.62000000,0.57407407
6,0.64603132,0.69000000,0.73949580,0.58666667,0.65427509,0.69952011,0.53000000,0.53191489,0.50000000,0.51546392
7,0.64021081,0.65666667,0.64071856,0.71333333,0.67507886,0.70394194,0.53000000,0.52380952,0.66000000,0.58407080
8,0.63607794,0.71666667,0.67379679,0.84000000,0.74777448,0.70643407,0.55000000,0.53623188,0.74000000,0.62184874
9,0.66190362,0.56000000,0.87500000,0.14000000,0.24137931,0.72585845,0.51000000,0.54545455,0.12000000,0.19672131
10,0.62997800,0.70000000,0.64150943,0.90666667,0.75138122,0.71178389,0.56000000,0.54285714,0.76000000,0.63333333
11,0.69040394,0.51666667,0.50853242,0.99333333,0.67268623,0.77612907,0.51000000,0.50505051,1.00000000,0.67114094
12,0.62371063,0.70000000,0.63513514,0.94000000,0.75806452,0.72535235,0.54000000,0.52564103,0.82000000,0.64062500
13,0.68533933,0.53000000,0.84615385,0.07333333,0.13496933,0.76792800,0.49000000,0.42857143,0.06000000,0.10526316
14,0.65980083,0.54000000,0.83333333,0.10000000,0.17857143,0.74551904,0.49000000,0.44444444,0.08000000,0.13559322
15,0.61855781,0.65666667,0.91228070,0.34666667,0.50241546,0.72157562,0.54000000,0.59090909,0.26000000,0.36111111
16,0.60538197,0.70333333,0.63677130,0.94666667,0.76139410,0.73036838,0.55000000,0.53246753,0.82000000,0.64566929
17,0.69701344,0.52000000,0.51034483,0.98666667,0.67272727,0.83196831,0.50000000,0.50000000,1.00000000,0.66666667
18,0.57991022,0.77000000,0.76821192,0.77333333,0.77076412,0.72383499,0.50000000,0.50000000,0.58000000,0.53703704
19,0.57854867,0.76666667,0.83898305,0.66000000,0.73880597,0.72570252,0.47000000,0.46808511,0.44000000,0.45360825
20,0.57359916,0.76333333,0.84347826,0.64666667,0.73207547,0.72806901,0.51000000,0.51162791,0.44000000,0.47311828
21,0.56923765,0.80000000,0.79220779,0.81333333,0.80263158,0.71179110,0.52000000,0.51785714,0.58000000,0.54716981
22,0.68604952,0.54666667,1.00000000,0.09333333,0.17073171,0.82601655,0.51000000,0.60000000,0.06000000,0.10909091
23,0.61341131,0.60666667,0.56106870,0.98000000,0.71359223,0.79226667,0.55000000,0.52873563,0.92000000,0.67153285
24,0.55011910,0.76666667,0.70202020,0.92666667,0.79885057,0.74766159,0.54000000,0.52777778,0.76000000,0.62295082
25,0.56436646,0.72666667,0.65596330,0.95333333,0.77717391,0.75231439,0.55000000,0.53164557,0.84000000,0.65116279
26,0.58374584,0.63666667,0.95555556,0.28666667,0.44102564,0.76348114,0.48000000,0.44444444,0.16000000,0.23529412
27,0.57920820,0.63666667,0.95555556,0.28666667,0.44102564,0.76963991,0.48000000,0.45000000,0.18000000,0.25714286
28,0.53064436,0.76333333,0.69268293,0.94666667,0.80000000,0.76118308,0.54000000,0.52777778,0.76000000,0.62295082
29,0.51756948,0.80666667,0.75274725,0.91333333,0.82530120,0.75322968,0.53000000,0.52173913,0.72000000,0.60504202
30,0.55512750,0.70000000,0.62711864,0.98666667,0.76683938,0.82270736,0.52000000,0.51190476,0.86000000,0.64179104
31,0.63496733,0.58333333,0.54612546,0.98666667,0.70308789,0.88689071,0.55000000,0.52747253,0.96000000,0.68085106
