epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.70298851,0.51333333,0.50680272,0.99333333,0.67117117,0.71526885,0.48000000,0.48936170,0.92000000,0.63888889
2,0.68352634,0.49666667,0.49230769,0.21333333,0.29767442,0.70581037,0.49000000,0.48275862,0.28000000,0.35443038
3,0.68726736,0.51666667,0.50871080,0.97333333,0.66819222,0.70217437,0.50000000,0.50000000,0.94000000,0.65277778
4,0.67053843,0.61000000,0.56470588,0.96000000,0.71111111,0.70742458,0.48000000,0.48809524,0.82000000,0.61194030
5,0.66546351,0.57333333,0.63095238,0.35333333,0.45299145,0.71814382,0.48000000,0.47368421,0.36000000,0.40909091
6,0.65638578,0.67666667,0.63316583,0.84000000,0.72206304,0.70288056,0.47000000,0.47826087,0.66000000,0.55462185
7,0.64493692,0.62000000,0.58108108,0.86000000,0.69354839,0.71947068,0.51000000,0.50666667,0.76000000,0.60800000
8,0.65643120,0.60000000,0.64423077,0.44666667,0.52755906,0.73254997,0.48000000,0.47619048,0.40000000,0.43478261
9,0.64079058,0.64000000,0.64583333,0.62000000,0.63265306,0.72168380,0.53000000,0.52830189,0.56000000,0.54368932
10,0.64057231,0.68333333,0.72357724,0.59333333,0.65201465,0.70714110,0.50000000,0.50000000,0.44000000,0.46808511
11,0.61423993,0.69666667,0.66480447,0.79333333,0.72340426,0.73118073,0.53000000,0.52459016,0.64000000,0.57657658
12,0.65993065,0.59000000,0.54945055,1.00000000,0.70921986,0.75825626,0.49000000,0.49450549,0.90000000,0.63829787
13,0.60310471,0.69666667,0.77064220,0.56000000,0.64864865,0.74028075,0.51000000,0.51219512,0.42000000,0.46153846
14,0.69050485,0.54666667,0.88888889,0.10666667,0.19047619,0.83489442,0.51000000,0.55555556,0.10000000,0.16949153
15,0.58998156,0.76666667,0.76666667,0.76666667,0.76666667,0.73303711,0.46000000,0.46153846,0.48000000,0.47058824
16,0.67279148,0.58666667,0.55158730,0.92666667,0.69154229,0.72184706,0.52000000,0.51219512,0.84000000,0.63636364
17,0.59636140,0.66333333,0.61611374,0.86666667,0.72022161,0.77795053,0.47000000,0.47826087,0.66000000,0.55462185
18,0.59886050,0.63333333,0.81250000,0.34666667,0.48598131,0.82811314,0.51000000,0.52000000,0.26000000,0.34666667
19,0.58420128,0.67666667,0.61373391,0.95333333,0.74673629,0.74731481,0.54000000,0.52631579,0.80000000,0.63492063
20,0.69234133,0.53666667,0.51903114,1.00000000,0.68337130,0.79474926,0.49000000,0.49473684,0.94000000,0.64827586
21,0.57430363,0.68333333,0.64248705,0.82666667,0.72303207,0.82066852,0.45000000,0.46268657,0.62000000,0.52991453
22,0.55568498,0.72000000,0.65137615,0.94666667,0.77173913,0.81936294,0.48000000,0.48717949,0.76000000,0.59375000
23,0.55609316,0.73333333,0.66509434,0.94000000,0.77900552,0.78387600,0.49000000,0.49315068,0.72000000,0.58536585
24,0.53012633,0.79000000,0.79194631,0.78666667,0.78929766,0.76395345,0.52000000,0.52000000,0.52000000,0.52000000
25,0.50368351,0.75666667,0.79389313,0.69333333,0.74021352,0.89783299,0.43000000,0.42857143,0.42000000,0.42424242
26,0.53790802,0.81333333,0.79012346,0.85333333,0.82051282,0.79325497,0.46000000,0.46551724,0.54000000,0.50000000
27,0.51098698,0.77000000,0.93548387,0.58000000,0.71604938,0.89413846,0.49000000,0.48275862,0.28000000,0.35443038
28,0.53961384,0.72000000,0.65277778,0.94000000,0.77049180,0.77463883,0.54000000,0.52857143,0.74000000,0.61666667
29,0.49202058,0.79000000,0.78807947,0.79333333,0.79069767,0.91727644,0.45000000,0.45614035,0.52000000,0.48598131
30,0.50378829,0.70666667,0.85227273,0.50000000,0.63025210,0.87583578,0.49000000,0.48148148,0.26000000,0.33766234
31,0.65671998,0.61333333,0.56589147,0.97333333,0.71568627,0.83241206,0.51000000,0.50574713,0.88000000,0.64233577
32,0.47758922,0.85000000,0.80000000,0.93333333,0.86153846,0.80259901,0.47000000,0.47368421,0.54000000,0.50467290
33,0.59221864,0.63000000,0.95348837,0.27333333,0.42487047,0.92011601,0.53000000,0.63636364,0.14000000,0.22950820
34,0.39412257,0.87333333,0.87333333,0.87333333,0.87333333,0.89057386,0.48000000,0.48000000,0.48000000,0.48000000
35,0.42083049,0.80333333,0.72413793,0.98000000,0.83286119,0.93103558,0.49000000,0.49333333,0.74000000,0.59200000
36,0.47257751,0.76333333,0.68372093,0.98000000,0.80547945,0.96460843,0.49000000,0.49367089,0.78000000,0.60465116
37,0.44142681,0.79000000,0.88495575,0.66666667,0.76045627,1.04125130,0.46000000,0.45238095,0.38000000,0.41304348
38,0.37519783,0.84666667,0.79213483,0.94000000,0.85975610,0.96076339,0.48000000,0.48387097,0.60000000,0.53571429
39,0.35734758,0.86333333,0.83030303,0.91333333,0.86984127,0.91699505,0.52000000,0.51666667,0.62000000,0.56363636
40,0.38493022,0.84666667,0.88805970,0.79333333,0.83802817,0.86962491,0.51000000,0.51111111,0.46000000,0.48421053
41,0.51159281,0.74000000,0.90909091,0.53333333,0.67226891,1.13747942,0.53000000,0.56000000,0.28000000,0.37333333
42,0.35129908,0.90333333,0.92907801,0.87333333,0.90034364,0.95677036,0.48000000,0.47916667,0.46000000,0.46938776
43,0.36928678,0.88000000,0.82758621,0.96000000,0.88888889,0.92628169,0.52000000,0.51666667,0.62000000,0.56363636
44,0.35559970,0.88000000,0.80645161,1.00000000,0.89285714,0.92668468,0.50000000,0.50000000,0.64000000,0.56140351
