epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.68571031,0.54666667,0.65909091,0.19333333,0.29896907,0.70114243,0.45000000,0.33333333,0.10000000,0.15384615
2,0.70536363,0.50000000,0.00000000,0.00000000,0.00000000,0.72089827,0.50000000,0.00000000,0.00000000,0.00000000
3,0.67921168,0.62000000,0.62500000,0.60000000,0.61224490,0.69763672,0.48000000,0.47727273,0.42000000,0.44680851
4,0.67373860,0.60666667,0.56504065,0.92666667,0.70202020,0.70244741,0.48000000,0.48750000,0.78000000,0.60000000
5,0.67803705,0.62666667,0.58333333,0.88666667,0.70370370,0.69785893,0.50000000,0.50000000,0.70000000,0.58333333
6,0.66604251,0.66000000,0.62000000,0.82666667,0.70857143,0.70121002,0.52000000,0.51562500,0.66000000,0.57894737
7,0.67623454,0.50666667,0.75000000,0.02000000,0.03896104,0.71393889,0.49000000,0.00000000,0.00000000,0.00000000
8,0.67754430,0.54666667,0.52447552,1.00000000,0.68807339,0.71308136,0.45000000,0.47311828,0.88000000,0.61538462
9,0.66671771,0.62666667,0.68627451,0.46666667,0.55555556,0.70446807,0.53000000,0.55172414,0.32000000,0.40506329
10,0.65754801,0.63000000,0.57587549,0.98666667,0.72727273,0.70663041,0.49000000,0.49425287,0.86000000,0.62773723
11,0.63364851,0.69666667,0.65284974,0.84000000,0.73469388,0.70866042,0.51000000,0.50746269,0.68000000,0.58119658
12,0.62199253,0.67666667,0.66666667,0.70666667,0.68608414,0.71910322,0.52000000,0.51724138,0.60000000,0.55555556
13,0.72458565,0.51000000,1.00000000,0.02000000,0.03921569,0.79795879,0.50000000,0.00000000,0.00000000,0.00000000
14,0.62410069,0.66000000,0.60434783,0.92666667,0.73157895,0.72999382,0.52000000,0.51315789,0.78000000,0.61904762
15,0.62828565,0.61000000,0.74626866,0.33333333,0.46082949,0.74067509,0.52000000,0.53571429,0.30000000,0.38461538
16,0.74787152,0.53666667,0.51903114,1.00000000,0.68337130,0.84020841,0.48000000,0.48958333,0.94000000,0.64383562
17,0.64374369,0.62666667,0.57539683,0.96666667,0.72139303,0.78968126,0.50000000,0.50000000,0.80000000,0.61538462
18,0.67577416,0.59000000,0.55018587,0.98666667,0.70644391,0.79248464,0.50000000,0.50000000,0.92000000,0.64788732
19,0.59438556,0.63333333,0.83333333,0.33333333,0.47619048,0.74457061,0.55000000,0.60869565,0.28000000,0.38356164
20,0.58781922,0.71333333,0.81372549,0.55333333,0.65873016,0.73237336,0.49000000,0.48648649,0.36000000,0.41379310
21,0.59353286,0.67000000,0.60493827,0.98000000,0.74809160,0.82071853,0.52000000,0.51219512,0.84000000,0.63636364
22,0.58739483,0.69333333,0.62608696,0.96000000,0.75789474,0.78560531,0.54000000,0.52631579,0.80000000,0.63492063
23,0.58368248,0.70333333,0.63555556,0.95333333,0.76266667,0.75103074,0.53000000,0.52000000,0.78000000,0.62400000
24,0.51046318,0.77333333,0.75308642,0.81333333,0.78205128,0.77427000,0.47000000,0.47368421,0.54000000,0.50467290
25,0.53337264,0.73333333,0.66509434,0.94000000,0.77900552,0.81264919,0.54000000,0.52777778,0.76000000,0.62295082
26,0.56058019,0.72000000,0.81730769,0.56666667,0.66929134,0.75723219,0.53000000,0.54545455,0.36000000,0.43373494
27,0.58272278,0.60666667,0.97058824,0.22000000,0.35869565,0.82675767,0.52000000,0.62500000,0.10000000,0.17241379
28,0.48684418,0.80666667,0.84848485,0.74666667,0.79432624,0.79370451,0.52000000,0.52500000,0.42000000,0.46666667
29,0.53261709,0.75000000,0.67123288,0.98000000,0.79674797,0.80763900,0.52000000,0.51351351,0.76000000,0.61290323
30,0.83051413,0.58666667,0.54744526,1.00000000,0.70754717,1.09276676,0.45000000,0.47252747,0.86000000,0.60992908
31,0.50539947,0.77666667,0.77124183,0.78666667,0.77887789,0.76298994,0.55000000,0.54901961,0.56000000,0.55445545
32,0.55176485,0.70333333,0.82105263,0.52000000,0.63673469,0.82772952,0.52000000,0.53333333,0.32000000,0.40000000
33,0.46781647,0.82000000,0.89344262,0.72666667,0.80147059,0.82233375,0.53000000,0.53846154,0.42000000,0.47191011
34,0.45679918,0.80666667,0.79113924,0.83333333,0.81168831,0.77334350,0.58000000,0.58695652,0.54000000,0.56250000
35,0.44702840,0.84000000,0.83116883,0.85333333,0.84210526,0.84062010,0.53000000,0.53061224,0.52000000,0.52525253
36,0.51351959,0.73666667,0.65919283,0.98000000,0.78820375,0.97217983,0.51000000,0.50649351,0.78000000,0.61417323
37,0.61171746,0.70333333,0.62869198,0.99333333,0.77002584,1.09035730,0.51000000,0.50602410,0.84000000,0.63157895
38,0.39138949,0.84666667,0.90000000,0.78000000,0.83571429,0.90304655,0.52000000,0.52500000,0.42000000,0.46666667
39,0.47050518,0.80333333,0.73575130,0.94666667,0.82798834,0.97242945,0.49000000,0.49230769,0.64000000,0.55652174
40,0.44968152,0.75333333,0.94186047,0.54000000,0.68644068,0.92206889,0.53000000,0.56521739,0.26000000,0.35616438
41,0.50358522,0.72666667,0.94736842,0.48000000,0.63716814,0.93333453,0.52000000,0.55000000,0.22000000,0.31428571
42,0.49151084,0.73666667,0.96103896,0.49333333,0.65198238,1.11155450,0.55000000,0.60869565,0.28000000,0.38356164
43,0.39741600,0.86000000,0.81764706,0.92666667,0.86875000,0.80655682,0.54000000,0.53448276,0.62000000,0.57407407
44,0.39739099,0.87666667,0.89510490,0.85333333,0.87372014,0.86356962,0.52000000,0.52380952,0.44000000,0.47826087
45,0.46777689,0.78333333,0.71794872,0.93333333,0.81159420,0.81389070,0.52000000,0.51612903,0.64000000,0.57142857
46,0.46474195,0.77333333,0.92708333,0.59333333,0.72357724,0.94538647,0.58000000,0.64285714,0.36000000,0.46153846
47,0.46463487,0.77000000,0.68663594,0.99333333,0.81198910,1.01593173,0.50000000,0.50000000,0.76000000,0.60317460
48,0.45825294,0.79333333,0.70952381,0.99333333,0.82777778,1.06899583,0.51000000,0.50649351,0.78000000,0.61417323
49,0.39240593,0.82000000,0.74242424,0.98000000,0.84482759,1.10889459,0.53000000,0.52054795,0.76000000,0.61788618
50,0.33506984,0.87333333,0.82941176,0.94000000,0.88125000,0.96778178,0.51000000,0.50847458,0.60000000,0.55045872
51,0.40927678,0.81333333,0.73039216,0.99333333,0.84180791,1.04071116,0.52000000,0.51428571,0.72000000,0.60000000
52,0.39877504,0.82666667,0.76344086,0.94666667,0.84523810,0.97373348,0.52000000,0.51785714,0.58000000,0.54716981
53,0.27317145,0.92333333,0.89937107,0.95333333,0.92556634,0.98789823,0.54000000,0.54166667,0.52000000,0.53061224
54,0.31888127,0.87000000,0.80000000,0.98666667,0.88358209,1.02574444,0.55000000,0.53623188,0.74000000,0.62184874
55,0.28660443,0.90000000,0.86585366,0.94666667,0.90445860,1.13586426,0.53000000,0.52631579,0.60000000,0.56074766
56,0.31703702,0.87333333,0.80769231,0.98000000,0.88554217,1.11757600,0.58000000,0.56451613,0.70000000,0.62500000
57,0.63132966,0.73666667,0.66511628,0.95333333,0.78356164,1.15451777,0.56000000,0.54054054,0.80000000,0.64516129
